# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 30
# run: 325c572f-e82b-4a97-bc52-852975e0c6bd
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.509068639580555	27.509068639580555	36.76823756993897	36.76823756993897	27.509068639580555	0.9960817657423182	27.509068639580555	3	true	76
26	15	15	1	15	15	195	0	0	29.687163433145585	29.687163433145585	40.749616248565445	40.749616248565445	29.687163433145585	0.9960817657423182	29.687163433145585	4	true	2
27	15	15	1	15	15	195	0	0	31.568342048869482	31.568342048869482	41.745219478097816	41.745219478097816	31.568342048869482	0.9960817657423182	31.568342048869482	4	true	13
28	15	15	1	15	15	195	0	0	29.5354952003458	29.5354952003458	42.96854149937118	42.96854149937118	29.5354952003458	0.9959128826372083	29.5354952003458	5	true	3
29	16	16	1	16	15	195	0	0	30.192872338458933	30.192872338458933	43.98977878237902	43.98977878237902	30.192872338458933	0.9955637844437458	30.192872338458933	5	true	2
30	17	16	1	16	15	195	0	0	22.72465343291203	22.72465343291203	41.634870542198	41.634870542198	22.72465343291203	0.9953070967458931	22.72465343291203	7	true	2
31	17	16	1	16	15	195	0	0	24.755163449979786	24.755163449979786	41.59846658097258	41.59846658097258	24.755163449979786	0.9952902084353822	24.755163449979786	7	true	1
32	20	20	1	20	15	195	0	0	36.15979851857958	36.15979851857958	44.889367176129504	44.889367176129504	36.15979851857958	0.9946166134185304	36.15979851857958	4	true	2
33	20	18	1	18	15	195	0	0	29.456687815631565	29.456687815631565	44.52160227146456	44.52160227146456	29.456687815631565	0.994446524005527	29.456687815631565	6	true	3
34	21	20	1	20	15	195	0	0	28.087699904377857	28.087699904377857	44.75088366611654	44.75088366611654	28.087699904377857	0.9936745966179513	28.087699904377857	6	true	8
35	22	21	1	21	15	195	0	0	33.56932247879525	33.56932247879525	44.112413497213524	44.112413497213524	33.56932247879525	0.993245589665231	33.56932247879525	5	true	9
36	23	22	1	22	15	195	0	0	29.824161088165578	29.824161088165578	43.995001566468716	43.995001566468716	29.824161088165578	0.9928566833112785	29.824161088165578	6	true	1
37	24	22	1	22	15	195	0	0	30.214161531071753	30.214161531071753	44.89529599513441	44.89529599513441	30.214161531071753	0.9925382180273575	30.214161531071753	6	true	2
38	25	22	1	22	15	195	0	0	32.246424814219296	32.246424814219296	43.78242662426094	43.78242662426094	32.246424814219296	0.9924676307381876	32.246424814219296	4	true	3
39	25	22	1	22	15	195	0	0	32.2064578000703	32.2064578000703	43.65373545107469	43.65373545107469	32.2064578000703	0.9923465612914076	32.2064578000703	5	true	1
40	26	21	1	21	15	195	0	0	29.001507465738612	29.001507465738612	40.97540547311243	40.97540547311243	29.001507465738612	0.9922431112508316	29.001507465738612	5	true	1
41	26	21	1	21	15	195	0	0	28.837506758185572	28.837506758185572	41.663293963819356	41.663293963819356	28.837506758185572	0.9918862634430221	28.837506758185572	5	true	2
42	27	21	1	21	15	195	0	0	25.963093846435005	25.963093846435005	40.897778756432906	40.897778756432906	25.963093846435005	0.9916534094647651	25.963093846435005	5	true	4
43	30	24	1	24	15	195	0	0	37.74899473695219	37.74899473695219	45.74013251038388	45.74013251038388	37.74899473695219	0.9908666773894036	37.74899473695219	2	true	1
44	30	23	1	23	15	195	0	0	34.18382933708857	34.18382933708857	46.03165241726329	46.03165241726329	34.18382933708857	0.990848253777937	34.18382933708857	4	true	1
45	30	22	1	22	15	195	0	0	26.13190974440208	26.13190974440208	45.02896796032564	45.02896796032564	26.13190974440208	0.9909058275637698	26.13190974440208	5	true	2
46	31	23	1	23	15	195	0	0	26.639343545420985	26.639343545420985	44.54643868568771	44.54643868568771	26.639343545420985	0.9909474634634927	26.639343545420985	5	true	2
47	33	24	1	24	15	195	0	0	12.825637755195189	12.825637755195189	44.51548590063164	44.51548590063164	12.825637755195189	0.9906552810697393	12.825637755195189	7	true	1
48	34	23	1	23	15	195	0	0	19.816372628751694	19.816372628751694	43.86047720221312	43.86047720221312	19.816372628751694	0.9908027796258252	19.816372628751694	7	true	1
49	34	22	1	22	15	195	0	0	22.59278870461234	22.59278870461234	45.0289713369569	45.0289713369569	22.59278870461234	0.9908060695564443	22.59278870461234	7	true	1
50	34	22	1	22	15	195	0	0	20.989978727803695	20.989978727803695	41.6810403470248	41.6810403470248	20.989978727803695	0.9905402431624277	20.989978727803695	6	true	5
51	35	22	1	22	15	195	0	0	4.395367822349634	4.395367822349634	39.400431936890975	39.400431936890975	4.395367822349634	0.990623149414027	4.395367822349634	8	true	1
52	35	21	1	21	15	195	0	0	0.9737026942075069	0.9737026942075069	38.42649764867216	38.42649764867216	0.9737026942075069	0.9904997770158135	0.9737026942075069	10	true	1
53	36	23	1	23	15	195	0	0	-7.820771283167069	-7.820771283167069	37.23665565384833	37.23665565384833	-7.820771283167069	0.9901549557321558	-7.820771283167069	10	true	2
54	36	23	1	23	15	195	0	0	-5.9535452619719464	-5.9535452619719464	38.84058018345287	38.84058018345287	-5.9535452619719464	0.9901549557321558	-5.9535452619719464	10	true	2
55	37	24	1	24	15	195	0	0	-5.207403129948709	-5.207403129948709	40.685928658838705	40.685928658838705	-5.207403129948709	0.9898827688056092	-5.207403129948709	10	true	1
56	37	22	1	22	15	195	0	0	-14.18859841974908	-14.18859841974908	39.56811527000759	39.56811527000759	-14.18859841974908	0.9894966040605057	-14.18859841974908	9	true	1
