# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 6
# run: ac587b65-5d04-414b-8f65-d37e37aa52f2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.512386523107686	27.512386523107686	36.772491768141435	36.772491768141435	27.512386523107686	0.9960817657423182	27.512386523107686	3	true	77
26	15	15	1	15	15	195	0	0	29.63184423737563	29.63184423737563	40.694825420556725	40.694825420556725	29.63184423737563	0.9960817657423182	29.63184423737563	4	true	2
27	15	15	1	15	15	195	0	0	31.545188839884077	31.545188839884077	41.691846034775615	41.691846034775615	31.545188839884077	0.9958392978556962	31.545188839884077	4	true	10
28	17	17	1	17	15	195	0	0	17.09456790947581	17.09456790947581	40.72908428605609	40.72908428605609	17.09456790947581	0.9952533612124491	17.09456790947581	7	true	2
29	20	20	1	20	15	195	0	0	30.430154508948405	30.430154508948405	43.42183486718665	43.42183486718665	30.430154508948405	0.9948494308420032	30.430154508948405	4	true	1
30	20	19	1	19	15	195	0	0	28.553926504309803	28.553926504309803	43.732320311233515	43.732320311233515	28.553926504309803	0.994899437787412	28.553926504309803	6	true	2
31	21	19	1	19	15	195	0	0	20.08353069839567	20.08353069839567	42.07273257373293	42.07273257373293	20.08353069839567	0.9941096351101395	20.08353069839567	8	true	2
32	23	22	1	22	15	195	0	0	32.49514634069937	32.49514634069937	43.215097599557836	43.215097599557836	32.49514634069937	0.9929075675715195	32.49514634069937	5	true	3
33	23	21	1	21	15	195	0	0	32.0161347576057	32.0161347576057	42.45419397894405	42.45419397894405	32.0161347576057	0.9929575745169286	32.0161347576057	6	true	3
34	24	23	1	23	15	195	0	0	34.36625751541987	34.36625751541987	46.11052270888875	46.11052270888875	34.36625751541987	0.9927621526381588	34.36625751541987	5	true	8
35	26	24	1	24	15	195	0	0	26.727408468181295	26.727408468181295	46.31286183724455	46.31286183724455	26.727408468181295	0.9923442583399743	26.727408468181295	7	true	3
36	27	26	1	26	15	195	0	0	32.344985960664246	32.344985960664246	46.35878010094324	46.35878010094324	32.344985960664246	0.9921657978812847	32.344985960664246	6	true	2
37	28	27	1	27	15	195	0	0	31.743972950594923	31.743972950594923	46.12829969743514	46.12829969743514	31.743972950594923	0.9917586872445734	31.743972950594923	6	true	2
38	30	28	1	28	15	195	0	0	33.866925654832	33.866925654832	45.94434766829706	45.94434766829706	33.866925654832	0.9912950263559999	33.866925654832	5	true	1
39	32	30	1	30	15	195	0	0	32.697678244067895	32.697678244067895	46.94502528206416	46.94502528206416	32.697678244067895	0.990607101863563	32.697678244067895	6	true	2
40	32	29	1	29	15	195	0	0	23.51923244993626	23.51923244993626	45.85914442573882	45.85914442573882	23.51923244993626	0.9905929551619013	23.51923244993626	8	true	2
41	35	31	1	31	15	195	0	0	19.24521817266315	19.24521817266315	45.85169247256698	45.85169247256698	19.24521817266315	0.9900958832001521	19.24521817266315	9	true	1
42	35	32	1	32	15	195	0	0	28.266217238362223	28.266217238362223	45.875955302492955	45.875955302492955	28.266217238362223	0.9898733742259525	28.266217238362223	7	true	4
43	37	33	1	33	15	195	0	0	17.611797635083875	17.611797635083875	44.87881615520127	44.87881615520127	17.611797635083875	0.9893525050993924	17.611797635083875	9	true	2
44	38	35	1	35	15	195	0	0	33.00404882625626	33.00404882625626	45.673076846981814	45.673076846981814	33.00404882625626	0.9889869572528348	33.00404882625626	4	true	2
45	41	35	1	35	15	195	0	0	22.773667791368	22.773667791368	46.2596682911395	46.2596682911395	22.773667791368	0.9884278883763096	22.773667791368	8	true	2
46	42	35	1	35	15	195	0	0	17.58641209562881	17.58641209562881	45.727651452658556	45.727651452658556	17.58641209562881	0.9881952902815452	17.58641209562881	9	true	1
47	43	38	1	38	15	195	0	0	39.894108516156365	39.894108516156365	45.57533006598336	45.57533006598336	39.894108516156365	0.9876785152908664	39.894108516156365	3	true	3
48	46	40	1	40	15	195	0	0	30.181856393085106	30.181856393085106	46.16433993239745	46.16433993239745	30.181856393085106	0.9870805521234673	30.181856393085106	6	true	2
49	47	39	1	39	15	195	0	0	20.03611219591651	20.03611219591651	44.83168130916612	44.83168130916612	20.03611219591651	0.986208025968519	20.03611219591651	4	true	2
