# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 17
# run: cb064af1-29de-428d-b1ea-c488028948f7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.515956337576007	27.515956337576007	36.75157832550302	36.75157832550302	27.515956337576007	0.9960817657423182	27.515956337576007	3	true	35
26	15	15	1	15	15	195	0	0	29.712887832804093	29.712887832804093	40.74707332793939	40.74707332793939	29.712887832804093	0.9958718681688247	29.712887832804093	4	true	3
27	16	16	1	16	15	195	0	0	31.102047623325902	31.102047623325902	41.252528650472435	41.252528650472435	31.102047623325902	0.9954479788859564	31.102047623325902	4	true	13
28	18	18	1	18	15	195	0	0	21.246421682649725	21.246421682649725	43.00037754587317	43.00037754587317	21.246421682649725	0.9952459040363794	21.246421682649725	6	true	4
29	20	20	1	20	15	195	0	0	30.848116645166797	30.848116645166797	43.83165143558631	43.83165143558631	30.848116645166797	0.9948494308420032	30.848116645166797	4	true	2
30	20	19	1	19	15	195	0	0	30.805007778600757	30.805007778600757	44.32583941090483	44.32583941090483	30.805007778600757	0.9948198214664318	30.805007778600757	5	true	2
31	22	20	1	20	15	195	0	0	28.206554515034707	28.206554515034707	40.50556150403413	40.50556150403413	28.206554515034707	0.9932684729604259	28.206554515034707	6	true	1
32	23	22	1	22	15	195	0	0	30.220780850962047	30.220780850962047	43.25620416167976	43.25620416167976	30.220780850962047	0.9929075675715195	30.220780850962047	6	true	3
33	24	23	1	23	15	195	0	0	31.286487243835904	31.286487243835904	46.02266256018853	46.02266256018853	31.286487243835904	0.9927621526381588	31.286487243835904	6	true	11
34	24	23	1	23	15	195	0	0	31.68075475479397	31.68075475479397	46.36459278149923	46.36459278149923	31.68075475479397	0.9927621526381588	31.68075475479397	6	true	4
35	26	25	1	25	15	195	0	0	31.974311973090817	31.974311973090817	46.71741766917078	46.71741766917078	31.974311973090817	0.9922942513945651	31.974311973090817	6	true	3
36	27	27	1	27	15	195	0	0	34.337031823295696	34.337031823295696	46.89719423841581	46.89719423841581	34.337031823295696	0.9921157909358758	34.337031823295696	5	true	1
37	28	28	1	28	15	195	0	0	35.58479794502628	35.58479794502628	47.338334871376816	47.338334871376816	35.58479794502628	0.9917218400216405	35.58479794502628	5	true	2
38	30	30	1	30	15	195	0	0	35.48614389447843	35.48614389447843	47.42925144809865	47.42925144809865	35.48614389447843	0.9912361365979194	35.48614389447843	5	true	3
39	32	31	1	31	15	195	0	0	31.69160986458795	31.69160986458795	46.751071431272344	46.751071431272344	31.69160986458795	0.9905222216535922	31.69160986458795	6	true	1
