# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 22
# run: d6aa49a3-b665-406a-8fc1-ccd46bfdbfdb
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.51009780587618	27.51009780587618	36.7496576782559	36.7496576782559	27.51009780587618	0.9960817657423182	27.51009780587618	3	true	49
26	15	15	1	15	15	195	0	0	29.687725535547727	29.687725535547727	40.74306856704306	40.74306856704306	29.687725535547727	0.9960817657423182	29.687725535547727	4	true	4
27	15	15	1	15	15	195	0	0	31.683431377768756	31.683431377768756	41.856453723065606	41.856453723065606	31.683431377768756	0.9959128826372083	31.683431377768756	4	true	4
28	16	16	1	16	15	195	0	0	29.099556585970213	29.099556585970213	43.018900301157544	43.018900301157544	29.099556585970213	0.9955312141306174	29.099556585970213	5	true	2
29	17	17	1	17	15	195	0	0	19.353179771756132	19.353179771756132	43.76225901386822	43.76225901386822	19.353179771756132	0.9952702495229601	19.353179771756132	7	true	2
30	20	20	1	20	15	195	0	0	31.27975994365397	31.27975994365397	43.824463616384435	43.824463616384435	31.27975994365397	0.9948494308420032	31.27975994365397	5	true	2
31	20	19	1	19	15	195	0	0	29.762820750967286	29.762820750967286	44.48131455802568	44.48131455802568	29.762820750967286	0.9948198214664318	29.762820750967286	6	true	1
32	20	19	1	19	15	195	0	0	30.699162719501224	30.699162719501224	45.2776729435624	45.2776729435624	30.699162719501224	0.994087592574992	30.699162719501224	6	true	2
33	23	23	1	23	15	195	0	0	33.671793742026296	33.671793742026296	45.01211646634005	45.01211646634005	33.671793742026296	0.9930901587208749	33.671793742026296	5	true	4
34	23	21	1	21	15	195	0	0	26.652442015235305	26.652442015235305	41.04684419805692	41.04684419805692	26.652442015235305	0.9928935305342116	26.652442015235305	6	true	8
35	24	22	1	22	15	195	0	0	33.24911273646215	33.24911273646215	42.86019127875763	42.86019127875763	33.24911273646215	0.99275831438577	33.24911273646215	5	true	3
36	26	23	1	23	15	195	0	0	34.17402586670424	34.17402586670424	44.68036507689306	44.68036507689306	34.17402586670424	0.9924345486580739	34.17402586670424	5	true	2
37	27	23	1	23	15	195	0	0	38.37753672290289	38.37753672290289	44.565986073960566	44.565986073960566	38.37753672290289	0.992437180602569	38.37753672290289	3	true	1
38	28	24	1	24	15	195	0	0	35.7464316920485	35.7464316920485	46.72200893412276	46.72200893412276	35.7464316920485	0.9921580482669377	35.7464316920485	5	true	3
