# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 21
# run: e43c815f-35a7-4040-8102-80ac475a0cd6
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	15	195	0	0	27.504979249777207	27.504979249777207	36.76410416128499	36.76410416128499	27.504979249777207	0.9960817657423182	27.504979249777207	3	true	36
26	15	15	1	15	15	195	0	0	29.62214191295474	29.62214191295474	40.15694493550525	40.15694493550525	29.62214191295474	0.9960817657423182	29.62214191295474	4	true	2
27	15	15	1	15	15	195	0	0	31.563719336170543	31.563719336170543	41.77584058108052	41.77584058108052	31.563719336170543	0.9959128826372083	31.563719336170543	4	true	11
28	15	15	1	15	15	195	0	0	29.575370477321464	29.575370477321464	41.67422788664308	41.67422788664308	29.575370477321464	0.9956704147505866	29.575370477321464	5	true	3
29	17	17	1	17	15	195	0	0	18.649437620502752	18.649437620502752	43.65028448615713	43.65028448615713	18.649437620502752	0.9953534847676211	18.649437620502752	7	true	5
30	19	19	1	19	15	195	0	0	31.235115019980505	31.235115019980505	43.83182462109683	43.83182462109683	31.235115019980505	0.9950569889092784	31.235115019980505	5	true	2
31	20	19	1	19	15	195	0	0	31.207949561052935	31.207949561052935	44.592197624123216	44.592197624123216	31.207949561052935	0.9948198214664318	31.207949561052935	6	true	2
32	21	18	1	18	15	195	0	0	35.666436831498515	35.666436831498515	42.483500142091344	42.483500142091344	35.666436831498515	0.9938960089486113	35.666436831498515	4	true	1
33	23	23	1	23	15	195	0	0	34.22527404902317	34.22527404902317	43.7487739515914	43.7487739515914	34.22527404902317	0.9928066763658695	34.22527404902317	5	true	3
34	23	21	1	21	15	195	0	0	35.792051141625294	35.792051141625294	42.843475243653316	42.843475243653316	35.792051141625294	0.9928935305342116	35.792051141625294	5	true	12
35	24	23	1	23	15	195	0	0	38.95706221462741	38.95706221462741	47.234629231437616	47.234629231437616	38.95706221462741	0.9925013708044247	38.95706221462741	4	true	8
36	26	24	1	24	15	195	0	0	37.578702809049176	37.578702809049176	46.21043284685906	46.21043284685906	37.578702809049176	0.9923960564698312	37.578702809049176	4	true	2
37	26	23	1	23	15	195	0	0	38.94287517410132	38.94287517410132	45.585653622998194	45.585653622998194	38.94287517410132	0.9924424444915596	38.94287517410132	4	true	2
38	27	24	1	24	15	195	0	0	42.003773695681005	42.003773695681005	47.36913668943342	47.36913668943342	42.003773695681005	0.9922574041716322	42.003773695681005	3	true	3
39	28	25	1	25	15	195	0	0	38.86087390625158	38.86087390625158	46.81018982569235	46.81018982569235	38.86087390625158	0.9914812729838207	38.86087390625158	4	true	1
40	29	24	1	24	15	195	0	0	37.83284061466734	37.83284061466734	45.17777396876993	45.17777396876993	37.83284061466734	0.9912042973804842	37.83284061466734	4	true	1
41	30	23	1	23	15	195	0	0	28.00944348026496	28.00944348026496	46.53438097483008	46.53438097483008	28.00944348026496	0.9908532617834348	28.00944348026496	6	true	1
42	32	26	1	26	15	195	0	0	39.683460568959894	39.683460568959894	46.969014225706296	46.969014225706296	39.683460568959894	0.9907697706552812	39.683460568959894	2	true	1
43	32	25	1	25	15	195	0	0	40.93442627626792	40.93442627626792	46.98355580828678	46.98355580828678	40.93442627626792	0.9907786534679525	40.93442627626792	2	true	1
44	32	23	1	23	15	195	0	0	27.598385838663265	27.598385838663265	45.555425779167436	45.555425779167436	27.598385838663265	0.9906533071113677	27.598385838663265	4	true	1
45	32	24	1	24	15	195	0	0	28.471894367210492	28.471894367210492	47.028539691882166	47.028539691882166	28.471894367210492	0.9905538415423195	28.471894367210492	6	true	1
46	32	24	1	24	15	195	0	0	19.08835172045367	19.08835172045367	45.87733520934598	45.87733520934598	19.08835172045367	0.9904278371996112	19.08835172045367	6	true	1
47	32	25	1	25	15	195	0	0	33.8986572516325	33.8986572516325	47.03058421317163	47.03058421317163	33.8986572516325	0.9903932929281115	33.8986572516325	3	true	2
48	33	23	1	23	15	195	0	0	9.140802036633577	9.140802036633577	43.05611130319879	43.05611130319879	9.140802036633577	0.9900362623463786	9.140802036633577	6	true	1
49	34	23	1	23	15	195	0	0	10.213103645652332	10.213103645652332	43.20927885220978	43.20927885220978	10.213103645652332	0.9899023256153999	10.213103645652332	6	true	2
50	34	23	1	23	15	195	0	0	35.65973283205442	35.65973283205442	45.1859846894593	45.1859846894593	35.65973283205442	0.9899921407212989	35.65973283205442	4	true	5
51	35	25	1	25	15	195	0	0	34.03281312915191	34.03281312915191	47.6617897090049	47.6617897090049	34.03281312915191	0.9899793831014542	34.03281312915191	4	true	1
52	35	24	1	24	15	195	0	0	25.747230201481194	25.747230201481194	41.54211589149019	41.54211589149019	25.747230201481194	0.9897001776562534	25.747230201481194	4	true	1
53	36	26	1	26	15	195	0	0	27.272015425793853	27.272015425793853	43.277174193110504	43.277174193110504	27.272015425793853	0.9896137255905424	27.272015425793853	6	true	1
54	37	25	1	25	15	195	0	0	25.192975286325083	25.192975286325083	40.54419637160699	40.54419637160699	25.192975286325083	0.9894431975201237	25.192975286325083	5	true	1
55	39	28	1	28	15	195	0	0	21.621130105408085	21.621130105408085	43.65405238807243	43.65405238807243	21.621130105408085	0.9889863358214958	21.621130105408085	6	true	2
56	41	27	1	27	15	195	0	0	8.454190781692041	8.454190781692041	39.628169009313645	39.628169009313645	8.454190781692041	0.9886993076523788	8.454190781692041	8	true	2
57	41	28	1	28	15	195	0	0	11.53370167098285	11.53370167098285	40.55491753364591	40.55491753364591	11.53370167098285	0.988738457826745	11.53370167098285	8	true	2
58	41	27	1	27	15	195	0	0	11.235963880348898	11.235963880348898	40.320783503412024	40.320783503412024	11.235963880348898	0.988384132299077	11.235963880348898	8	true	2
59	43	27	1	27	15	195	0	0	8.822598689541152	8.822598689541152	40.97750557087342	40.97750557087342	8.822598689541152	0.9879095049751062	8.822598689541152	8	true	2
