# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 16
# run: 2e60059a-76ad-40a1-a944-5453ffe85145
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	21	273	0	0	36.86509560121833	36.86509560121833	48.23680696871793	48.23680696871793	36.86509560121833	0.9960817657423182	36.86509560121833	5	true	32
26	15	15	1	15	21	273	0	0	32.79301776447101	32.79301776447101	52.93752461597502	52.93752461597502	32.79301776447101	0.9960817657423182	32.79301776447101	7	true	33
27	15	15	1	15	21	273	0	0	35.785223199837056	35.785223199837056	55.01921031096758	55.01921031096758	35.785223199837056	0.9960817657423182	35.785223199837056	7	true	5
28	15	15	1	15	21	273	0	0	27.147027210976056	27.147027210976056	56.106904372466715	56.106904372466715	27.147027210976056	0.9957029850637148	27.147027210976056	9	true	3
29	17	17	1	17	21	273	0	0	14.668154538902478	14.668154538902478	54.051910319397905	54.051910319397905	14.668154538902478	0.9952702495229601	14.668154538902478	12	true	4
30	18	18	1	18	21	273	0	0	11.559780206225048	11.559780206225048	55.07844132702202	55.07844132702202	11.559780206225048	0.9950458031451738	11.559780206225048	13	true	5
31	20	20	1	20	21	273	0	0	41.52112505408852	41.52112505408852	60.01480083881055	60.01480083881055	41.52112505408852	0.9948494308420032	41.52112505408852	8	true	13
32	20	19	1	19	21	273	0	0	31.07323985767554	31.07323985767554	59.444731466375394	59.444731466375394	31.07323985767554	0.9948198214664318	31.07323985767554	10	true	3
33	21	19	1	19	21	273	0	0	25.037493805579825	25.037493805579825	50.02714471586555	50.02714471586555	25.037493805579825	0.9934653570305815	25.037493805579825	11	true	2
34	21	20	1	20	21	273	0	0	24.69867794357289	24.69867794357289	51.57802865447143	51.57802865447143	24.69867794357289	0.9932439446999217	24.69867794357289	11	true	3
