# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 26
# run: 70f127e3-7485-48a6-8182-61948d08b148
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	21	273	0	0	36.86944595323227	36.86944595323227	48.32480736522735	48.32480736522735	36.86944595323227	0.9960817657423182	36.86944595323227	5	true	77
26	15	15	1	15	21	273	0	0	32.68394771706638	32.68394771706638	53.12004213478834	53.12004213478834	32.68394771706638	0.9960817657423182	32.68394771706638	7	true	24
27	15	15	1	15	21	273	0	0	35.55858164199878	35.55858164199878	55.15615314187468	55.15615314187468	35.55858164199878	0.9960817657423182	35.55858164199878	7	true	8
28	16	16	1	16	21	273	0	0	26.17264436193411	26.17264436193411	56.4859477579289	56.4859477579289	26.17264436193411	0.9955637844437458	26.17264436193411	9	true	2
29	17	17	1	17	21	273	0	0	14.882573378601492	14.882573378601492	53.57829943008939	53.57829943008939	14.882573378601492	0.9952702495229601	14.882573378601492	12	true	5
30	20	20	1	20	21	273	0	0	35.99253063270665	35.99253063270665	57.70830651434315	57.70830651434315	35.99253063270665	0.9948494308420032	35.99253063270665	9	true	6
31	20	19	1	19	21	273	0	0	30.059900418184647	30.059900418184647	57.644566362126945	57.644566362126945	30.059900418184647	0.9948198214664318	30.059900418184647	11	true	11
32	20	18	1	18	21	273	0	0	12.511719630463551	12.511719630463551	53.45476568307543	53.45476568307543	12.511719630463551	0.9942910199516014	12.511719630463551	13	true	3
33	22	19	1	19	21	273	0	0	9.80970773119835	9.80970773119835	49.52099583140614	49.52099583140614	9.80970773119835	0.9933964878162902	9.80970773119835	13	true	3
34	22	20	1	20	21	273	0	0	27.739402050969385	27.739402050969385	51.58062699667663	51.58062699667663	27.739402050969385	0.9931750754856304	27.739402050969385	10	true	2
35	23	21	1	21	21	273	0	0	30.254937301946978	30.254937301946978	53.37147158626845	53.37147158626845	30.254937301946978	0.9929307433049912	30.254937301946978	10	true	2
36	23	20	1	20	21	273	0	0	11.271343494316834	11.271343494316834	50.84988807143717	50.84988807143717	11.271343494316834	0.992757692954431	11.271343494316834	12	true	2
37	25	24	1	24	21	273	0	0	24.974696858476335	24.974696858476335	59.4202103206035	59.4202103206035	24.974696858476335	0.9925117523632668	24.974696858476335	10	true	5
38	26	23	1	23	21	273	0	0	14.47381133602966	14.47381133602966	53.91610539425286	53.91610539425286	14.47381133602966	0.9923941556210295	14.47381133602966	11	true	6
39	26	22	1	22	21	273	0	0	17.22569391348485	17.22569391348485	52.56294683176763	52.56294683176763	17.22569391348485	0.9923477675993011	17.22569391348485	11	true	7
40	27	24	1	24	21	273	0	0	23.984758558698495	23.984758558698495	57.612850413613806	57.612850413613806	23.984758558698495	0.9919097316147713	23.984758558698495	10	true	19
41	28	23	1	23	21	273	0	0	15.61246988897752	15.61246988897752	56.40665914055936	56.40665914055936	15.61246988897752	0.9914040692786278	15.61246988897752	13	true	3
42	31	26	1	26	21	273	0	0	23.333301815016995	23.333301815016995	57.75171925430764	57.75171925430764	23.333301815016995	0.9910995679224454	23.333301815016995	12	true	3
43	31	25	1	25	21	273	0	0	-4.255319629186772	-4.255319629186772	55.73556979092187	55.73556979092187	-4.255319629186772	0.9911183205269738	-4.255319629186772	14	true	4
44	32	25	1	25	21	273	0	0	14.9434945191215	14.9434945191215	53.84071044375214	53.84071044375214	14.9434945191215	0.9906527587895978	14.9434945191215	10	true	2
45	33	27	1	27	21	273	0	0	-0.670615414793545	-0.670615414793545	57.02889319540685	57.02889319540685	-0.670615414793545	0.9905803803159796	-0.670615414793545	12	true	16
46	34	27	1	27	21	273	0	0	-22.383970971090868	-22.383970971090868	54.4744606705692	54.4744606705692	-22.383970971090868	0.9903365964571104	-22.383970971090868	14	true	2
47	34	27	1	27	21	273	0	0	-18.209268108416055	-18.209268108416055	55.53355888975002	55.53355888975002	-18.209268108416055	0.9901954584335543	-18.209268108416055	14	true	2
48	35	28	1	28	21	273	0	0	-4.993082095672278	-4.993082095672278	58.367498572599516	58.367498572599516	-4.993082095672278	0.9898068810726638	-4.993082095672278	12	true	3
49	37	30	1	30	21	273	0	0	0.3958291255140125	0.3958291255140125	60.489293542807765	60.489293542807765	0.3958291255140125	0.9890497218180889	0.3958291255140125	12	true	3
50	39	32	1	32	21	273	0	0	1.249069485498822	1.249069485498822	61.68913911090982	61.68913911090982	1.249069485498822	0.9884744957267458	1.249069485498822	12	true	3
51	39	32	1	32	21	273	0	0	2.0652892623316177	2.0652892623316177	62.20274886222567	62.20274886222567	2.0652892623316177	0.9883297387795087	2.0652892623316177	12	true	5
52	39	32	1	32	21	273	0	0	2.810178505347551	2.810178505347551	63.02383894988473	63.02383894988473	2.810178505347551	0.9883176757005726	2.810178505347551	12	true	3
53	40	34	1	34	21	273	0	0	-3.0693463357458626	-3.0693463357458626	62.942199308285595	62.942199308285595	-3.0693463357458626	0.9877476038338658	-3.0693463357458626	14	true	3
54	41	35	1	35	21	273	0	0	-1.439247474080375	-1.439247474080375	63.96587935728116	63.96587935728116	-1.439247474080375	0.9876494176822805	-1.439247474080375	14	true	3
55	41	34	1	34	21	273	0	0	-8.083700629590751	-8.083700629590751	62.508748155977344	62.508748155977344	-8.083700629590751	0.9876326390361235	-8.083700629590751	14	true	12
56	42	34	1	34	21	273	0	0	-3.3958583138079437	-3.3958583138079437	62.148717212929704	62.148717212929704	-3.3958583138079437	0.986871202871744	-3.3958583138079437	14	true	5
57	45	35	1	35	21	273	0	0	17.079289493318328	17.079289493318328	62.528714329637474	62.528714329637474	17.079289493318328	0.9858271982219752	17.079289493318328	11	true	5
