# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 6
# run: 191434fe-fb18-4afe-8bd8-d43be8417b11
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	32.36395193563294	32.36395193563294	57.47645295434474	57.47645295434474	32.36395193563294	0.9960817657423182	32.36395193563294	11	true	98
26	15	15	1	15	27	351	0	0	30.127765345168996	30.127765345168996	62.685221992222125	62.685221992222125	30.127765345168996	0.9960817657423182	30.127765345168996	13	true	3
27	15	15	1	15	27	351	0	0	33.79739836212333	33.79739836212333	61.328871429951285	61.328871429951285	33.79739836212333	0.9958392978556962	33.79739836212333	13	true	4
28	17	17	1	17	27	351	0	0	13.970171986690595	13.970171986690595	62.236139174588764	62.236139174588764	13.970171986690595	0.9952533612124491	13.970171986690595	15	true	7
29	20	20	1	20	27	351	0	0	40.11574361822442	40.11574361822442	70.17268102108437	70.17268102108437	40.11574361822442	0.9948494308420032	40.11574361822442	12	true	7
30	20	19	1	19	27	351	0	0	19.240609753762065	19.240609753762065	67.67658860749687	67.67658860749687	19.240609753762065	0.994899437787412	19.240609753762065	16	true	15
31	21	19	1	19	27	351	0	0	-0.45730406773946264	-0.45730406773946264	65.29525948979413	65.29525948979413	-0.45730406773946264	0.9941096351101395	-0.45730406773946264	19	true	14
32	23	21	1	21	27	351	0	0	22.87493706230901	22.87493706230901	63.2372085895695	63.2372085895695	22.87493706230901	0.9929575745169286	22.87493706230901	17	true	4
33	23	19	1	19	27	351	0	0	34.312355274489384	34.312355274489384	58.044277260155454	58.044277260155454	34.312355274489384	0.9930519955256942	34.312355274489384	13	true	3
34	24	21	1	21	27	351	0	0	42.224964894412444	42.224964894412444	65.29825439998214	65.29825439998214	42.224964894412444	0.9928697333694007	42.224964894412444	12	true	5
35	25	23	1	23	27	351	0	0	33.63188854374242	33.63188854374242	68.28090207681447	68.28090207681447	33.63188854374242	0.992364655909812	33.63188854374242	15	true	3
36	26	23	1	23	27	351	0	0	10.37551515684743	10.37551515684743	66.85962496278121	66.85962496278121	10.37551515684743	0.9922381763549032	10.37551515684743	18	true	4
37	26	23	1	23	27	351	0	0	7.0852927680697775	7.0852927680697775	66.88236085698392	66.88236085698392	7.0852927680697775	0.9922562709733078	7.0852927680697775	19	true	8
38	28	23	1	23	27	351	0	0	-0.5984856464576129	-0.5984856464576129	63.88414828255138	63.88414828255138	-0.5984856464576129	0.9915182664258926	-0.5984856464576129	17	true	5
39	31	26	1	26	27	351	0	0	-2.0154209202722093	-2.0154209202722093	73.08076759963933	73.08076759963933	-2.0154209202722093	0.9902747823162575	-2.0154209202722093	17	true	5
40	32	26	1	26	27	351	0	0	2.618644692117023	2.618644692117023	71.69437971483028	71.69437971483028	2.618644692117023	0.9900612658190832	2.618644692117023	15	true	4
41	34	29	1	29	27	351	0	0	1.4548092297369877	1.4548092297369877	73.41633064256503	73.41633064256503	1.4548092297369877	0.9900084441552555	1.4548092297369877	15	true	5
42	35	29	1	29	27	351	0	0	29.412416402509237	29.412416402509237	74.39769257035367	74.39769257035367	29.412416402509237	0.9894907918497451	29.412416402509237	15	true	4
43	36	30	1	30	27	351	0	0	34.741026906548356	34.741026906548356	76.01015717870877	76.01015717870877	34.741026906548356	0.9892586324123965	34.741026906548356	15	true	5
44	36	28	1	28	27	351	0	0	-26.51869112537881	-26.51869112537881	70.67519016150095	70.67519016150095	-26.51869112537881	0.9892828682346233	-26.51869112537881	19	true	4
45	38	29	1	29	27	351	0	0	-37.399719583998206	-37.399719583998206	69.40768545305374	69.40768545305374	-37.399719583998206	0.9889058056308992	-37.399719583998206	19	true	4
