# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 7
# run: 560421d4-4744-463e-800a-e14b3c160198
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	32.34505788458839	32.34505788458839	56.71359503169741	56.71359503169741	32.34505788458839	0.9960817657423182	32.34505788458839	11	true	46
26	15	15	1	15	27	351	0	0	30.021314487527448	30.021314487527448	62.13343602805199	62.13343602805199	30.021314487527448	0.9960817657423182	30.021314487527448	13	true	16
27	15	15	1	15	27	351	0	0	33.6099605680505	33.6099605680505	63.28629140207741	63.28629140207741	33.6099605680505	0.9958718681688247	33.6099605680505	13	true	4
28	17	17	1	17	27	351	0	0	12.791382352596152	12.791382352596152	63.98145903541313	63.98145903541313	12.791382352596152	0.9952702495229601	12.791382352596152	16	true	7
29	17	17	1	17	27	351	0	0	12.623662820991868	12.623662820991868	65.43217876013645	65.43217876013645	12.623662820991868	0.9952702495229601	12.623662820991868	17	true	6
30	20	20	1	20	27	351	0	0	30.191933127861446	30.191933127861446	69.13799705035889	69.13799705035889	30.191933127861446	0.9948494308420032	30.191933127861446	14	true	5
31	20	18	1	18	27	351	0	0	32.65881866793465	32.65881866793465	61.327262996432374	61.327262996432374	32.65881866793465	0.9944790943186553	32.65881866793465	14	true	11
32	21	19	1	19	27	351	0	0	33.753375143934676	33.753375143934676	60.94960007776043	60.94960007776043	33.753375143934676	0.9936583662935641	33.753375143934676	15	true	3
33	22	21	1	21	27	351	0	0	24.655102029574152	24.655102029574152	64.65468626594974	64.65468626594974	24.655102029574152	0.9933576666349858	24.655102029574152	17	true	4
34	23	21	1	21	27	351	0	0	19.294348030876563	19.294348030876563	63.40761588508376	63.40761588508376	19.294348030876563	0.9930645338168314	19.294348030876563	17	true	5
35	23	21	1	21	27	351	0	0	22.47369902152127	22.47369902152127	63.56560041168894	63.56560041168894	22.47369902152127	0.9929656165695527	22.47369902152127	17	true	4
36	25	23	1	23	27	351	0	0	33.643382192757464	33.643382192757464	68.71887018967041	68.71887018967041	33.643382192757464	0.9926346129944948	33.643382192757464	15	true	4
37	26	23	1	23	27	351	0	0	32.73295137333157	32.73295137333157	67.5585623215405	67.5585623215405	32.73295137333157	0.9924949737171099	32.73295137333157	14	true	4
