# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 23
# run: 6a2e638f-f2ef-4dd4-9171-a41676f1eee2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	32.347140058861754	32.347140058861754	56.638505002822455	56.638505002822455	32.347140058861754	0.9964291824156865	32.347140058861754	11	true	67
26	15	15	1	15	27	351	0	0	29.934196981586467	29.934196981586467	62.00772288965608	62.00772288965608	29.934196981586467	0.9960817657423182	29.934196981586467	13	true	17
27	15	15	1	15	27	351	0	0	33.326406294095165	33.326406294095165	64.55884894473645	64.55884894473645	33.326406294095165	0.9960817657423182	33.326406294095165	13	true	4
28	15	15	1	15	27	351	0	0	27.168599944409593	27.168599944409593	66.96708028374573	66.96708028374573	27.168599944409593	0.9960817657423182	27.168599944409593	14	true	7
29	15	15	1	15	27	351	0	0	23.96154256864812	23.96154256864812	63.89639799333199	63.89639799333199	23.96154256864812	0.9956704147505866	23.96154256864812	15	true	5
30	17	17	1	17	27	351	0	0	5.303083236886678	5.303083236886678	65.00900498654548	65.00900498654548	5.303083236886678	0.9952702495229601	5.303083236886678	18	true	2
31	17	15	1	15	27	351	0	0	8.111443098891113	8.111443098891113	58.822937532550505	58.822937532550505	8.111443098891113	0.9953372544432341	8.111443098891113	16	true	10
32	18	17	1	17	27	351	0	0	36.128172892462025	36.128172892462025	65.49524093403772	65.49524093403772	36.128172892462025	0.995101293308281	36.128172892462025	13	true	3
33	19	17	1	17	27	351	0	0	15.922399565704385	15.922399565704385	60.97769779294378	60.97769779294378	15.922399565704385	0.994285098076487	15.922399565704385	15	true	3
34	20	18	1	18	27	351	0	0	2.1889477170785145	2.1889477170785145	56.84444968581862	56.84444968581862	2.1889477170785145	0.9936284279249312	2.1889477170785145	19	true	5
35	20	16	1	16	27	351	0	0	-45.59305426522794	-45.59305426522794	47.482687979089825	47.482687979089825	-45.59305426522794	0.993574802055841	-45.59305426522794	23	true	3
36	21	17	1	17	27	351	0	0	-41.27890764550151	-41.27890764550151	51.57382384520402	51.57382384520402	-41.27890764550151	0.9934293871224803	-41.27890764550151	23	true	2
37	21	18	1	18	27	351	0	0	-1.314735790306628	-1.314735790306628	50.45389408880167	50.45389408880167	-1.314735790306628	0.9930689203909902	-1.314735790306628	16	true	24
38	22	16	1	16	27	351	0	0	-28.126129877693344	-28.126129877693344	41.5666645238994	41.5666645238994	-28.126129877693344	0.9930621577558287	-28.126129877693344	19	true	3
39	22	15	1	15	27	351	0	0	-47.5543921881499	-47.5543921881499	37.31165197835101	37.31165197835101	-47.5543921881499	0.9931441866925962	-47.5543921881499	19	false	4
40	22	14	1	14	27	351	0	0	-47.138638780159766	-47.138638780159766	32.44467695418249	32.44467695418249	-47.138638780159766	0.9931912327004482	-47.138638780159766	18	false	2
41	22	12	1	12	27	351	0	0	-59.357693944712	-59.357693944712	21.857626482494403	21.857626482494403	-59.357693944712	0.9929503001147819	-59.357693944712	18	false	2
42	22	11	1	11	27	351	0	0	-85.25908814990261	-85.25908814990261	6.461232880773871	6.461232880773871	-85.25908814990261	0.9926812934545003	-85.25908814990261	20	false	2
43	24	12	1	12	27	351	0	0	-68.68917299947728	-68.68917299947728	29.548279656531154	29.548279656531154	-68.68917299947728	0.9923404200875853	-68.68917299947728	21	false	3
44	25	13	1	13	27	351	0	0	-78.79116267904726	-78.79116267904726	38.18081165702509	38.18081165702509	-78.79116267904726	0.9923168056966976	-78.79116267904726	22	false	2
45	26	15	1	15	27	351	0	0	-56.53517540573465	-56.53517540573465	52.39773645176409	52.39773645176409	-56.53517540573465	0.9920013013503337	-56.53517540573465	21	true	2
46	26	13	1	13	27	351	0	0	-24.364358244178938	-24.364358244178938	44.62310648505297	44.62310648505297	-24.364358244178938	0.9920815756574376	-24.364358244178938	19	false	2
47	26	13	1	13	27	351	0	0	-49.753836561699146	-49.753836561699146	40.85455525161046	40.85455525161046	-49.753836561699146	0.9921439381200605	-49.753836561699146	19	false	3
48	26	11	1	11	27	351	0	0	-57.17518022050707	-57.17518022050707	25.51167545834679	25.51167545834679	-57.17518022050707	0.9921534789188556	-57.17518022050707	21	false	2
49	26	12	1	12	27	351	0	0	-60.200212736798846	-60.200212736798846	33.714869139656344	33.714869139656344	-60.200212736798846	0.9920060900271238	-60.200212736798846	21	false	2
50	26	12	1	12	27	351	0	0	-32.302434275593995	-32.302434275593995	34.1678541139908	34.1678541139908	-32.302434275593995	0.9920090509646807	-32.302434275593995	21	false	1
51	26	14	1	14	27	351	0	0	-26.818001760498547	-26.818001760498547	52.83062092583897	52.83062092583897	-26.818001760498547	0.9918909424554582	-26.818001760498547	17	true	2
52	27	14	1	14	27	351	0	0	-17.36560592867834	-17.36560592867834	47.875215583624794	47.875215583624794	-17.36560592867834	0.9919356855118767	-17.36560592867834	19	false	2
53	27	12	1	12	27	351	0	0	-33.86399133402273	-33.86399133402273	35.60006486487477	35.60006486487477	-33.86399133402273	0.9919597020053954	-33.86399133402273	21	false	2
54	27	12	1	12	27	351	0	0	-35.27995129599374	-35.27995129599374	36.55953603553698	36.55953603553698	-35.27995129599374	0.9919567410678385	-35.27995129599374	21	false	2
55	27	11	1	11	27	351	0	0	-76.13844484795388	-76.13844484795388	25.977636138643117	25.977636138643117	-76.13844484795388	0.9919629919360146	-76.13844484795388	23	false	2
56	27	13	1	13	27	351	0	0	-12.648856965121965	-12.648856965121965	51.13288167770499	51.13288167770499	-12.648856965121965	0.9918886395040248	-12.648856965121965	19	false	2
57	27	13	1	13	27	351	0	0	-17.876334196114172	-17.876334196114172	45.314627504506404	45.314627504506404	-17.876334196114172	0.9919534511372194	-17.876334196114172	19	false	2
58	27	11	1	11	27	351	0	0	-75.65075219678955	-75.65075219678955	26.74947522899753	26.74947522899753	-75.65075219678955	0.9919629919360146	-75.65075219678955	23	false	1
59	27	10	1	10	27	351	0	0	-25.052104880602	-25.052104880602	5.053286994430774	5.053286994430774	-25.052104880602	0.9920666247505135	-25.052104880602	15	false	2
60	27	10	1	10	27	351	0	0	-25.38669773267636	-25.38669773267636	6.784391286950278	6.784391286950278	-25.38669773267636	0.9920666247505135	-25.38669773267636	16	false	2
61	27	9	1	9	27	351	0	0	-46.84052143398096	-46.84052143398096	2.463723675924621	2.463723675924621	-46.84052143398096	0.9922192409764513	-46.84052143398096	18	false	1
62	27	9	1	9	27	351	0	0	-52.35415477230381	-52.35415477230381	2.6195638988763417	2.6195638988763417	-52.35415477230381	0.9922192409764513	-52.35415477230381	19	false	1
63	27	7	1	7	27	351	0	0	-53.35028112856119	-53.35028112856119	-29.947865463247396	-29.947865463247396	-53.35028112856119	0.992349997441165	-53.35028112856119	20	false	1
64	27	4	1	4	27	351	0	0	-97.86571078385292	-97.86571078385292	-75.70384054075308	-75.70384054075308	-97.86571078385292	0.9928645060351949	-97.86571078385292	24	false	0
65	27	2	1	2	27	351	0	0	-164.03692585288962	-164.03692585288962	-133.93407213648902	-133.93407213648902	-164.03692585288962	0.9930874902215951	-164.03692585288962	26	false	0
66	27	1	1	1	27	351	0	0	-221.42738071625672	-221.42738071625672	-221.42738071625672	-221.42738071625672	-221.42738071625672	0.9932465035348477	-221.42738071625672	26	false	0
67	27	1	1	1	27	351	0	0	-220.15012397698135	-220.15012397698135	-220.15012397698135	-220.15012397698135	-220.15012397698135	0.9932465035348477	-220.15012397698135	26	false	0
68	27	1	1	1	27	351	0	0	-215.72827095654648	-215.72827095654648	-215.72827095654648	-215.72827095654648	-215.72827095654648	0.9932465035348477	-215.72827095654648	26	false	0
69	27	1	1	1	27	351	0	0	-211.3460401342062	-211.3460401342062	-211.3460401342062	-211.3460401342062	-211.3460401342062	0.9932465035348477	-211.3460401342062	26	false	0
70	27	1	1	1	27	351	0	0	-207.41249612205655	-207.41249612205655	-207.41249612205655	-207.41249612205655	-207.41249612205655	0.9932465035348477	-207.41249612205655	26	false	0
