# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 2
# run: 6ee3c6d3-9031-4080-bfad-323fcb44725c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	32.348761395682125	32.348761395682125	57.47106380362504	57.47106380362504	32.348761395682125	0.9960817657423182	32.348761395682125	11	true	100
26	15	15	1	15	27	351	0	0	30.062839309820205	30.062839309820205	62.115679950184756	62.115679950184756	30.062839309820205	0.9960817657423182	30.062839309820205	13	true	10
27	15	15	1	15	27	351	0	0	30.726188935138552	30.726188935138552	65.1489314387467	65.1489314387467	30.726188935138552	0.9960817657423182	30.726188935138552	13	true	4
28	15	15	1	15	27	351	0	0	22.188163810558315	22.188163810558315	65.39833867695725	65.39833867695725	22.188163810558315	0.9960817657423182	22.188163810558315	15	true	7
29	15	15	1	15	27	351	0	0	26.38895149355197	26.38895149355197	65.81859593498783	65.81859593498783	26.38895149355197	0.9959128826372083	26.38895149355197	15	true	6
30	16	16	1	16	27	351	0	0	20.127426325987123	20.127426325987123	66.1341664757113	66.1341664757113	20.127426325987123	0.9955312141306174	20.127426325987123	15	true	3
31	17	16	1	16	27	351	0	0	11.143047083451977	11.143047083451977	63.10416201972278	63.10416201972278	11.143047083451977	0.9953070967458931	11.143047083451977	17	true	11
32	17	15	1	15	27	351	0	0	11.828443806438568	11.828443806438568	58.900326946624524	58.900326946624524	11.828443806438568	0.9953372544432341	11.828443806438568	16	true	3
33	19	18	1	18	27	351	0	0	45.70408086821661	45.70408086821661	68.64806714235792	68.64806714235792	45.70408086821661	0.9944696631842141	45.70408086821661	12	true	3
34	19	17	1	17	27	351	0	0	30.239351201566837	30.239351201566837	64.9117631822243	64.9117631822243	30.239351201566837	0.9944641799665158	30.239351201566837	14	true	5
