# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 17
# run: dcd2da4d-4bc5-4d78-82a3-6cff9c78da2b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	27	351	0	0	31.078728217433408	31.078728217433408	57.46919963124104	57.46919963124104	31.078728217433408	0.9960817657423182	31.078728217433408	11	true	78
26	15	15	1	15	27	351	0	0	29.94204346266224	29.94204346266224	60.31689086480783	60.31689086480783	29.94204346266224	0.9958718681688247	29.94204346266224	13	true	13
27	16	16	1	16	27	351	0	0	29.99061087009092	29.99061087009092	60.96662760224019	60.96662760224019	29.99061087009092	0.9954479788859564	29.99061087009092	13	true	4
28	18	18	1	18	27	351	0	0	21.02327853745451	21.02327853745451	61.07940274296095	61.07940274296095	21.02327853745451	0.9952459040363794	21.02327853745451	14	true	7
29	20	20	1	20	27	351	0	0	37.64880762779859	37.64880762779859	70.10965099972292	70.10965099972292	37.64880762779859	0.9948494308420032	37.64880762779859	12	true	6
30	20	19	1	19	27	351	0	0	36.31137547852036	36.31137547852036	68.43407284369079	68.43407284369079	36.31137547852036	0.9948198214664318	36.31137547852036	14	true	4
31	21	20	1	20	27	351	0	0	23.442125425633797	23.442125425633797	61.974358778951256	61.974358778951256	23.442125425633797	0.9934839999707561	23.442125425633797	17	true	8
32	23	22	1	22	27	351	0	0	18.165916587335815	18.165916587335815	66.47676425537095	66.47676425537095	18.165916587335815	0.992955600558557	18.165916587335815	17	true	4
33	24	22	1	22	27	351	0	0	18.148828095914084	18.148828095914084	65.95867816817427	65.95867816817427	18.148828095914084	0.9928677594110293	18.148828095914084	17	true	4
34	25	24	1	24	27	351	0	0	30.41652196377803	30.41652196377803	70.02056944864822	70.02056944864822	30.41652196377803	0.9927833544132592	30.41652196377803	15	true	6
35	27	25	1	25	27	351	0	0	51.02338119831199	51.02338119831199	71.11369768195895	71.11369768195895	51.02338119831199	0.9923654601150744	51.02338119831199	11	true	4
36	28	26	1	26	27	351	0	0	38.15738704266922	38.15738704266922	73.39354493922764	73.39354493922764	38.15738704266922	0.9921610092044949	38.15738704266922	14	true	4
37	29	26	1	26	27	351	0	0	42.36920436976485	42.36920436976485	74.03789269169003	74.03789269169003	42.36920436976485	0.9917666196328438	42.36920436976485	13	true	13
38	31	28	1	28	27	351	0	0	44.77114440785602	44.77114440785602	81.39387426649346	81.39387426649346	44.77114440785602	0.9910547152016729	44.77114440785602	13	true	6
39	33	29	1	29	27	351	0	0	41.83862694308939	41.83862694308939	77.97669966464518	77.97669966464518	41.83862694308939	0.9902124198536346	41.83862694308939	11	true	5
40	36	30	1	30	27	351	0	0	30.684727838179747	30.684727838179747	76.74887990500349	76.74887990500349	30.684727838179747	0.989898706691719	30.684727838179747	15	true	5
41	36	28	1	28	27	351	0	0	-5.811303265982946	-5.811303265982946	73.87481271430325	73.87481271430325	-5.811303265982946	0.9899579254428612	-5.811303265982946	18	true	4
42	38	31	1	31	27	351	0	0	5.864402817994517	5.864402817994517	75.42096265364425	75.42096265364425	5.864402817994517	0.9893097725561298	5.864402817994517	17	true	4
43	38	30	1	30	27	351	0	0	12.077526698549171	12.077526698549171	73.89659924021151	73.89659924021151	12.077526698549171	0.9889985816743555	12.077526698549171	17	true	4
44	39	30	1	30	27	351	0	0	-24.81450665665433	-24.81450665665433	71.71453558786943	71.71453558786943	-24.81450665665433	0.9889333313837451	-24.81450665665433	19	true	3
45	40	31	1	31	27	351	0	0	-21.982877019466287	-21.982877019466287	73.78579092611503	73.78579092611503	-21.982877019466287	0.9885411350991733	-21.982877019466287	19	true	4
46	42	32	1	32	27	351	0	0	-44.18416079736349	-44.18416079736349	69.20693385099617	69.20693385099617	-44.18416079736349	0.9884394396882609	-44.18416079736349	21	true	5
47	43	33	1	33	27	351	0	0	-47.77464146341505	-47.77464146341505	70.35281038992103	70.35281038992103	-47.77464146341505	0.9877936263077476	-47.77464146341505	21	true	4
48	44	33	1	33	27	351	0	0	-38.016206669425685	-38.016206669425685	68.43587348880556	68.43587348880556	-38.016206669425685	0.9874164540396693	-38.016206669425685	19	true	4
49	44	33	1	33	27	351	0	0	-28.23119479483185	-28.23119479483185	68.12115326966668	68.12115326966668	-28.23119479483185	0.9870666247505135	-28.23119479483185	17	true	4
50	45	34	1	34	27	351	0	0	-25.276987192598583	-25.276987192598583	71.46809149264813	71.46809149264813	-25.276987192598583	0.9867730167201584	-25.276987192598583	17	true	4
51	46	35	1	35	27	351	0	0	-28.167406518699366	-28.167406518699366	69.74389431583893	69.74389431583893	-28.167406518699366	0.9858782287013548	-28.167406518699366	17	true	4
52	47	36	1	36	27	351	0	0	-26.822303439695887	-26.822303439695887	72.34534191719783	72.34534191719783	-26.822303439695887	0.9857646164306446	-26.822303439695887	17	true	5
53	49	37	1	37	27	351	0	0	-26.567226452554195	-26.567226452554195	76.34237742236203	76.34237742236203	-26.567226452554195	0.9849335434014959	-26.567226452554195	17	true	6
54	52	39	1	39	27	351	0	0	-21.074017599248265	-21.074017599248265	77.58446259225512	77.58446259225512	-21.074017599248265	0.9815090180653744	-21.074017599248265	17	true	4
55	52	40	1	40	27	351	0	0	-18.259769719702618	-18.259769719702618	80.60915110445342	80.60915110445342	-18.259769719702618	0.981467126282159	-18.259769719702618	17	true	5
56	54	42	1	42	27	351	0	0	-41.31882333671557	-41.31882333671557	80.14256152840157	80.14256152840157	-41.31882333671557	0.9806719866063268	-41.31882333671557	19	true	5
57	54	42	1	42	27	351	0	0	-9.897905757204654	-9.897905757204654	80.28483535983723	80.28483535983723	-9.897905757204654	0.9805871063963562	-9.897905757204654	18	true	6
58	55	43	1	43	27	351	0	0	-42.949126458390026	-42.949126458390026	80.15728918146297	80.15728918146297	-42.949126458390026	0.980249925062691	-42.949126458390026	21	true	5
59	55	41	1	41	27	351	0	0	-70.42698121984859	-70.42698121984859	78.67800239139447	78.67800239139447	-70.42698121984859	0.9794095671182401	-70.42698121984859	22	true	16
60	57	43	1	43	27	351	0	0	-62.63633665591331	-62.63633665591331	80.23426361362381	80.23426361362381	-62.63633665591331	0.9791256826606033	-62.63633665591331	22	true	5
61	58	45	1	45	27	351	0	0	-89.84232971771385	-89.84232971771385	79.13755896809954	79.13755896809954	-89.84232971771385	0.9788586499586928	-89.84232971771385	24	true	10
62	60	46	1	46	27	351	0	0	-51.63636881352373	-51.63636881352373	79.05302149780641	79.05302149780641	-51.63636881352373	0.9780472068489042	-51.63636881352373	22	true	18
63	61	46	1	46	27	351	0	0	-70.35662023749859	-70.35662023749859	79.11853899574614	79.11853899574614	-70.35662023749859	0.9764148894948856	-70.35662023749859	22	true	4
64	64	48	1	48	27	351	0	0	48.49510956715674	48.49510956715674	78.74387105181587	78.74387105181587	48.49510956715674	0.9759041094888907	48.49510956715674	7	true	5
65	64	49	1	49	27	351	0	0	-45.91310094098684	-45.91310094098684	78.15287488760285	78.15287488760285	-45.91310094098684	0.9735184711326863	-45.91310094098684	19	true	15
66	67	52	1	52	27	351	0	0	20.444864501410336	20.444864501410336	80.03503939384665	80.03503939384665	20.444864501410336	0.9726518302980676	20.444864501410336	12	true	8
67	70	54	1	54	27	351	0	0	6.0554015661006755	6.0554015661006755	80.37889286726251	80.37889286726251	6.0554015661006755	0.9719455187489487	6.0554015661006755	16	true	7
68	75	57	1	57	27	351	0	0	10.83201389126315	10.83201389126315	82.32326252079628	82.32326252079628	10.83201389126315	0.9703291027262556	10.83201389126315	16	true	8
69	76	58	1	58	27	351	0	0	11.747527158802916	11.747527158802916	83.43084293629063	83.43084293629063	11.747527158802916	0.9700842222238466	11.747527158802916	16	true	20
70	78	58	1	58	27	351	0	0	27.480167794980346	27.480167794980346	81.59250022198286	81.59250022198286	27.480167794980346	0.9697140684744223	27.480167794980346	14	true	15
71	80	59	1	59	27	351	0	0	35.47224317276351	35.47224317276351	82.97869106370226	82.97869106370226	35.47224317276351	0.9691535008517262	35.47224317276351	13	true	9
72	84	62	1	62	27	351	0	0	33.145890512415946	33.145890512415946	82.48572040107271	82.48572040107271	33.145890512415946	0.9649808452928402	33.145890512415946	12	true	9
73	84	63	1	63	27	351	0	0	46.55297818454464	46.55297818454464	82.22621912037175	82.22621912037175	46.55297818454464	0.9646423114321433	46.55297818454464	10	true	9
74	85	60	1	60	27	351	0	0	22.28327806527662	22.28327806527662	81.44939630176083	81.44939630176083	22.28327806527662	0.9644488269569603	22.28327806527662	11	true	9
75	89	63	1	63	27	351	0	0	-6.448962529708915	-6.448962529708915	80.73036882668548	80.73036882668548	-6.448962529708915	0.9637712109137965	-6.448962529708915	14	true	34
76	89	64	1	64	27	351	0	0	-9.546577672300183	-9.546577672300183	80.66470190518558	80.66470190518558	-9.546577672300183	0.9634810390331993	-9.546577672300183	15	true	9
77	90	63	1	63	27	351	0	0	-5.143282483611905	-5.143282483611905	80.00893591639567	80.00893591639567	-5.143282483611905	0.9633997777469093	-5.143282483611905	14	true	24
78	97	69	1	69	27	351	0	0	-2.6008327180898974	-2.6008327180898974	81.01543828453183	81.01543828453183	-2.6008327180898974	0.9622438423465246	-2.6008327180898974	14	true	20
79	101	70	1	70	27	351	0	0	-35.95235867120302	-35.95235867120302	80.0831328250273	80.0831328250273	-35.95235867120302	0.9612130339740168	-35.95235867120302	16	true	19
80	105	74	1	74	27	351	0	0	-22.636259807700526	-22.636259807700526	79.16238629638384	79.16238629638384	-22.636259807700526	0.9590313713161918	-22.636259807700526	20	true	11
81	105	77	1	77	27	351	0	0	-12.191770617067434	-12.191770617067434	80.53169650815752	80.53169650815752	-12.191770617067434	0.9573418822789715	-12.191770617067434	18	true	10
82	107	77	1	77	27	351	0	0	-24.716995095270377	-24.716995095270377	80.30145985773802	80.30145985773802	-24.716995095270377	0.9567680452694454	-24.716995095270377	19	true	10
83	110	80	1	80	27	351	0	0	-17.6918271862843	-17.6918271862843	81.70740328150396	81.70740328150396	-17.6918271862843	0.9560770136203128	-17.6918271862843	19	true	10
84	112	82	1	82	27	351	0	0	-17.450017918335902	-17.450017918335902	82.1947060845251	82.1947060845251	-17.450017918335902	0.9551772175960113	-17.450017918335902	19	true	10
85	116	85	1	85	27	351	0	0	11.959957290348214	11.959957290348214	81.88390394575535	81.88390394575535	11.959957290348214	0.9546061587501189	11.959957290348214	17	true	22
86	120	86	1	86	27	351	0	0	-23.153978656105878	-23.153978656105878	81.3285287925682	81.3285287925682	-23.153978656105878	0.9537470847559237	-23.153978656105878	19	true	21
87	124	91	1	91	27	351	0	0	-22.64619792946874	-22.64619792946874	81.95300914880329	81.95300914880329	-22.64619792946874	0.9525122275754675	-22.64619792946874	19	true	18
88	127	92	1	92	27	351	0	0	-12.865279663862779	-12.865279663862779	81.05173357261647	81.05173357261647	-12.865279663862779	0.9506929324979347	-12.865279663862779	17	true	19
89	128	92	1	92	27	351	0	0	-7.089738563969389	-7.089738563969389	82.29085487614034	82.29085487614034	-7.089738563969389	0.9493177780539697	-7.089738563969389	18	true	22
90	131	93	1	93	27	351	0	0	8.141507474550894	8.141507474550894	81.61487733451567	81.61487733451567	8.141507474550894	0.9482802436010851	8.141507474550894	18	true	22
91	133	95	1	95	27	351	0	0	-39.72006311048773	-39.72006311048773	80.32459699041758	80.32459699041758	-39.72006311048773	0.9469512578501402	-39.72006311048773	22	true	22
92	139	102	1	102	27	351	0	0	-30.073534363470202	-30.073534363470202	80.28481443306552	80.28481443306552	-30.073534363470202	0.9454293725005668	-30.073534363470202	20	true	26
93	141	104	1	104	27	351	0	0	-21.119491520591197	-21.119491520591197	81.5667479739712	81.5667479739712	-21.119491520591197	0.9450395888317822	-21.119491520591197	16	true	23
94	146	108	1	108	27	351	0	0	-26.119942894003565	-26.119942894003565	80.98212181236548	80.98212181236548	-26.119942894003565	0.9442333365014147	-26.119942894003565	19	true	23
