# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 26
# run: 6751ff4d-665b-4673-8518-dd7134629e7a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	31	403	0	0	26.826200301372964	26.826200301372964	61.93289451841103	61.93289451841103	26.826200301372964	0.9960817657423182	26.826200301372964	15	true	126
26	15	15	1	15	31	403	0	0	25.964981296876118	25.964981296876118	68.31114025584057	68.31114025584057	25.964981296876118	0.9960817657423182	25.964981296876118	17	true	4
27	15	15	1	15	31	403	0	0	26.956380169457418	26.956380169457418	71.07028668434175	71.07028668434175	26.956380169457418	0.9960817657423182	26.956380169457418	17	true	9
28	16	16	1	16	31	403	0	0	17.43256632622652	17.43256632622652	70.19464465472174	70.19464465472174	17.43256632622652	0.9955637844437458	17.43256632622652	19	true	6
29	17	17	1	17	31	403	0	0	5.587195490887876	5.587195490887876	70.52686734581012	70.52686734581012	5.587195490887876	0.9952702495229601	5.587195490887876	21	true	8
30	20	20	1	20	31	403	0	0	43.831489189742236	43.831489189742236	77.9445657891008	77.9445657891008	43.831489189742236	0.9948494308420032	43.831489189742236	15	true	5
31	20	18	1	18	31	403	0	0	25.490310119255973	25.490310119255973	72.81025329292389	72.81025329292389	25.490310119255973	0.9948566686893648	25.490310119255973	18	true	4
32	20	18	1	18	31	403	0	0	34.26242439243233	34.26242439243233	69.99161923141249	69.99161923141249	34.26242439243233	0.9943258932161629	34.26242439243233	17	true	4
33	22	21	1	21	31	403	0	0	21.79466862509599	21.79466862509599	70.7494069683071	70.7494069683071	21.79466862509599	0.9933576666349858	21.79466862509599	20	true	7
34	22	20	1	20	31	403	0	0	3.367129802071762	3.367129802071762	65.29863635833911	65.29863635833911	3.367129802071762	0.9932099487501918	3.367129802071762	21	true	4
35	23	20	1	20	31	403	0	0	3.5098360095905807	3.5098360095905807	62.707673898026144	62.707673898026144	3.5098360095905807	0.9930205584108904	3.5098360095905807	20	true	5
36	23	20	1	20	31	403	0	0	5.946286790256915	5.946286790256915	62.66847241301052	62.66847241301052	5.946286790256915	0.9928106608373971	5.946286790256915	20	true	4
37	24	20	1	20	31	403	0	0	3.424216307730825	3.424216307730825	60.58050533720955	60.58050533720955	3.424216307730825	0.9926871056652604	3.424216307730825	18	true	6
38	24	20	1	20	31	403	0	0	4.459090848638011	4.459090848638011	63.03564097778971	63.03564097778971	4.459090848638011	0.9926871056652604	4.459090848638011	18	true	6
39	25	19	1	19	31	403	0	0	-44.38389691394636	-44.38389691394636	60.62524778896561	60.62524778896561	-44.38389691394636	0.992676541332495	-44.38389691394636	25	true	14
40	26	20	1	20	31	403	0	0	-37.04079933650323	-37.04079933650323	60.01243252433066	60.01243252433066	-37.04079933650323	0.992192117326237	-37.04079933650323	25	true	4
41	27	20	1	20	31	403	0	0	-44.37445326210518	-44.37445326210518	58.35429208007437	58.35429208007437	-44.37445326210518	0.9915732813767995	-44.37445326210518	24	true	4
42	30	23	1	23	31	403	0	0	-5.558087326321246	-5.558087326321246	72.28598056872241	72.28598056872241	-5.558087326321246	0.9912687800206168	-5.558087326321246	22	true	5
43	30	22	1	22	31	403	0	0	-47.62656512079285	-47.62656512079285	69.3626691334743	69.3626691334743	-47.62656512079285	0.991315497035407	-47.62656512079285	24	true	5
44	30	22	1	22	31	403	0	0	-46.699326552196936	-46.699326552196936	69.37094439494962	69.37094439494962	-46.699326552196936	0.991275030888793	-46.699326552196936	24	true	4
45	30	21	1	21	31	403	0	0	-72.50715212201222	-72.50715212201222	66.51090444670163	66.51090444670163	-72.50715212201222	0.991321747903583	-72.50715212201222	26	true	4
46	31	23	1	23	31	403	0	0	-72.06697718970918	-72.06697718970918	70.94707768213146	70.94707768213146	-72.06697718970918	0.9910179776430936	-72.06697718970918	26	true	4
47	31	21	1	21	31	403	0	0	-87.78490577463032	-87.78490577463032	61.503577994171295	61.503577994171295	-87.78490577463032	0.9909301364955659	-87.78490577463032	24	true	4
48	31	22	1	22	31	403	0	0	-70.7392915344715	-70.7392915344715	69.14581839685076	69.14581839685076	-70.7392915344715	0.990883419480776	-70.7392915344715	23	true	4
49	32	23	1	23	31	403	0	0	-62.41162039931619	-62.41162039931619	74.2256997092626	74.2256997092626	-62.41162039931619	0.9907715618397293	-62.41162039931619	23	true	5
50	33	23	1	23	31	403	0	0	-44.88736106423353	-44.88736106423353	74.07656736537125	74.07656736537125	-44.88736106423353	0.9906865354106199	-44.88736106423353	21	true	4
51	33	23	1	23	31	403	0	0	-50.22744867558902	-50.22744867558902	73.04599417368573	73.04599417368573	-50.22744867558902	0.9905646983133621	-50.22744867558902	21	true	4
52	33	24	1	24	31	403	0	0	-43.342459891056464	-43.342459891056464	76.25043215564533	76.25043215564533	-43.342459891056464	0.9905055892265738	-43.342459891056464	21	true	4
53	34	25	1	25	31	403	0	0	-6.948918370773299	-6.948918370773299	71.58484723128242	71.58484723128242	-6.948918370773299	0.9898759696156633	-6.948918370773299	22	true	4
54	34	22	1	22	31	403	0	0	-71.7582854831715	-71.7582854831715	55.34137490707518	55.34137490707518	-71.7582854831715	0.9900361892368094	-71.7582854831715	27	true	17
55	34	24	1	24	31	403	0	0	-22.278416261768243	-22.278416261768243	69.66961513656666	69.66961513656666	-22.278416261768243	0.9899588758672623	-22.278416261768243	21	true	4
56	34	22	1	22	31	403	0	0	-101.05876123373459	-101.05876123373459	53.82009448518315	53.82009448518315	-101.05876123373459	0.9899710486105527	-101.05876123373459	27	true	4
57	36	23	1	23	31	403	0	0	-100.79883975778073	-100.79883975778073	55.72988292265526	55.72988292265526	-100.79883975778073	0.9896554345998347	-100.79883975778073	27	true	4
58	36	25	1	25	31	403	0	0	-52.27157755017561	-52.27157755017561	66.97318006149716	66.97318006149716	-52.27157755017561	0.9893241385864996	-52.27157755017561	26	true	4
59	36	24	1	24	31	403	0	0	-45.998252610447096	-45.998252610447096	62.83512920020574	62.83512920020574	-45.998252610447096	0.9893708556012897	-45.998252610447096	25	true	5
60	36	23	1	23	31	403	0	0	-95.37886262246333	-95.37886262246333	58.37569853870506	58.37569853870506	-95.37886262246333	0.9893088586865134	-95.37886262246333	26	true	4
