# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 9
# run: 6c783178-e356-4fbb-8e94-3dacb329f4de
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	31	403	0	0	26.80989867559238	26.80989867559238	61.254650642960286	61.254650642960286	26.80989867559238	0.9960817657423182	26.80989867559238	15	true	35
26	15	15	1	15	31	403	0	0	25.923780811756544	25.923780811756544	67.17093770921744	67.17093770921744	25.923780811756544	0.9960817657423182	25.923780811756544	17	true	5
27	16	16	1	16	31	403	0	0	28.79593823897484	28.79593823897484	69.29122134079128	69.29122134079128	28.79593823897484	0.9956494323041942	28.79593823897484	17	true	11
28	17	17	1	17	31	403	0	0	3.6098971625526275	3.6098971625526275	71.43608716801027	71.43608716801027	3.6098971625526275	0.9954391326280697	3.6098971625526275	21	true	6
29	18	18	1	18	31	403	0	0	13.321847388254366	13.321847388254366	73.2152993343544	73.2152993343544	13.321847388254366	0.9950458031451738	13.321847388254366	19	true	16
30	20	20	1	20	31	403	0	0	41.49045086127019	41.49045086127019	79.56600196613932	79.56600196613932	41.49045086127019	0.9948494308420032	41.49045086127019	15	true	10
31	20	19	1	19	31	403	0	0	2.6937813620177025	2.6937813620177025	67.44258783876691	67.44258783876691	2.6937813620177025	0.9942757766064	2.6937813620177025	21	true	4
32	21	18	1	18	31	403	0	0	-11.082559170927365	-11.082559170927365	58.05735080412316	58.05735080412316	-11.082559170927365	0.9935228211520607	-11.082559170927365	23	true	4
33	23	21	1	21	31	403	0	0	13.403207585380207	13.403207585380207	68.491508132517	68.491508132517	13.403207585380207	0.9929575745169286	13.403207585380207	21	true	6
34	24	20	1	20	31	403	0	0	26.070999737889885	26.070999737889885	65.53256589148825	65.53256589148825	26.070999737889885	0.9929065805923335	26.070999737889885	17	true	4
35	24	20	1	20	31	403	0	0	30.751683867096908	30.751683867096908	67.04573688854535	67.04573688854535	30.751683867096908	0.9926966830188402	30.751683867096908	17	true	4
36	25	21	1	21	31	403	0	0	28.76043707835506	28.76043707835506	70.21073908818138	70.21073908818138	28.76043707835506	0.9925711538883324	28.76043707835506	17	true	5
37	26	23	1	23	31	403	0	0	8.087453947531838	8.087453947531838	72.19543664703652	72.19543664703652	8.087453947531838	0.9922638378137316	8.087453947531838	21	true	5
38	26	21	1	21	31	403	0	0	6.5150517802284345	6.5150517802284345	65.57839022151624	65.57839022151624	6.5150517802284345	0.9923506919820737	6.5150517802284345	19	true	6
39	27	22	1	22	31	403	0	0	-1.2178191749371052	-1.2178191749371052	66.04738481016443	66.04738481016443	-1.2178191749371052	0.9918662679758156	-1.2178191749371052	21	true	17
40	29	23	1	23	31	403	0	0	-15.585976071277566	-15.585976071277566	69.23454874109954	69.23454874109954	-15.585976071277566	0.9907249544892931	-15.585976071277566	20	true	5
41	32	24	1	24	31	403	0	0	-58.413908589512204	-58.413908589512204	70.97014349412879	70.97014349412879	-58.413908589512204	0.9905834143631059	-58.413908589512204	23	true	5
42	32	24	1	24	31	403	0	0	-56.278521175827265	-56.278521175827265	75.1206262473829	75.1206262473829	-56.278521175827265	0.9905863753006633	-56.278521175827265	25	true	4
43	32	24	1	24	31	403	0	0	-49.684340252729854	-49.684340252729854	76.36148627620692	76.36148627620692	-49.684340252729854	0.9905863753006633	-49.684340252729854	25	true	5
