# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 20
# run: 3ae2863d-7867-49c6-a1a9-273ebe521744
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	4.949411755759556	4.949411755759556	67.00525569786836	67.00525569786836	4.949411755759556	0.9964291824156865	4.949411755759556	24	false	170
26	15	15	1	15	40	520	0	0	4.775109647140042	4.775109647140042	71.52351040522437	71.52351040522437	4.775109647140042	0.9960817657423182	4.775109647140042	26	false	70
27	15	15	1	15	40	520	0	0	6.0015800130266115	6.0015800130266115	74.99784145535922	74.99784145535922	6.0015800130266115	0.9960817657423182	6.0015800130266115	26	false	6
28	15	15	1	15	40	520	0	0	-7.291924937716971	-7.291924937716971	79.56028766528709	79.56028766528709	-7.291924937716971	0.9960817657423182	-7.291924937716971	28	false	8
29	15	15	1	15	40	520	0	0	-3.165484474488558	-3.165484474488558	78.53707095380874	78.53707095380874	-3.165484474488558	0.9959128826372083	-3.165484474488558	28	false	10
30	15	15	1	15	40	520	0	0	-7.666156250884564	-7.666156250884564	77.78728574975129	77.78728574975129	-7.666156250884564	0.9957029850637148	-7.666156250884564	28	false	5
31	17	17	1	17	40	520	0	0	-3.012808098428243	-3.012808098428243	81.00016104000326	81.00016104000326	-3.012808098428243	0.9952702495229601	-3.012808098428243	26	false	8
32	17	16	1	16	40	520	0	0	-6.499675831020664	-6.499675831020664	76.0665816276258	76.0665816276258	-6.499675831020664	0.9953070967458931	-6.499675831020664	26	false	5
33	17	14	1	14	40	520	0	0	-17.1346123784249	-17.1346123784249	61.05541948312781	61.05541948312781	-17.1346123784249	0.9953875903817052	-17.1346123784249	27	false	22
34	17	14	1	14	40	520	0	0	-33.07601430056571	-33.07601430056571	48.79903775437978	48.79903775437978	-33.07601430056571	0.9949437787411994	-33.07601430056571	28	false	6
35	17	13	1	13	40	520	0	0	-53.82558767176916	-53.82558767176916	19.027566209639637	19.027566209639637	-53.82558767176916	0.9942814060432369	-53.82558767176916	31	false	4
36	17	11	1	11	40	520	0	0	-101.95291308589297	-101.95291308589297	-15.722937855448494	-15.722937855448494	-101.95291308589297	0.9942724135662115	-101.95291308589297	33	false	4
37	18	11	1	11	40	520	0	0	-132.12882747863355	-132.12882747863355	-3.091764353957368	-3.091764353957368	-132.12882747863355	0.9941127422668352	-132.12882747863355	34	false	4
38	18	11	1	11	40	520	0	0	-123.5400277772872	-123.5400277772872	0.32655371344504935	0.32655371344504935	-123.5400277772872	0.9941127422668352	-123.5400277772872	34	false	4
39	18	11	1	11	40	520	0	0	-120.33386145123889	-120.33386145123889	-6.388693804531142	-6.388693804531142	-120.33386145123889	0.9939028446933419	-120.33386145123889	34	false	3
40	18	11	1	11	40	520	0	0	-117.8532473360005	-117.8532473360005	-4.627770741455278	-4.627770741455278	-117.8532473360005	0.9939028446933419	-117.8532473360005	34	false	3
41	19	13	1	13	40	520	0	0	-101.72250132678954	-101.72250132678954	23.857423919821883	23.857423919821883	-101.72250132678954	0.9937103837521294	-101.72250132678954	33	false	4
42	19	11	1	11	40	520	0	0	-115.39966581317749	-115.39966581317749	-1.075858135661644	-1.075858135661644	-115.39966581317749	0.9937959219482237	-115.39966581317749	34	false	4
43	19	11	1	11	40	520	0	0	-111.72318312490053	-111.72318312490053	1.3445331295048142	1.3445331295048142	-111.72318312490053	0.9937959219482237	-111.72318312490053	34	false	4
44	20	12	1	12	40	520	0	0	-118.70630719491955	-118.70630719491955	10.476881949918937	10.476881949918937	-118.70630719491955	0.9933733486376032	-118.70630719491955	36	false	4
45	21	12	1	12	40	520	0	0	-50.532006027414795	-50.532006027414795	2.6950870557899336	2.6950870557899336	-50.532006027414795	0.9930188768907962	-50.532006027414795	30	false	4
46	21	13	1	13	40	520	0	0	-56.97478206490838	-56.97478206490838	19.133598915691152	19.133598915691152	-56.97478206490838	0.9929721598760062	-56.97478206490838	34	false	4
47	21	11	1	11	40	520	0	0	-127.77329294522582	-127.77329294522582	-15.764654330127794	-15.764654330127794	-127.77329294522582	0.9930251277589723	-127.77329294522582	32	false	4
48	21	11	1	11	40	520	0	0	-117.39499022135215	-117.39499022135215	-13.933920875782178	-13.933920875782178	-117.39499022135215	0.9930251277589723	-117.39499022135215	31	false	4
49	21	9	1	9	40	520	0	0	-141.20210665156927	-141.20210665156927	-55.910313833593676	-55.910313833593676	-141.20210665156927	0.993092059569677	-141.20210665156927	32	false	3
50	21	10	1	10	40	520	0	0	-147.03934300199393	-147.03934300199393	-36.5733513214493	-36.5733513214493	-147.03934300199393	0.993083359530929	-147.03934300199393	30	false	3
51	21	9	1	9	40	520	0	0	-137.72417680948803	-137.72417680948803	-55.28528460910453	-55.28528460910453	-137.72417680948803	0.993092059569677	-137.72417680948803	32	false	3
