# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 1
# run: 4bb24a40-c196-4ed7-af8d-8cc8c93ef234
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	4.962030753201617	4.962030753201617	68.38321647971998	68.38321647971998	4.962030753201617	0.9966306358339244	4.962030753201617	24	false	146
26	15	15	1	15	40	520	0	0	5.073685535375475	5.073685535375475	72.56180654693829	72.56180654693829	5.073685535375475	0.9960817657423182	5.073685535375475	26	false	53
27	15	15	1	15	40	520	0	0	5.953747691817227	5.953747691817227	76.72379338485116	76.72379338485116	5.953747691817227	0.9960817657423182	5.953747691817227	26	false	6
28	15	15	1	15	40	520	0	0	-7.37709052217987	-7.37709052217987	78.2334590654786	78.2334590654786	-7.37709052217987	0.9960817657423182	-7.37709052217987	28	false	18
29	15	15	1	15	40	520	0	0	-3.4277104279352457	-3.4277104279352457	81.23375669136104	81.23375669136104	-3.4277104279352457	0.9960817657423182	-3.4277104279352457	28	false	10
30	15	15	1	15	40	520	0	0	-5.19817118674694	-5.19817118674694	80.18648407688525	80.18648407688525	-5.19817118674694	0.9959128826372083	-5.19817118674694	28	false	5
31	15	14	1	14	40	520	0	0	31.256642704862436	31.256642704862436	68.72117627396874	68.72117627396874	31.256642704862436	0.9957533210021858	31.256642704862436	23	false	6
32	16	14	1	14	40	520	0	0	2.1255789201289925	2.1255789201289925	65.54326440052184	65.54326440052184	2.1255789201289925	0.9955657218473326	2.1255789201289925	23	false	5
33	16	12	1	12	40	520	0	0	-34.35381608164091	-34.35381608164091	47.14078359245612	47.14078359245612	-34.35381608164091	0.9956502730642415	-34.35381608164091	28	false	6
34	16	11	1	11	40	520	0	0	-76.18602597210305	-76.18602597210305	37.07044798508376	37.07044798508376	-76.18602597210305	0.9956501633998873	-76.18602597210305	30	false	11
35	16	12	1	12	40	520	0	0	-54.70309192179033	-54.70309192179033	41.81250097672434	41.81250097672434	-54.70309192179033	0.9952667768184177	-54.70309192179033	28	false	3
36	16	10	1	10	40	520	0	0	-117.56360836044269	-117.56360836044269	0.7391512409517151	0.7391512409517151	-117.56360836044269	0.9950349463741309	-117.56360836044269	32	false	16
37	16	9	1	9	40	520	0	0	-102.32201374303965	-102.32201374303965	-9.058358295661202	-9.058358295661202	-102.32201374303965	0.9951628881204261	-102.32201374303965	32	false	3
38	16	10	1	10	40	520	0	0	-185.56186880695628	-185.56186880695628	-9.407675354932712	-9.407675354932712	-185.56186880695628	0.9946393504945861	-185.56186880695628	36	false	5
39	16	9	1	9	40	520	0	0	-109.8901865062901	-109.8901865062901	-27.427095404150172	-27.427095404150172	-109.8901865062901	0.9946863965024381	-109.8901865062901	33	false	3
40	16	9	1	9	40	520	0	0	-104.00102275441951	-104.00102275441951	-31.27135204570328	-31.27135204570328	-104.00102275441951	0.9944764989289447	-104.00102275441951	33	false	2
41	17	9	1	9	40	520	0	0	-128.86948787032117	-128.86948787032117	-22.76118097935505	-22.76118097935505	-128.86948787032117	0.9943314495434307	-128.86948787032117	34	false	4
42	17	9	1	9	40	520	0	0	-120.02111597518314	-120.02111597518314	-18.648048209658192	-18.648048209658192	-120.02111597518314	0.9943314495434307	-120.02111597518314	34	false	4
43	17	9	1	9	40	520	0	0	-116.85139622301435	-116.85139622301435	-15.318516365407653	-15.318516365407653	-116.85139622301435	0.9943314495434307	-116.85139622301435	34	false	2
44	17	9	1	9	40	520	0	0	-114.42087757069336	-114.42087757069336	-12.766016780179392	-12.766016780179392	-114.42087757069336	0.9943314495434307	-114.42087757069336	34	false	3
45	17	9	1	9	40	520	0	0	-112.62893867598457	-112.62893867598457	-19.63127117194918	-19.63127117194918	-112.62893867598457	0.9940853627331281	-112.62893867598457	34	false	3
46	18	10	1	10	40	520	0	0	-105.2761103893568	-105.2761103893568	-0.11422556498206582	-0.11422556498206582	-105.2761103893568	0.9939399477997676	-105.2761103893568	33	false	3
47	18	8	1	8	40	520	0	0	-144.75994327307845	-144.75994327307845	-42.88054010650462	-42.88054010650462	-144.75994327307845	0.9940366717599666	-144.75994327307845	34	false	3
48	18	7	1	7	40	520	0	0	-146.3493859661429	-146.3493859661429	-61.69754074209604	-61.69754074209604	-146.3493859661429	0.9940453717987147	-146.3493859661429	35	false	2
49	18	7	1	7	40	520	0	0	-141.61665908352882	-141.61665908352882	-59.15000773568343	-59.15000773568343	-141.61665908352882	0.9940453717987147	-141.61665908352882	35	false	2
