# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 11
# run: 7dcc50a1-a173-4e22-a283-7eb582010ad0
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	4.957083583025067	4.957083583025067	64.03436803857294	64.03436803857294	4.957083583025067	0.9960817657423182	4.957083583025067	24	false	116
26	15	15	1	15	40	520	0	0	4.874115329994794	4.874115329994794	70.89245126087636	70.89245126087636	4.874115329994794	0.9960817657423182	4.874115329994794	26	false	27
27	15	15	1	15	40	520	0	0	8.800204970306694	8.800204970306694	76.42174034433879	76.42174034433879	8.800204970306694	0.9960817657423182	8.800204970306694	26	false	18
28	15	15	1	15	40	520	0	0	-7.622875985589367	-7.622875985589367	77.19078185683406	77.19078185683406	-7.622875985589367	0.9958718681688247	-7.622875985589367	28	false	18
29	16	16	1	16	40	520	0	0	-5.089852430879098	-5.089852430879098	79.0582021545458	79.0582021545458	-5.089852430879098	0.9955312141306174	-5.089852430879098	27	false	10
30	17	16	1	16	40	520	0	0	-20.4754419354267	-20.4754419354267	72.34247032981165	72.34247032981165	-20.4754419354267	0.9952902084353822	-20.4754419354267	28	false	5
31	17	16	1	16	40	520	0	0	-19.471868425463995	-19.471868425463995	74.96094522472106	74.96094522472106	-19.471868425463995	0.9952902084353822	-19.471868425463995	28	false	17
32	19	17	1	17	40	520	0	0	16.26055097966441	16.26055097966441	79.63187658627884	79.63187658627884	16.26055097966441	0.9948611649278775	16.26055097966441	25	false	13
33	19	17	1	17	40	520	0	0	-56.9355942074542	-56.9355942074542	61.83563056679873	61.83563056679873	-56.9355942074542	0.9938858101636922	-56.9355942074542	33	false	31
34	20	16	1	16	40	520	0	0	-71.85255310859053	-71.85255310859053	49.60551364197322	49.60551364197322	-71.85255310859053	0.9936948845234351	-71.85255310859053	34	false	6
35	20	15	1	15	40	520	0	0	-114.19447412509084	-114.19447412509084	36.089563807528805	36.089563807528805	-114.19447412509084	0.9936509091174944	-114.19447412509084	36	false	9
36	21	16	1	16	40	520	0	0	-43.58342688355672	-43.58342688355672	42.64148473017541	42.64148473017541	-43.58342688355672	0.9935183249135479	-43.58342688355672	29	false	5
37	21	13	1	13	40	520	0	0	-80.27475700961963	-80.27475700961963	5.283229888451054	5.283229888451054	-80.27475700961963	0.9934209429672248	-80.27475700961963	29	false	5
38	21	13	1	13	40	520	0	0	-90.06914258388795	-90.06914258388795	10.441703904024955	10.441703904024955	-90.06914258388795	0.993382596998121	-90.06914258388795	32	false	6
39	22	11	1	11	40	520	0	0	-129.44134558932095	-129.44134558932095	0.4814419069411944	0.4814419069411944	-129.44134558932095	0.9934923710164424	-129.44134558932095	31	false	4
40	22	10	1	10	40	520	0	0	-146.5237176632478	-146.5237176632478	-22.33233810082764	-22.33233810082764	-146.5237176632478	0.9931576754081343	-146.5237176632478	30	false	3
41	22	10	1	10	40	520	0	0	-143.88044075578708	-143.88044075578708	-29.79941686117942	-29.79941686117942	-143.88044075578708	0.9929115885978316	-143.88044075578708	30	false	4
