# solver: S-CTS
# max_time: 300000
# main_solver: S-CTS
# random.seed: 10
# run: ab406641-83b7-4269-809a-6604a97c4fbe
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	1	15	40	520	0	0	2.940592845481305	2.940592845481305	64.75097569125255	64.75097569125255	2.940592845481305	0.9960817657423182	2.940592845481305	24	false	231
26	15	15	1	15	40	520	0	0	4.425848936841831	4.425848936841831	71.61741728051621	71.61741728051621	4.425848936841831	0.9960817657423182	4.425848936841831	26	false	40
27	15	15	1	15	40	520	0	0	8.394375730757176	8.394375730757176	74.99771338247979	74.99771338247979	8.394375730757176	0.9960817657423182	8.394375730757176	26	false	45
28	15	15	1	15	40	520	0	0	-7.953365760605699	-7.953365760605699	78.7776898144698	78.7776898144698	-7.953365760605699	0.9960817657423182	-7.953365760605699	28	false	15
29	15	15	1	15	40	520	0	0	-4.664811641377554	-4.664811641377554	73.32678546154597	73.32678546154597	-4.664811641377554	0.9956704147505866	-4.664811641377554	28	false	10
30	17	17	1	17	40	520	0	0	-28.28461054860327	-28.28461054860327	81.2651171608972	81.2651171608972	-28.28461054860327	0.9952702495229601	-28.28461054860327	30	false	5
31	17	16	1	16	40	520	0	0	-28.711328053114855	-28.711328053114855	73.14443712269102	73.14443712269102	-28.711328053114855	0.9952902084353822	-28.711328053114855	29	false	7
32	18	17	1	17	40	520	0	0	6.675063664249464	6.675063664249464	81.12001967718916	81.12001967718916	6.675063664249464	0.995101293308281	6.675063664249464	27	false	15
33	19	16	1	16	40	520	0	0	-71.20352949230276	-71.20352949230276	51.177230148253415	51.177230148253415	-71.20352949230276	0.9939328561715441	-71.20352949230276	34	false	22
34	20	15	1	15	40	520	0	0	-120.27996114626421	-120.27996114626421	38.81530833176811	38.81530833176811	-120.27996114626421	0.9937498263647729	-120.27996114626421	36	false	5
35	20	16	1	16	40	520	0	0	-111.47722249699277	-111.47722249699277	47.815537771368625	47.815537771368625	-111.47722249699277	0.993702780356921	-111.47722249699277	36	false	5
36	21	16	1	16	40	520	0	0	-83.0193371570247	-83.0193371570247	40.31097733323442	40.31097733323442	-83.0193371570247	0.9935087841147527	-83.0193371570247	30	false	5
37	21	15	1	15	40	520	0	0	-65.43618407236977	-65.43618407236977	31.588689628883564	31.588689628883564	-65.43618407236977	0.9933363917503163	-65.43618407236977	31	false	6
38	22	14	1	14	40	520	0	0	-84.6142979515353	-84.6142979515353	16.844638558035943	16.844638558035943	-84.6142979515353	0.9932954138367172	-84.6142979515353	26	false	12
39	22	13	1	13	40	520	0	0	-106.85705401015726	-106.85705401015726	9.95231553492292	9.95231553492292	-106.85705401015726	0.9933041138754652	-106.85705401015726	29	false	4
40	22	12	1	12	40	520	0	0	-111.86475458331404	-111.86475458331404	5.732789415120578	5.732789415120578	-111.86475458331404	0.9934320556217604	-111.86475458331404	30	false	4
41	22	10	1	10	40	520	0	0	-155.13733043415502	-155.13733043415502	-24.387518711662835	-24.387518711662835	-155.13733043415502	0.9931576754081343	-155.13733043415502	32	false	3
42	22	12	1	12	40	520	0	0	-162.15422479637922	-162.15422479637922	-1.981047669509147	-1.981047669509147	-162.15422479637922	0.9928558425512315	-162.15422479637922	33	false	4
43	24	12	1	12	40	520	0	0	-167.35115828351266	-167.35115828351266	7.4513190326949434	7.4513190326949434	-167.35115828351266	0.9925076582273854	-167.35115828351266	34	false	4
44	25	13	1	13	40	520	0	0	-198.65365896649962	-198.65365896649962	22.897930332573328	22.897930332573328	-198.65365896649962	0.9924840438364977	-198.65365896649962	36	false	4
45	26	14	1	14	40	520	0	0	-195.5808281386544	-195.5808281386544	41.2787929188418	41.2787929188418	-195.5808281386544	0.9922155854979857	-195.5808281386544	36	false	4
46	26	14	1	14	40	520	0	0	-96.77556326204834	-96.77556326204834	39.90131704865905	39.90131704865905	-96.77556326204834	0.9922401137584896	-96.77556326204834	32	false	4
47	26	13	1	13	40	520	0	0	-122.00328997509098	-122.00328997509098	24.919311608485515	24.919311608485515	-122.00328997509098	0.9923111762598607	-122.00328997509098	31	false	4
48	26	11	1	11	40	520	0	0	-199.28430103845517	-199.28430103845517	-5.715114942013157	-5.715114942013157	-199.28430103845517	0.9921795790350999	-199.28430103845517	36	false	3
49	27	12	1	12	40	520	0	0	-187.26324867897398	-187.26324867897398	12.863483500241216	12.863483500241216	-187.26324867897398	0.992112464450472	-187.26324867897398	36	false	6
50	27	12	1	12	40	520	0	0	-185.0433293100504	-185.0433293100504	15.142140971486036	15.142140971486036	-185.0433293100504	0.992112464450472	-185.0433293100504	36	false	3
51	27	13	1	13	40	520	0	0	-83.38977765814874	-83.38977765814874	36.38571898323079	36.38571898323079	-83.38977765814874	0.992041401949101	-83.38977765814874	32	false	4
52	27	13	1	13	40	520	0	0	-67.4754064007571	-67.4754064007571	29.483466052361507	29.483466052361507	-67.4754064007571	0.992106213582296	-67.4754064007571	32	false	4
53	27	11	1	11	40	520	0	0	-185.2290861583602	-185.2290861583602	2.0670883110587397	2.0670883110587397	-185.2290861583602	0.9921302300758147	-185.2290861583602	36	false	15
54	27	11	1	11	40	520	0	0	-177.72286443254143	-177.72286443254143	2.9549745221603914	2.9549745221603914	-177.72286443254143	0.9921302300758147	-177.72286443254143	36	false	5
55	27	10	1	10	40	520	0	0	-79.13859612101537	-79.13859612101537	-27.86032334607549	-27.86032334607549	-79.13859612101537	0.9922338628903137	-79.13859612101537	29	false	4
56	27	9	1	9	40	520	0	0	-90.75871294378193	-90.75871294378193	-42.78999392229889	-42.78999392229889	-90.75871294378193	0.9922425629290618	-90.75871294378193	29	false	4
57	27	11	1	11	40	520	0	0	-50.13717753004998	-50.13717753004998	-0.9609715675737274	-0.9609715675737274	-50.13717753004998	0.9922330221302667	-50.13717753004998	28	false	4
58	27	8	1	8	40	520	0	0	-102.75779410088919	-102.75779410088919	-51.40463099997159	-51.40463099997159	-102.75779410088919	0.9923951791549995	-102.75779410088919	31	false	2
59	27	7	1	7	40	520	0	0	-98.83525324169102	-98.83525324169102	-65.72566968476816	-65.72566968476816	-98.83525324169102	0.992658373604521	-98.83525324169102	31	false	4
60	27	5	1	5	40	520	0	0	-126.5975128876318	-126.5975128876318	-91.42927557390838	-91.42927557390838	-126.5975128876318	0.9928164730481572	-126.5975128876318	33	false	1
61	27	4	1	4	40	520	0	0	-245.947693065576	-245.947693065576	-119.48838610215232	-119.48838610215232	-245.947693065576	0.9931025142380886	-245.947693065576	38	false	1
62	27	3	1	3	40	520	0	0	-199.23634969728997	-199.23634969728997	-174.73506444710983	-174.73506444710983	-199.23634969728997	0.9931752217047689	-199.23634969728997	37	false	1
63	27	1	1	1	40	520	0	0	-380.24999801202205	-380.24999801202205	-380.24999801202205	-380.24999801202205	-380.24999801202205	0.9935206644197659	-380.24999801202205	39	false	0
64	27	1	1	1	40	520	0	0	-378.60771326967784	-378.60771326967784	-378.60771326967784	-378.60771326967784	-378.60771326967784	0.9935206644197659	-378.60771326967784	39	false	0
