# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 24
# run: 56373b75-1a6b-4843-bdd0-b2bd4ba8a982
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18425	32400	259200	0	0	36.78389832260721	36.78389832260721	36.78389832260721	36.78389832260721	27.5101794339473,27.5101794339473,27.5101794339473,27.5101794339473,27.5101794339473,27.5101794339473,31.534775215183583,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,34.803363548693774,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721,36.78389832260721	0.9960817657423182	36.78389832260721	0	true	542
26	15	15	78	19782	34650	277200	0	0	41.479161840239584	41.479161840239584	41.479161840239584	41.479161840239584	41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584,41.479161840239584	0.9960817657423182	41.479161840239584	0	true	217
27	15	15	78	19782	34650	277200	0	0	42.8479004243117	42.8479004243117	42.8479004243117	42.8479004243117	42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117,42.8479004243117	0.9960817657423182	42.8479004243117	0	true	173
28	15	15	100	25370	44550	356400	0	0	44.13118669626212	44.13118669626212	44.13118669626212	44.13118669626212	42.13723411704284,42.13723411704284,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212,44.13118669626212	0.9960817657423182	44.13118669626212	0	true	198
29	15	15	100	25292	44550	356400	0	0	44.163379648422136	44.163379648422136	44.163379648422136	44.163379648422136	40.60748449202355,40.60748449202355,42.58806274988115,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,42.5391633950857,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136,44.163379648422136	0.9956704147505866	44.163379648422136	0	true	327
30	17	17	100	47668	50490	403920	0	0	44.76015535944434	44.76015535944434	44.76015535944434	44.76015535944434	35.81738217459364,35.81738217459364,43.128159690008225,43.128159690008225,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,43.051777591970584,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434,44.76015535944434	0.9952702495229601	44.76015535944434	0	true	237
31	17	16	100	47486	47520	380160	0	0	43.58582712197413	43.58582712197413	43.58582712197413	43.58582712197413	37.91400115096022,37.91400115096022,37.91400115096022,37.91400115096022,37.91400115096022,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,35.88061723321182,39.4191047236359,39.4191047236359,39.4191047236359,39.4191047236359,39.4191047236359,39.4191047236359,39.4191047236359,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,42.19283851389309,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413,43.58582712197413	0.9952902084353822	43.58582712197413	0	true	73
32	19	18	99	47562	52920	423360	0	0	45.7207494216533	45.7207494216533	45.7207494216533	45.7207494216533	40.475453123996445,40.475453123996445,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533,45.7207494216533	0.9948937352410057	45.7207494216533	0	true	129
33	20	20	78	37927	46200	369600	0	0	46.96211845186473	46.96211845186473	46.96211845186473	46.96211845186473	46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473,46.96211845186473	0.9944151600002925	46.96211845186473	0	true	59
34	21	21	100	48742	62370	498960	0	0	38.606438764642135	38.606438764642135	43.81857675294381	43.81857675294381	32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,32.07320380022859,36.65226760169447,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135,38.606438764642135	0.9935160219621147	38.606438764642135	3	true	102
