# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 7
# run: d6f2b357-0263-43e5-aa54-83c41590c8b3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18512	32400	259200	0	0	36.781345002129314	36.781345002129314	36.781345002129314	36.781345002129314	27.507260630478008,27.507260630478008,27.507260630478008,27.507260630478008,27.507260630478008,27.507260630478008,31.532076552923147,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,34.801099378376996,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314,36.781345002129314	0.9960817657423182	36.781345002129314	0	true	558
26	15	15	78	19705	34650	277200	0	0	41.467927380663916	41.467927380663916	41.467927380663916	41.467927380663916	41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916,41.467927380663916	0.9960817657423182	41.467927380663916	0	true	198
27	15	15	78	19671	34650	277200	0	0	42.47664176291775	42.47664176291775	42.47664176291775	42.47664176291775	40.494096811127406,40.494096811127406,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775,42.47664176291775	0.9958718681688247	42.47664176291775	0	true	153
28	17	17	100	47546	50490	403920	0	0	40.802151858341986	40.81542944667308	41.5171921288768	42.06028944695896	37.54650526704826,37.54650526704826,37.54650526704826,40.81542944667308,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986,40.802151858341986	0.9952702495229601	40.81542944667308	1	true	212
29	17	17	100	47561	50490	403920	0	0	44.6395352805788	44.6395352805788	44.6395352805788	44.6395352805788	43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,43.22455612109445,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788,44.6395352805788	0.9952702495229601	44.6395352805788	0	true	139
30	20	20	80	38585	47400	379200	0	0	45.433010329372124	45.433010329372124	45.433010329372124	45.433010329372124	45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124,45.433010329372124	0.9948494308420032	45.433010329372124	0	true	94
31	20	20	100	48328	59400	475200	0	0	45.63196628566938	45.63196628566938	45.63196628566938	45.63196628566938	43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,43.745763122426894,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938,45.63196628566938	0.9943922401503132	45.63196628566938	0	true	137
32	21	21	100	48360	62370	498960	0	0	43.38832106085828	43.38832106085828	44.765631650765435	44.765631650765435	36.7853916971069,36.7853916971069,36.7853916971069,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,40.70055295511142,43.38832106085828,43.38832106085828,43.38832106085828,43.38832106085828,43.38832106085828,43.38832106085828	0.993571512125222	43.38832106085828	1	true	111
33	23	23	100	49147	68310	546480	0	0	45.16148059895769	45.16148059895769	45.16148059895769	45.16148059895769	35.018190156408025,35.018190156408025,42.25625484737333,42.25625484737333,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,40.962410468326226,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,43.95565815203028,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769,45.16148059895769	0.992905593613148	45.16148059895769	0	true	107
34	23	21	100	48674	62370	498960	0	0	36.620693796327615	40.224419081428756	42.667120500740715	42.82819458061951	37.17953948253526,37.17953948253526,39.14838116935478,39.14838116935478,39.14838116935478,39.14838116935478,39.14838116935478,39.14838116935478,39.14838116935478,39.14838116935478,39.14838116935478,40.224419081428756,40.224419081428756,40.224419081428756,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.69650308461969,38.67795214492841,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615,36.620693796327615	0.9930000146219139	40.224419081428756	3	true	112
