# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 21
# run: e5c28818-e1a0-46f8-9da7-2328152425e8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18368	32400	259200	0	0	36.780191486925325	36.780191486925325	36.780191486925325	36.780191486925325	27.504979249777207,27.504979249777207,27.504979249777207,27.504979249777207,27.504979249777207,31.5307401007186,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,34.800301781211665,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325,36.780191486925325	0.9960817657423182	36.780191486925325	0	true	532
26	15	15	78	19705	34650	277200	0	0	41.4469578611499	41.4469578611499	41.4469578611499	41.4469578611499	41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499,41.4469578611499	0.9960817657423182	41.4469578611499	0	true	170
27	15	15	78	19705	34650	277200	0	0	42.808043426303676	42.808043426303676	42.808043426303676	42.808043426303676	42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676,42.808043426303676	0.9959128826372083	42.808043426303676	0	true	144
28	15	15	100	25299	44550	356400	0	0	41.19759173539943	41.19759173539943	41.90616503920037	41.90616503920037	35.96540535099531,35.96540535099531,37.943903390202635,37.943903390202635,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943,41.19759173539943	0.9956704147505866	41.19759173539943	1	true	144
29	17	17	100	47716	50490	403920	0	0	44.976626923877404	44.976626923877404	44.976626923877404	44.976626923877404	43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,43.252190436501024,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404,44.976626923877404	0.9953534847676211	44.976626923877404	0	true	318
30	19	19	89	42930	50160	401280	0	0	45.02258686428452	45.02258686428452	45.02258686428452	45.02258686428452	43.023323940649774,43.023323940649774,43.023054902307436,43.023054902307436,43.023054902307436,43.023054902307436,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452,45.02258686428452	0.9950569889092784	45.02258686428452	0	true	158
31	20	20	94	45533	55800	446400	0	0	46.52266193323555	46.52266193323555	46.52266193323555	46.52266193323555	46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555,46.52266193323555	0.9947698145210228	46.52266193323555	0	true	88
32	21	21	99	48254	61740	493920	0	0	46.89930558829451	46.89930558829451	46.89930558829451	46.89930558829451	44.89942079229965,44.89942079229965,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451,46.89930558829451	0.9937621087724172	46.89930558829451	0	true	59
33	23	23	100	49027	68310	546480	0	0	44.53160073968478	44.53160073968478	44.53160073968478	44.53160073968478	27.11584547746439,27.11584547746439,36.380346739423096,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,40.295221685346334,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,43.11880217406536,44.53160073968478,44.53160073968478,44.53160073968478,44.53160073968478,44.53160073968478	0.9928066763658695	44.53160073968478	0	true	59
34	23	23	100	49241	68310	546480	0	0	47.20217497831797	47.20217497831797	47.20217497831797	47.20217497831797	43.73509317855245,43.73509317855245,43.73509317855245,43.73509317855245,43.73509317855245,43.73509317855245,43.73509317855245,43.73509317855245,43.73509317855245,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,45.534916935060394,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797,47.20217497831797	0.9928066763658695	47.20217497831797	0	true	61
