# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 11
# run: f4e4b491-3193-4523-9fac-f743655c7b61
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18584	32400	259200	0	0	36.78527656844052	36.78527656844052	36.78527656844052	36.78527656844052	27.511385411212203,27.511385411212203,27.511385411212203,27.511385411212203,27.511385411212203,27.511385411212203,31.53626515279083,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,34.80534773814104,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052,36.78527656844052	0.9960817657423182	36.78527656844052	0	true	643
26	15	15	78	19859	34650	277200	0	0	41.58218762987611	41.58218762987611	41.58218762987611	41.58218762987611	41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611,41.58218762987611	0.9960817657423182	41.58218762987611	0	true	196
27	15	15	78	19859	34650	277200	0	0	43.01297483235878	43.01297483235878	43.01297483235878	43.01297483235878	43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878,43.01297483235878	0.9960817657423182	43.01297483235878	0	true	132
28	15	15	100	25363	44550	356400	0	0	43.981329449356735	43.981329449356735	43.981329449356735	43.981329449356735	40.005911647590835,40.005911647590835,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735,43.981329449356735	0.9958718681688247	43.981329449356735	0	true	201
29	16	16	100	47544	47520	380160	0	0	44.81620978826152	44.81620978826152	44.81620978826152	44.81620978826152	39.60190974604525,39.60190974604525,42.874841142444005,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,42.82248565810672,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152,44.81620978826152	0.9955312141306174	44.81620978826152	0	true	386
30	17	17	100	47436	50490	403920	0	0	43.07086600146434	43.07093652885205	44.462877803268086	44.462877803268086	43.07093652885205,43.07093652885205,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434,43.07086600146434	0.9952533612124491	43.07093652885205	1	true	222
31	19	19	100	48163	56430	451440	0	0	46.2399748636891	46.2399748636891	46.2399748636891	46.2399748636891	44.421924028113395,44.421924028113395,44.421924028113395,44.421924028113395,44.421924028113395,44.421924028113395,44.421924028113395,44.421924028113395,44.421924028113395,44.29763122024974,44.29763122024974,44.29763122024974,44.29763122024974,44.29763122024974,44.29763122024974,44.29763122024974,44.29763122024974,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891,46.2399748636891	0.9950569889092784	46.2399748636891	0	true	116
32	20	20	87	41880	51600	412800	0	0	47.38149179972642	47.38149179972642	47.38149179972642	47.38149179972642	47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642,47.38149179972642	0.9947698145210228	47.38149179972642	0	true	117
33	20	19	100	48010	56430	451440	0	0	36.83505387700822	36.85230278721163	41.47349430610612	42.33651283149526	29.404701106766467,29.404701106766467,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,31.40428343721647,33.425610808798936,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,33.5749853058734,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.85230278721163,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822,36.83505387700822	0.9938283460422134	36.85230278721163	3	true	80
34	21	20	100	48443	59400	475200	0	0	40.634357991434335	40.634357991434335	43.55753061086779	43.55753061086779	30.907206291066224,30.907206291066224,39.50720471504408,39.50720471504408,39.50720471504408,39.50720471504408,39.50720471504408,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335,40.634357991434335	0.9934153500851727	40.634357991434335	3	true	83
