# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 9
# run: f772de74-459b-4806-ad26-2516537773a1
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	73	18378	32400	259200	0	0	36.781067618712925	36.781067618712925	36.781067618712925	36.781067618712925	27.507152844396806,27.507152844396806,27.507152844396806,27.507152844396806,27.507152844396806,27.507152844396806,31.532721512633902,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,34.80109894326979,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925,36.781067618712925	0.9960817657423182	36.781067618712925	0	true	608
26	15	15	78	19705	34650	277200	0	0	41.493570951958496	41.493570951958496	41.493570951958496	41.493570951958496	41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496,41.493570951958496	0.9960817657423182	41.493570951958496	0	true	231
27	16	16	78	36855	36960	295680	0	0	41.99683002922718	41.99683002922718	41.99683002922718	41.99683002922718	40.01604857370126,40.01604857370126,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718,41.99683002922718	0.9956494323041942	41.99683002922718	0	true	181
28	17	17	100	47996	50490	403920	0	0	43.474832563218094	43.474832563218094	43.474832563218094	43.474832563218094	38.23105659712331,38.23105659712331,38.23105659712331,38.23105659712331,38.23105659712331,38.23105659712331,38.23105659712331,38.23105659712331,38.23105659712331,41.49708564339064,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.48370028747366,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,41.49708564339064,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094,43.474832563218094	0.9954391326280697	43.474832563218094	0	true	198
29	18	18	100	48150	53460	427680	0	0	44.59710867081667	44.59710867081667	44.59710867081667	44.59710867081667	42.715503871487776,42.715503871487776,42.715503871487776,42.715503871487776,42.715503871487776,42.715503871487776,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667,44.59710867081667	0.9950458031451738	44.59710867081667	0	true	174
30	20	20	81	39308	48000	384000	0	0	45.486729534450006	45.486729534450006	45.486729534450006	45.486729534450006	45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006,45.486729534450006	0.9948494308420032	45.486729534450006	0	true	112
31	20	20	100	48362	59400	475200	0	0	37.95127733419723	37.95127733419723	41.72137705511244	41.72137705511244	28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,28.49805189735349,32.57923535961337,32.57923535961337,32.57923535961337,32.57923535961337,32.57923535961337,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.75665276693985,36.75665276693985,36.75665276693985,36.75665276693985,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,36.056810530176364,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723,37.95127733419723	0.994225769660991	37.95127733419723	2	true	111
32	21	21	100	48756	62370	498960	0	0	41.79145551963988	41.79145551963988	43.890891485878576	43.890891485878576	34.868128942747816,34.868128942747816,36.85772875516384,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,40.85200430224323,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988,41.79145551963988	0.993433993025347	41.79145551963988	2	true	144
33	23	23	100	48980	68310	546480	0	0	44.64158943659106	44.64158943659106	45.75919623294297	45.75919623294297	41.31157640174086,41.31157640174086,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,43.2843604256213,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106,44.64158943659106	0.992905593613148	44.64158943659106	1	true	114
34	24	24	100	49189	71280	570240	0	0	47.71058728847539	47.71058728847539	47.71058728847539	47.71058728847539	42.75884658504066,42.75884658504066,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,46.02921809561115,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539,47.71058728847539	0.9927601786797875	47.71058728847539	0	true	118
