# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 26
# run: 33106126-467f-4997-bac3-448326a4e7f3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	35249	62370	498960	0	0	44.864338328411094	44.864338328411094	48.11654036000074	48.11654036000074	36.86944595323227,36.86944595323227,35.59141258826309,35.59141258826309,35.59141258826309,35.59141258826309,39.61588453089112,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,42.88464209980499,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094,44.864338328411094	0.9960817657423182	44.864338328411094	2	true	1117
26	15	15	100	35196	62370	498960	0	0	51.446386837624786	51.446386837624786	54.12344490596589	54.12344490596589	51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786,51.446386837624786	0.9960817657423182	51.446386837624786	2	true	267
27	15	15	100	35160	62370	498960	0	0	53.451281168492514	53.451281168492514	56.164839855953524	56.164839855953524	53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514,53.451281168492514	0.9960817657423182	53.451281168492514	2	true	177
28	16	16	100	35449	66528	532224	0	0	59.5724744870708	59.5724744870708	59.5724744870708	59.5724744870708	47.74380719249892,47.74380719249892,52.98041506121932,52.98041506121932,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,54.92319056972845,57.887157176985376,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708,59.5724744870708	0.9955637844437458	59.5724744870708	0	true	151
29	17	17	100	35547	70686	565488	0	0	52.84462917108996	54.80290124299304	57.40302749873825	57.40302749873825	41.65599455742412,41.65599455742412,42.93371625719753,41.629743184903234,41.629743184903234,41.629743184903234,44.78495491172782,44.78495491172782,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,46.62469660204953,50.740591027584735,50.740591027584735,52.7945175971774,52.7945175971774,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,50.76144379717061,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.1764106832626,54.80290124299304,54.80290124299304,54.80290124299304,54.80290124299304,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996,52.84462917108996	0.9952702495229601	54.80290124299304	2	true	169
30	20	20	100	36071	83160	665280	0	0	61.47940425752858	61.47940425752858	61.47940425752858	61.47940425752858	50.544141177475964,50.544141177475964,52.543665647858376,52.543665647858376,52.543665647858376,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,55.80346619655059,54.35489190481748,54.35489190481748,54.35489190481748,54.35489190481748,54.35489190481748,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,56.32666343705016,59.5430593782035,59.5430593782035,59.5430593782035,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858,61.47940425752858	0.9948494308420032	61.47940425752858	0	true	156
31	20	20	100	36195	83160	665280	0	0	64.39408958574694	64.39408958574694	64.39408958574694	64.39408958574694	59.17748480536736,59.17748480536736,62.43183145632858,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694,64.39408958574694	0.9947698145210228	64.39408958574694	0	true	132
32	20	19	100	35752	79002	632016	0	0	58.24483512127968	58.24483512127968	59.33119927057747	59.33119927057747	50.68839335216223,50.68839335216223,51.442459968360424,51.442459968360424,51.442459968360424,51.349909039777074,51.349909039777074,51.349909039777074,51.349909039777074,51.349909039777074,51.349909039777074,51.349909039777074,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,49.109956876777694,51.49021361009354,51.49021361009354,51.49021361009354,51.49021361009354,51.49021361009354,51.49021361009354,51.49021361009354,55.78397145956566,55.78397145956566,58.24483512127968,58.24483512127968,58.24483512127968,58.24483512127968,58.24483512127968,58.24483512127968	0.9942758862707541	58.24483512127968	1	true	127
33	23	23	100	68476	95634	765072	0	0	48.95904105888404	48.95904105888404	59.84611815198542	59.84611815198542	33.432340532675056,33.432340532675056,36.66195261491451,36.66195261491451,36.66195261491451,45.10411766421463,45.10411766421463,45.10411766421463,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,47.10393212199911,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404,48.95904105888404	0.9930901587208749	48.95904105888404	4	true	165
34	23	23	100	68156	95634	765072	0	0	49.96198724488349	49.96198724488349	60.02961303664816	60.02961303664816	47.99133599617045,47.99133599617045,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349,49.96198724488349	0.992905593613148	49.96198724488349	5	true	236
