# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 22
# run: 68fafecf-e619-4f98-87f6-fc160dbf9361
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	35150	62370	498960	0	0	44.87529718126757	44.87529718126757	48.12507139072394	48.12507139072394	35.600980960848126,35.600980960848126,35.600980960848126,35.600980960848126,35.600980960848126,35.600980960848126,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,42.895498137232266,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757,44.87529718126757	0.9960817657423182	44.87529718126757	2	true	1101
26	15	15	100	35094	62370	498960	0	0	51.47181496807805	51.47181496807805	54.14907513251475	54.14907513251475	51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805,51.47181496807805	0.9960817657423182	51.47181496807805	2	true	426
27	15	15	100	35067	62370	498960	0	0	53.494044601777105	53.494044601777105	56.22655218022866	56.22655218022866	51.49898094415346,51.49898094415346,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105,53.494044601777105	0.9959128826372083	53.494044601777105	2	true	171
28	16	16	100	35375	66528	532224	0	0	53.678974078745895	53.678974078745895	57.38731083565193	57.38731083565193	32.665221028079905,32.665221028079905,48.578673589670544,48.578673589670544,51.77724671698371,49.64800320661833,49.64800320661833,49.64800320661833,49.64800320661833,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895,53.678974078745895	0.9955312141306174	53.678974078745895	2	true	152
29	17	17	100	35498	70686	565488	0	0	54.8312159846171	54.8312159846171	57.706281232487655	57.706281232487655	44.992643118062375,44.992643118062375,44.992643118062375,44.992643118062375,44.992643118062375,45.74237843732135,45.74237843732135,45.74237843732135,45.74237843732135,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,50.63242124819746,53.42351300726747,53.42351300726747,53.42351300726747,53.42351300726747,53.42351300726747,53.42351300726747,53.42351300726747,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171,54.8312159846171	0.9952702495229601	54.8312159846171	2	true	147
30	20	20	100	36051	83160	665280	0	0	61.617557878857326	61.617557878857326	61.617557878857326	61.617557878857326	54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,54.94732192974895,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,57.956513849829264,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,59.91674317289531,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326,61.617557878857326	0.9948494308420032	61.617557878857326	0	true	216
31	20	19	100	35950	79002	632016	0	0	60.79232455247805	61.32903222095895	62.00591015371635	62.32974913610306	52.604278200301096,52.604278200301096,56.607191738480736,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,58.55625635323628,61.32903222095895,61.32903222095895,61.32903222095895,61.32903222095895,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805,60.79232455247805	0.9948198214664318	61.32903222095895	1	true	272
32	20	19	100	35974	79002	632016	0	0	53.089171784910114	56.40531103330575	59.16882990577314	58.92529639860189	52.925428833035014,52.925428833035014,51.646849450151564,51.646849450151564,51.646849450151564,51.646849450151564,51.646849450151564,51.646849450151564,51.646849450151564,51.646849450151564,51.646849450151564,51.646849450151564,50.693540653911164,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,47.868374453411555,54.9198487589604,54.9198487589604,56.40531103330575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,55.325578029145575,53.089171784910114,53.089171784910114,53.089171784910114,53.089171784910114,53.089171784910114,53.089171784910114,53.089171784910114	0.994087592574992	56.40531103330575	3	true	117
33	23	23	100	68379	95634	765072	0	0	46.773323412933145	46.773323412933145	59.45314133964976	59.45314133964976	29.461592740921475,29.461592740921475,34.717838700669894,34.717838700669894,34.717838700669894,43.159356394259895,43.159356394259895,43.159356394259895,43.159356394259895,43.159356394259895,43.159356394259895,43.159356394259895,43.159356394259895,43.159356394259895,39.94784434610869,39.94784434610869,39.94784434610869,41.7054231994904,41.7054231994904,41.7054231994904,41.7054231994904,41.7054231994904,41.7054231994904,41.7054231994904,41.7054231994904,44.916935247641604,44.916935247641604,44.916935247641604,44.916935247641604,44.916935247641604,44.916935247641604,44.916935247641604,44.916935247641604,44.916935247641604,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.62456607454739,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.48095423983893,46.773323412933145,46.773323412933145,46.773323412933145,46.773323412933145,46.773323412933145,46.773323412933145	0.9930901587208749	46.773323412933145	5	true	259
34	23	23	100	68304	95634	765072	0	0	49.76344929317435	49.76344929317435	59.254585850957376	59.254585850957376	47.76345032075335,47.76345032075335,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435,49.76344929317435	0.9928066763658695	49.76344929317435	5	true	146
