# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 2
# run: 82d54239-1dfe-4187-af14-9acf9adbc4e2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	35285	62370	498960	0	0	44.86714872932913	44.86714872932913	48.118387248084225	48.118387248084225	36.87072521756159,36.87072521756159,35.59260352085972,35.59260352085972,35.59260352085972,39.618644726621625,39.618644726621625,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,42.88649882405271,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913,44.86714872932913	0.9960817657423182	44.86714872932913	2	true	935
26	15	15	100	35036	62370	498960	0	0	51.500403626516515	51.500403626516515	54.17616639202947	54.17616639202947	51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515,51.500403626516515	0.9960817657423182	51.500403626516515	2	true	216
27	15	15	100	35086	62370	498960	0	0	53.580884174582636	53.580884174582636	56.2995457778548	56.2995457778548	51.62002589457319,51.62002589457319,51.62002589457319,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636,53.580884174582636	0.9960817657423182	53.580884174582636	2	true	238
28	15	15	100	35116	62370	498960	0	0	55.33733404976698	55.33733404976698	58.22179698556357	58.22179698556357	50.2796326561876,50.2796326561876,50.2796326561876,50.2796326561876,50.2796326561876,50.2796326561876,53.46226605836793,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698,55.33733404976698	0.9960817657423182	55.33733404976698	2	true	137
29	15	15	100	35130	62370	498960	0	0	58.83755624051301	58.83755624051301	59.600875396248995	59.600875396248995	51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,51.82410764455096,54.88440379775598,54.88440379775598,54.88440379775598,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,56.61856634178834,58.83755624051301,58.83755624051301,58.83755624051301,58.83755624051301,58.83755624051301	0.9959128826372083	58.83755624051301	1	true	134
30	16	16	100	35427	66528	532224	0	0	55.82692876514149	55.82692876514149	59.553434208223806	59.553434208223806	45.971291444505304,45.971291444505304,49.314688949177494,49.314688949177494,45.78936699242479,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,47.77321738946107,52.12752434124466,52.12752434124466,52.12752434124466,52.12752434124466,52.12752434124466,52.12752434124466,52.12752434124466,52.12752434124466,52.12752434124466,52.12752434124466,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149,55.82692876514149	0.9955312141306174	55.82692876514149	2	true	97
31	17	16	100	35358	66528	532224	0	0	46.86413112347107	48.24562932053206	56.101487311990645	56.15833207096282	33.77516385822177,33.77516385822177,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,32.27212797968714,29.631542745968844,29.631542745968844,29.631542745968844,29.631542745968844,29.631542745968844,25.34133007792363,25.34133007792363,25.34133007792363,25.34133007792363,25.34133007792363,25.34133007792363,25.34133007792363,25.34133007792363,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,31.14629339169614,41.5084030921249,41.5084030921249,41.5084030921249,46.0779110495647,46.0779110495647,46.0779110495647,46.0779110495647,46.0779110495647,48.10928989206204,48.24562932053206,48.24562932053206,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107,46.86413112347107	0.9953070967458931	48.24562932053206	4	true	89
32	17	16	100	35354	66528	532224	0	0	52.2266657557351	52.2266657557351	56.05483780882448	56.05483780882448	30.97035803682192,30.97035803682192,41.56585185672826,41.56585185672826,41.56585185672826,41.56585185672826,41.56585185672826,41.56585185672826,41.56585185672826,41.56585185672826,41.56585185672826,42.62831623076915,42.62831623076915,42.62831623076915,42.62831623076915,42.62831623076915,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,41.07861863031272,45.11300697761266,45.11300697761266,45.11300697761266,45.11300697761266,45.11300697761266,45.11300697761266,45.11300697761266,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,48.462118980006636,51.01076826413387,51.01076826413387,51.01076826413387,51.01076826413387,51.01076826413387,51.01076826413387,52.2266657557351,52.2266657557351,52.2266657557351,52.2266657557351,52.2266657557351,52.2266657557351,52.2266657557351,52.2266657557351,52.2266657557351,52.2266657557351	0.9952902084353822	52.2266657557351	3	true	90
33	17	17	100	35475	70686	565488	0	0	54.162236977532686	54.162236977532686	58.80278683443695	58.80278683443695	46.25579973170265,46.25579973170265,48.25538153714899,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,51.540862251919734,54.162236977532686,54.162236977532686,54.162236977532686,54.162236977532686	0.9948190903707387	54.162236977532686	4	true	100
34	19	18	100	35743	74844	598752	0	0	57.76419249377203	57.76419249377203	61.16745274267152	61.16745274267152	53.73156639599821,53.73156639599821,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203,57.76419249377203	0.9944039742361876	57.76419249377203	3	true	108
