# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 17
# run: 146d7dc6-6eca-4d65-aa11-f07078b3fe4b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45000	80190	641520	0	0	47.924606268515674	48.059614734819604	57.45357238142823	57.51013710011415	31.078728217433408,31.078728217433408,31.078728217433408,31.078728217433408,31.078728217433408,31.078728217433408,36.17865525010369,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,40.787322258727166,44.80160737869883,44.80160737869883,44.80160737869883,44.80160737869883,44.80160737869883,44.80160737869883,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.03856291067051,48.03856291067051,48.03856291067051,48.03856291067051,48.03856291067051,48.03856291067051,48.03856291067051,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,48.059614734819604,47.924606268515674,47.924606268515674,47.924606268515674,47.924606268515674,47.924606268515674,47.924606268515674,47.924606268515674,47.924606268515674	0.9960817657423182	48.059614734819604	7	true	1033
26	15	15	100	45006	80190	641520	0	0	56.11575831082935	56.11575831082935	61.68871705576119	61.68871705576119	48.85568281595295,48.85568281595295,48.85568281595295,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935,56.11575831082935	0.9958718681688247	56.11575831082935	7	true	391
27	16	16	100	45066	85536	684288	0	0	45.64266001366484	48.785941526161594	63.033514672736295	62.41104163406731	45.770601671928716,45.770601671928716,48.785941526161594,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484,45.64266001366484	0.9954479788859564	48.785941526161594	9	true	330
28	18	18	100	45546	96228	769824	0	0	60.1217713976135	60.1217713976135	67.51300729023272	67.51300729023272	45.29279425070418,45.29279425070418,49.306939226445664,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,52.527083562620234,53.60017563127235,51.71663851761295,51.71663851761295,51.71663851761295,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,56.216084542372066,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135,60.1217713976135	0.9952459040363794	60.1217713976135	7	true	220
29	20	19	100	45630	101574	812592	0	0	67.27634406349864	67.27634406349864	71.18986608591896	71.18986608591896	55.35569302650481,55.35569302650481,54.01565375168943,54.01565375168943,54.01565375168943,54.01565375168943,54.01565375168943,54.01565375168943,62.63445306101086,62.63445306101086,62.63445306101086,62.63445306101086,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,63.87697909738924,65.73790441452377,65.73790441452377,65.73790441452377,65.73790441452377,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,64.11207656781862,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,65.4256138176234,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864,67.27634406349864	0.9948514048003743	67.27634406349864	5	true	242
30	20	19	100	45762	101574	812592	0	0	70.79733718169273	70.79733718169273	73.8289931561812	73.8289931561812	64.90788227986133,64.90788227986133,64.90788227986133,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,63.59876647196681,66.6408361292587,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,68.39587616455407,70.79733718169273,70.79733718169273	0.9947717884793941	70.79733718169273	4	true	181
31	21	20	100	46142	106920	855360	0	0	13.884899192509238	29.191920572705527	64.93192298270802	62.2631334056872	20.7672963094426,20.7672963094426,20.7672963094426,20.7672963094426,20.7672963094426,21.34307584357098,29.191920572705527,24.20030166802661,23.12942772889533,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,17.908925738989453,22.683239548865416,26.959287736088896,26.959287736088896,26.959287736088896,26.959287736088896,26.959287736088896,26.959287736088896,26.959287736088896,26.959287736088896,27.697491197596918,27.697491197596918,27.697491197596918,26.909312023769736,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,24.25271255678824,21.74696495569748,21.74696495569748,18.35126097678458,18.35126097678458,18.35126097678458,18.35126097678458,18.35126097678458,18.35126097678458,18.35126097678458,18.35126097678458,18.35126097678458,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238,13.884899192509238	0.9934359669837186	29.191920572705527	15	true	165
32	23	22	100	46512	117612	940896	0	0	43.3246784586495	43.577227930838724	66.51619895056254	66.48542755369257	37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,37.390551155687824,43.577227930838724,43.577227930838724,43.577227930838724,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,41.66007092071071,41.66007092071071,42.2697086199446,42.2697086199446,42.2697086199446,42.2697086199446,42.2697086199446,42.2697086199446,42.2697086199446,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495,43.3246784586495	0.9929075675715195	43.577227930838724	13	true	198
33	24	23	100	46801	122958	983664	0	0	48.97566167235465	54.97035310871793	69.53785202039005	70.25322046837401	46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,46.9616234054294,51.26049487970508,51.26049487970508,51.26049487970508,54.97035310871793,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.76870928542529,54.43877724827039,54.43877724827039,54.43877724827039,54.43877724827039,54.43877724827039,54.43877724827039,54.43877724827039,54.43877724827039,54.43877724827039,53.65937916754537,53.65937916754537,53.65937916754537,53.65937916754537,53.65937916754537,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,54.74432136200923,53.17858365725647,53.17858365725647,53.17858365725647,53.17858365725647,53.17858365725647,53.17858365725647,53.17858365725647,53.17858365725647,53.17858365725647,51.67214680438209,51.67214680438209,51.67214680438209,51.67214680438209,51.67214680438209,49.284638993201895,49.284638993201895,49.284638993201895,49.284638993201895,49.284638993201895,49.284638993201895,48.97566167235465,48.97566167235465	0.9927621526381588	54.97035310871793	11	true	304
34	24	23	100	46948	122958	983664	0	0	57.424131277762555	57.424131277762555	71.68168808111676	71.68168808111676	56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,56.531537173202366,57.424131277762555,57.424131277762555,57.424131277762555,57.424131277762555	0.9927621526381588	57.424131277762555	10	true	419
