# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 28
# run: 7a0b92cf-f4d3-4e0b-8927-5fc3bfa4f270
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45066	80190	641520	0	0	48.066787494489375	48.066787494489375	56.87582761803051	56.87582761803051	31.08654568586087,31.08654568586087,31.08654568586087,31.08654568586087,31.08654568586087,31.08654568586087,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,40.79533930821098,44.8090762104474,44.8090762104474,44.8090762104474,44.8090762104474,44.8090762104474,44.8090762104474,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.04562959871181,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375,48.066787494489375	0.9960817657423182	48.066787494489375	7	true	1215
26	15	15	100	45296	80190	641520	0	0	59.06648744173563	59.88054789925023	64.20222373769167	64.10715517706394	56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,56.52892267277318,58.25670268698825,58.25670268698825,58.25670268698825,58.25670268698825,59.88054789925023,59.88054789925023,59.88054789925023,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.28555367490955,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563,59.06648744173563	0.9960817657423182	59.88054789925023	5	true	598
27	15	15	100	45240	80190	641520	0	0	63.92781443191983	63.92781443191983	67.30013142713258	67.30013142713258	62.97072575306156,62.97072575306156,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,62.954560851808324,63.92781443191983,63.92781443191983	0.9960817657423182	63.92781443191983	4	true	345
28	15	15	100	45289	80190	641520	0	0	66.53834057140858	66.53834057140858	69.9029659033304	69.9029659033304	58.27782496766683,58.27782496766683,58.27782496766683,58.27782496766683,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.46243944254851,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,65.13140686566275,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858,66.53834057140858	0.9960817657423182	66.53834057140858	4	true	340
29	15	15	100	45142	80190	641520	0	0	66.03524347641336	66.03524347641336	68.02462519950504	68.02462519950504	54.433638253987226,54.433638253987226,54.433638253987226,54.433638253987226,54.433638253987226,54.433638253987226,54.433638253987226,58.33960811775931,58.33960811775931,58.33960811775931,61.44867276430634,61.44867276430634,61.44867276430634,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,61.410282171771755,62.35043153098984,62.35043153098984,62.35043153098984,64.83960519809803,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336,66.03524347641336	0.9957029850637148	66.03524347641336	4	true	190
30	16	15	100	45178	80190	641520	0	0	45.1495847153313	45.1495847153313	65.20857476226136	65.20857476226136	35.84640951089588,35.84640951089588,41.95973554966564,41.95973554966564,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,33.30654811456239,39.42832477084964,39.42832477084964,39.42832477084964,39.42832477084964,39.42832477084964,39.42832477084964,39.42832477084964,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313,45.1495847153313	0.9954647575321134	45.1495847153313	9	true	117
31	17	16	100	45403	85536	684288	0	0	44.830977052662696	46.1094612566833	65.6503089568734	65.62468706945639	21.578332805290756,21.578332805290756,21.577139437781284,26.643011758479304,26.643011758479304,27.96637494763525,27.96637494763525,27.96637494763525,27.96637494763525,31.092398934607928,31.092398934607928,32.920077540283486,32.920077540283486,32.920077540283486,32.920077540283486,32.920077540283486,32.920077540283486,36.61521980772787,36.61521980772787,40.15171317897473,33.304366302377176,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,39.502137699929165,43.18245943759357,45.23093917338383,45.23093917338383,45.23093917338383,45.23093917338383,45.23093917338383,45.23093917338383,46.1094612566833,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,45.97198628358193,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696,44.830977052662696	0.9953070967458931	46.1094612566833	9	true	142
32	17	16	100	45277	85536	684288	0	0	58.49218111861995	58.49218111861995	65.80619683688374	65.80619683688374	23.92577256216806,23.92577256216806,23.92577256216806,28.786574953111757,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,34.99481190995826,40.47363910797091,40.47363910797091,40.47363910797091,40.47363910797091,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,45.51107083386552,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,47.77504726047343,50.22457938293404,51.390291452337934,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,54.66789793282187,58.49218111861995	0.9952902084353822	58.49218111861995	5	true	183
33	18	18	100	45724	96228	769824	0	0	56.29333316647421	56.29333316647421	69.93701629699805	69.93701629699805	24.335638125277367,24.335638125277367,31.22484606751161,53.33304991594605,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,55.09948468992245,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421,56.29333316647421	0.9949661868241935	56.29333316647421	9	true	152
34	18	18	100	45741	96228	769824	0	0	50.50174694456908	50.50174694456908	62.99773066768972	62.99773066768972	15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,15.306803871763748,21.12922312497659,26.6269144731452,26.6269144731452,26.6269144731452,26.6269144731452,26.6269144731452,31.754208468258184,31.754208468258184,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,44.246350929946956,46.47062094433879,46.47062094433879,46.47062094433879,46.47062094433879,46.47062094433879,49.638403522321696,49.638403522321696,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908,50.50174694456908	0.9939323809593438	50.50174694456908	8	true	168
