# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 20
# run: f5a47bef-2b6c-4927-96a3-1d822120340c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	45200	80190	641520	0	0	48.05153127239919	48.05153127239919	57.47578370553163	57.47578370553163	31.070883918449027,31.070883918449027,31.070883918449027,31.070883918449027,31.070883918449027,31.070883918449027,36.170877733001475,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,40.77945902463673,44.79339034730633,44.79339034730633,44.79339034730633,44.79339034730633,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.03051764537648,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919,48.05153127239919	0.9964291824156865	48.05153127239919	7	true	1083
26	15	15	100	45229	80190	641520	0	0	59.275401892515205	59.865574188306795	64.06585800820208	64.75804079550338	56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,56.72620618044124,58.45514138129357,58.45514138129357,58.45514138129357,59.865574188306795,59.865574188306795,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.491894727794445,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205,59.275401892515205	0.9960817657423182	59.865574188306795	5	true	537
27	15	15	100	45475	80190	641520	0	0	63.1683567085268	63.18989374287466	68.18358805188376	67.99468653342026	63.18989374287466,63.18989374287466,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268,63.1683567085268	0.9960817657423182	63.18989374287466	5	true	339
28	15	15	100	45162	80190	641520	0	0	65.99305978200314	65.99305978200314	70.78688433925853	70.78688433925853	58.86449789982346,58.86449789982346,58.86449789982346,58.86449789982346,62.8328159024212,62.8328159024212,62.8328159024212,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314,65.99305978200314	0.9960817657423182	65.99305978200314	5	true	179
29	15	15	100	45009	80190	641520	0	0	67.88620135319447	67.88620135319447	71.2739258793329	71.2739258793329	60.94719643886616,60.94719643886616,60.94719643886616,60.94719643886616,60.94719643886616,60.94719643886616,60.94719643886616,64.85629402252857,64.85629402252857,64.85629402252857,64.85629402252857,64.85629402252857,64.85629402252857,64.85629402252857,64.85629402252857,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447,67.88620135319447	0.9959128826372083	67.88620135319447	5	true	198
30	15	15	100	45110	80190	641520	0	0	66.88377354654034	66.88377354654034	70.28176088391855	70.28176088391855	54.50802902167337,54.50802902167337,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,56.500286521467245,60.30632851397253,60.30632851397253,60.30632851397253,60.30632851397253,60.30632851397253,60.30632851397253,60.30632851397253,60.30632851397253,60.30632851397253,60.30632851397253,63.20249077085168,63.20249077085168,63.20249077085168,64.46186646869538,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,63.16174932898147,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034,66.88377354654034	0.9957029850637148	66.88377354654034	5	true	127
31	17	16	100	45507	85536	684288	0	0	58.45859832883771	58.45859832883771	69.26882055652233	69.26882055652233	32.86412815522748,32.86412815522748,51.987461511562536,51.987461511562536,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,48.51105182168368,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,53.7935705611783,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771,58.45859832883771	0.9953117026487598	58.45859832883771	7	true	117
32	17	14	100	45027	74844	598752	0	0	57.45924443909104	57.45924443909104	64.29474867717929	64.29474867717929	21.974590802643185,21.974590802643185,28.193882859054323,32.74914075518954,34.017037185495035,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,32.724910989190406,36.323748750763755,36.323748750763755,36.323748750763755,36.323748750763755,36.323748750763755,33.33519546275504,33.33519546275504,33.33519546275504,33.33519546275504,33.33519546275504,33.33519546275504,33.33519546275504,33.33519546275504,33.33519546275504,33.33519546275504,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,38.967823440237,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104,57.45924443909104	0.9953955958795446	57.45924443909104	7	true	120
33	17	16	100	45506	85536	684288	0	0	49.5534632100977	49.5534632100977	67.26404560333285	67.26404560333285	27.122201475517556,27.122201475517556,35.06339802475995,32.38963679338405,32.38963679338405,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,42.035169575151905,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,44.54650852177474,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977,49.5534632100977	0.9952431624275302	49.5534632100977	10	true	128
34	18	17	100	45591	90882	727056	0	0	58.41697263473067	58.41697263473067	70.21660597586633	70.21660597586633	51.94262166585361,51.94262166585361,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,57.251577216949045,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067,58.41697263473067	0.9948284118408256	58.41697263473067	9	true	137
