# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 3
# run: 11c2ab32-43de-4042-8403-176520a53403
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51672	92070	736560	0	0	49.84308935428321	49.84308935428321	63.37038290608949	63.37038290608949	26.828798195813008,26.828798195813008,25.550520465499602,25.550520465499602,25.550520465499602,31.078692344925898,31.078692344925898,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,36.17728538247812,40.77683407281321,40.77683407281321,40.77683407281321,40.77683407281321,40.77683407281321,40.77683407281321,40.77683407281321,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,46.0461218869623,46.0461218869623,46.0461218869623,46.0461218869623,46.0461218869623,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,44.78972844739914,47.95592250196154,47.95592250196154,47.95592250196154,47.95592250196154,47.95592250196154,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321,49.84308935428321	0.9966306358339244	49.84308935428321	9	true	1390
26	15	15	100	51745	92070	736560	0	0	59.244997110242835	59.244997110242835	69.17574956479794	69.17574956479794	54.292258686043496,54.292258686043496,54.292258686043496,54.292258686043496,54.292258686043496,54.292258686043496,54.292258686043496,54.292258686043496,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835,59.244997110242835	0.9964291824156865	59.244997110242835	9	true	896
27	15	15	100	51839	92070	736560	0	0	63.8403825538998	63.8403825538998	72.80379894349021	72.80379894349021	62.88399533232169,62.88399533232169,62.88399533232169,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,62.847346910774235,63.8403825538998,63.8403825538998,63.8403825538998,63.8403825538998,63.8403825538998,63.8403825538998,63.8403825538998,63.8403825538998	0.9960817657423182	63.8403825538998	8	true	276
28	15	15	100	51864	92070	736560	0	0	66.79476317375092	66.79476317375092	75.61175146905038	75.61175146905038	62.499390411223416,62.499390411223416,62.499390411223416,62.499390411223416,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.72274919059156,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,65.41784252106689,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092,66.79476317375092	0.9960817657423182	66.79476317375092	8	true	218
29	15	15	100	51817	92070	736560	0	0	69.01290863307067	69.01290863307067	77.71840596402475	77.71840596402475	60.8374859607943,60.8374859607943,60.8374859607943,60.8374859607943,60.8374859607943,64.79356782790983,64.79356782790983,64.79356782790983,64.79356782790983,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,67.91723589676343,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067,69.01290863307067	0.9960817657423182	69.01290863307067	8	true	257
30	15	14	100	51718	85932	687456	0	0	61.092478013083564	64.18018888939031	72.85562220083507	73.24742951601934	47.303874778486744,47.303874778486744,45.41761114733946,45.41761114733946,45.41761114733946,45.41761114733946,45.41761114733946,45.41761114733946,51.17380596646589,51.17380596646589,51.17380596646589,51.17380596646589,51.17380596646589,51.17380596646589,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,56.455782165297975,60.56332771643099,64.18018888939031,64.17684194917767,64.17684194917767,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564,61.092478013083564	0.9959217654498799	64.18018888939031	9	true	160
31	15	14	100	51629	85932	687456	0	0	63.853817183608115	63.853817183608115	72.53219793086724	72.53219793086724	39.17376457593372,39.17376457593372,37.89405190114263,40.64405487683901,40.64405487683901,40.64405487683901,40.64405487683901,40.64405487683901,40.64405487683901,40.64405487683901,40.64405487683901,40.64405487683901,40.64405487683901,45.50145177847496,45.50145177847496,45.50145177847496,45.50145177847496,45.50145177847496,45.50145177847496,45.50145177847496,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,49.76208168797868,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,56.81212042102703,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115,63.853817183608115	0.9957118678763863	63.853817183608115	9	true	133
32	16	15	100	51940	92070	736560	0	0	66.70427056995116	67.35860150258203	75.0286740550066	74.92211020385864	46.39574832406804,46.39574832406804,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,49.945760867158455,54.714238268660665,54.714238268660665,54.714238268660665,54.714238268660665,54.714238268660665,54.714238268660665,54.714238268660665,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,58.87691087663701,60.30836443464949,60.30836443464949,67.35860150258203,67.35860150258203,67.35860150258203,67.35860150258203,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116,66.70427056995116	0.99553413851339	67.35860150258203	9	true	144
33	17	16	100	52097	98208	785664	0	0	51.81817278175883	58.48212131729895	74.08360495851626	74.68397084074824	50.01416905792807,50.01416905792807,58.48212131729895,58.48212131729895,57.137744594806165,57.137744594806165,56.31189264058099,56.31189264058099,55.72629230822014,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.58653444327762,53.37881845851824,53.37881845851824,53.37881845851824,53.37881845851824,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883,51.81817278175883	0.9953918672915099	58.48212131729895	13	true	150
34	17	14	100	51685	85932	687456	0	0	50.03869782035136	50.03869782035136	69.78541874860672	69.78541874860672	32.54647049774893,32.54647049774893,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,32.54635294503687,37.76056889247346,37.76056889247346,37.76056889247346,37.76056889247346,37.76056889247346,37.76056889247346,37.76056889247346,37.76056889247346,37.76056889247346,42.450398172791424,42.450398172791424,42.450398172791424,42.450398172791424,42.450398172791424,42.450398172791424,42.450398172791424,42.450398172791424,42.450398172791424,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136,50.03869782035136	0.995437597327114	50.03869782035136	13	true	131
