# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 6
# run: 276927e1-b490-4ff4-aff1-556cbb85ecbc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51802	92070	736560	0	0	43.83589348376034	46.02537253463947	61.27324356375958	61.242552597595676	26.808714182707703,26.808714182707703,25.53016942339758,25.53016942339758,25.53016942339758,25.53016942339758,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,36.15619189300649,40.75589245577023,40.75589245577023,40.75589245577023,37.23829906526412,37.23829906526412,37.23829906526412,37.23829906526412,37.23829906526412,37.23829906526412,37.23829906526412,41.25066158019136,41.25066158019136,42.50777914413338,42.50777914413338,42.50777914413338,42.50777914413338,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,41.20834345818689,43.89875553984254,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,46.02537253463947,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,44.72593684869298,43.83589348376034,43.83589348376034,43.83589348376034,43.83589348376034,43.83589348376034,43.83589348376034,43.83589348376034,43.83589348376034,43.83589348376034	0.9960817657423182	46.02537253463947	11	true	1384
26	15	15	100	51819	92070	736560	0	0	58.938656232017806	60.37392322819953	69.1935157601111	68.80664205316442	55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,55.84522499533108,58.74894359376671,58.74894359376671,58.74894359376671,60.37392322819953,60.37392322819953,60.10137545405043,60.10137545405043,60.10137545405043,60.10137545405043,60.10137545405043,60.10137545405043,59.517694831947225,59.517694831947225,59.517694831947225,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,53.99044313468332,53.99044313468332,53.99044313468332,53.99044313468332,53.99044313468332,53.99044313468332,53.99044313468332,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.89911715017076,56.63306665746811,56.63306665746811,56.63306665746811,56.63306665746811,58.938656232017806,58.938656232017806,58.938656232017806	0.9960817657423182	60.37392322819953	9	true	678
27	15	15	100	52134	92070	736560	0	0	56.305428341752275	56.305428341752275	67.7050565809465	67.7050565809465	43.448958506702965,43.448958506702965,43.448958506702965,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,46.00908672574162,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,51.427429467583586,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275,56.305428341752275	0.9958392978556962	56.305428341752275	9	true	331
28	17	17	100	52295	104346	834768	0	0	41.48714259722547	41.48714259722547	69.5237491845797	69.5237491845797	34.575158260206166,34.575158260206166,38.321729301811104,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547,41.48714259722547	0.9952533612124491	41.48714259722547	13	true	260
29	20	20	100	52946	122760	982080	0	0	63.863370579355816	64.83816987960073	80.38491676417891	79.51854438359149	47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,47.975538849987075,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,46.625507363387484,51.881722242276,51.881722242276,51.881722242276,51.881722242276,51.881722242276,51.881722242276,51.881722242276,51.881722242276,55.094493120920546,55.094493120920546,57.661081096829676,57.661081096829676,64.00510119497194,64.00510119497194,64.00510119497194,64.00510119497194,64.00510119497194,64.00510119497194,61.90529096913524,61.90529096913524,61.90529096913524,61.90529096913524,61.90529096913524,61.90529096913524,61.90529096913524,61.90529096913524,61.605911797565085,61.605911797565085,61.605911797565085,61.605911797565085,64.22338267691876,64.22338267691876,62.73835965376401,62.73835965376401,62.73835965376401,62.73835965376401,64.83816987960073,64.83816987960073,63.798109814908784,63.798109814908784,63.798109814908784,63.798109814908784,63.798109814908784,63.798109814908784,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816,63.863370579355816	0.9948494308420032	64.83816987960073	9	true	303
30	20	20	100	52898	122760	982080	0	0	72.83334365085048	73.13330874334773	82.85916654039497	83.20155293550346	69.43476284683665,69.43476284683665,69.43476284683665,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,69.36897262058228,71.88260156722018,71.88260156722018,71.88260156722018,71.88260156722018,71.88260156722018,71.88260156722018,71.88260156722018,71.88260156722018,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,73.13330874334773,72.83334365085048,72.83334365085048,72.83334365085048,72.83334365085048,72.83334365085048,72.83334365085048,72.83334365085048	0.9948494308420032	73.13330874334773	7	true	413
31	21	20	100	52869	122760	982080	0	0	64.69490239288832	65.48609770910059	79.53899321492979	79.9842294247751	50.21629871994658,50.21629871994658,48.18187975934535,43.989900713149574,43.989900713149574,43.989900713149574,44.247785317522954,40.8700126826694,35.905760268944825,35.905760268944825,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,39.48997626438057,45.736921870800515,45.736921870800515,45.736921870800515,45.736921870800515,45.736921870800515,45.736921870800515,45.736921870800515,45.736921870800515,51.56452105602669,51.56452105602669,51.56452105602669,51.56452105602669,57.00902514522143,64.69490239288832,64.69490239288832,64.55165458798547,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,62.37362428141426,61.825115671472275,61.825115671472275,61.825115671472275,61.825115671472275,61.825115671472275,64.58783974688873,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,65.48609770910059,64.69490239288832,64.69490239288832,64.69490239288832,64.69490239288832,64.69490239288832,64.69490239288832,64.69490239288832,64.69490239288832	0.994094501429292	65.48609770910059	9	true	213
32	23	23	100	53529	141174	1129392	0	0	53.91694928804736	53.91694928804736	76.24177608187178	76.24177608187178	28.63492483558932,28.63492483558932,44.5037164833885,43.18877002282976,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,40.77267107390975,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,37.664815360041885,38.59547123303184,38.59547123303184,38.59547123303184,38.59547123303184,40.46516323952553,40.46516323952553,40.46516323952553,40.46516323952553,41.088927153138876,41.088927153138876,50.071760930937806,50.071760930937806,53.91694928804736,53.91694928804736,53.91694928804736	0.992905593613148	53.91694928804736	11	true	237
33	23	22	100	53289	135036	1080288	0	0	67.4735982771198	67.4735982771198	75.38626128512934	75.38626128512934	36.25679331744698,36.25679331744698,40.1190526889082,40.70347553501585,40.68998996723579,39.333328448969915,35.95997600076551,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,32.019886948754184,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,45.85611356723411,55.35981725842477,61.123426235493845,64.17059121110917,64.17059121110917,64.17059121110917,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,65.44905335791998,67.4735982771198,67.4735982771198,67.4735982771198,67.4735982771198,67.4735982771198,67.4735982771198,67.4735982771198,67.4735982771198,67.4735982771198,67.4735982771198	0.9929424408360811	67.4735982771198	7	true	367
34	24	24	100	53535	147312	1178496	0	0	55.1504411214309	56.00470526407403	81.38663239218305	81.06464763788911	50.69642199724555,50.69642199724555,56.00470526407403,56.00470526407403,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309,55.1504411214309	0.9927601786797875	56.00470526407403	13	true	349
