# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 18
# run: 33061c9d-4fcf-4265-b5c8-35882e35344b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	13	13	100	51411	79794	638352	0	0	45.65613690986075	47.020211518386915	57.44471701697799	57.250408516178936	26.61741417833241,26.61741417833241,25.33868306376702,25.33868306376702,25.33868306376702,25.33868306376702,28.867514482981207,30.68933978094002,30.672055837071852,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,28.83250191514942,33.93240573038014,33.93240573038014,33.93240573038014,33.93240573038014,38.5407929241042,38.5407929241042,38.5407929241042,42.5626565665694,42.5626565665694,42.5626565665694,42.5626565665694,42.5626565665694,42.5626565665694,42.5626565665694,42.5626565665694,45.755389427130325,45.755389427130325,47.020211518386915,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,43.60910913527154,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075,45.65613690986075	0.9974818871042032	47.020211518386915	11	false	1154
26	15	15	100	51781	92070	736560	0	0	63.01014373884232	63.18066167527542	70.34167810373819	70.14301993307477	53.99668675468757,53.99668675468757,53.99668675468757,53.99668675468757,53.99668675468757,53.99668675468757,53.99668675468757,53.99668675468757,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,57.10701487328704,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,59.08153715366389,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.18066167527542,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232,63.01014373884232	0.9966306358339244	63.18066167527542	7	true	678
27	15	15	100	51901	92070	736560	0	0	66.16147970935907	66.16147970935907	73.21871687617106	73.21871687617106	62.57465060587916,62.57465060587916,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,62.53692651219524,64.99055110798473,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907,66.16147970935907	0.9964291824156865	66.16147970935907	7	true	304
28	15	15	100	51775	92070	736560	0	0	68.82512973033032	68.82512973033032	75.963434671645	75.963434671645	58.05815483692666,58.05815483692666,60.02488179111791,62.03361821487191,65.26122225243512,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,65.1852949800222,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032,68.82512973033032	0.9960817657423182	68.82512973033032	7	true	156
29	15	15	100	51720	92070	736560	0	0	72.0324688938545	72.0324688938545	78.14395781835006	78.14395781835006	60.37208913404831,60.37208913404831,58.33380165315261,58.33380165315261,60.34918086256738,60.32659289814519,64.25582974194553,67.41658594724802,67.41658594724802,67.41658594724802,67.41658594724802,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,67.2320752954323,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,70.88513311075407,72.0324688938545,72.0324688938545,72.0324688938545,72.0324688938545,72.0324688938545,72.0324688938545,72.0324688938545,72.0324688938545,72.0324688938545	0.9960817657423182	72.0324688938545	6	true	56
30	15	14	100	51754	85932	687456	0	0	69.48707043376223	71.89345145046217	75.56074742449017	75.55603444288498	47.00716836804879,47.00716836804879,47.756311659843874,46.98767785160282,46.98767785160282,46.98767785160282,46.98767785160282,46.98767785160282,46.98767785160282,46.98767785160282,52.325896149854024,57.21861391288551,57.21861391288551,57.21861391288551,57.21861391288551,57.21861391288551,59.22650372837849,59.22650372837849,59.22650372837849,59.22650372837849,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,59.199218097153675,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,61.329891004939384,62.91854566459051,62.91854566459051,62.91854566459051,62.91854566459051,62.91854566459051,70.70290915974796,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,71.89345145046217,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223,69.48707043376223	0.9960906485549893	71.89345145046217	5	true	54
31	15	14	100	51742	85932	687456	0	0	73.63631160816888	73.63631160816888	77.10964001028582	77.10964001028582	43.48788940995946,43.48788940995946,50.34897190202762,51.423461395821015,51.423461395821015,51.423461395821015,51.423461395821015,51.423461395821015,51.42288369873007,51.42288369873007,51.42288369873007,51.42288369873007,51.42288369873007,51.42288369873007,51.42288369873007,51.42288369873007,55.163437677434196,55.163437677434196,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,58.12663174514156,66.25575845990456,66.25575845990456,66.25575845990456,66.25575845990456,66.25575845990456,66.25575845990456,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,67.97542538015277,71.1896893454249,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888,73.63631160816888	0.9960906485549893	73.63631160816888	5	true	48
32	15	15	100	52003	92070	736560	0	0	65.2145429592809	65.2145429592809	77.82178566145213	77.82178566145213	51.54636519554478,51.54636519554478,56.27925004428857,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,54.76293661965552,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,56.27925004428857,61.00370290768087,61.00370290768087,61.00370290768087,61.00370290768087,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809,65.2145429592809	0.9959128826372083	65.2145429592809	9	true	51
33	15	14	100	51712	85932	687456	0	0	55.264828655807904	58.94932094755373	72.53975755772161	72.50488317813898	37.918231265232215,37.918231265232215,37.918231265232215,39.211417140608845,39.211417140608845,39.211417140608845,39.211417140608845,39.211417140608845,39.92862647542899,36.938682666023276,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,33.08724074473439,32.348625257826804,38.45608752940419,38.45608752940419,44.213982876440234,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.400012866346415,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,45.66950914613851,53.42818561285972,53.42818561285972,58.94932094755373,55.87780013469469,55.87780013469469,55.87780013469469,55.87780013469469,55.87780013469469,55.00916058585368,56.16498983085296,56.16498983085296,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904,55.264828655807904	0.9957118678763863	58.94932094755373	9	true	50
34	16	15	100	51988	92070	736560	0	0	63.107749337225314	63.107749337225314	76.82737373775188	76.82737373775188	46.419871811268834,46.419871811268834,50.452748709797476,50.452748709797476,48.194825248143374,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,44.27568190140171,49.61922792325824,49.61922792325824,49.61922792325824,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,54.54877749237431,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314,63.107749337225314	0.99553413851339	63.107749337225314	9	true	51
