# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 11
# run: 48414c0b-3d40-4426-9dda-8c7653874a6d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51868	92070	736560	0	0	44.77795647459362	46.03426803588796	61.49677461028735	61.525896927062284	26.81877581478659,26.81877581478659,25.540676647531058,25.540676647531058,25.540676647531058,25.540676647531058,31.068336046073455,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,36.16669442590225,40.76485961104729,40.76485961104729,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,46.03426803588796,46.03426803588796,46.03426803588796,46.03426803588796,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362,44.77795647459362	0.9960817657423182	46.03426803588796	11	true	1390
26	15	15	100	52022	92070	736560	0	0	59.506511850699525	61.21890620314453	68.86770012283793	68.39116464428763	55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,55.8853295348265,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,57.63260127930481,60.53630666856026,60.53630666856026,60.53630666856026,61.21890620314453,61.21890620314453,61.21890620314453,61.21890620314453,59.56487075587698,57.25969679898579,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,54.03847713296119,53.833272266550395,59.13218559686338,59.13218559686338,59.13218559686338,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525,59.506511850699525	0.9960817657423182	61.21890620314453	9	true	392
27	15	15	100	51953	92070	736560	0	0	66.08743687477214	66.08743687477214	72.15388351236109	72.15388351236109	65.13010693881499,65.13010693881499,65.13010693881499,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,65.09799177857887,66.08743687477214,66.08743687477214,66.08743687477214,66.08743687477214,66.08743687477214,66.08743687477214,66.08743687477214,66.08743687477214,66.08743687477214	0.9960817657423182	66.08743687477214	8	true	231
28	15	15	100	51990	92070	736560	0	0	66.85603236061009	66.85603236061009	73.6820628040157	73.6820628040157	52.87874946784651,52.87874946784651,52.87874946784651,60.10948869215017,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,60.07179479041172,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,59.773313885319276,61.14176297643484,61.14176297643484,61.14176297643484,61.14176297643484,64.3778375866288,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009,66.85603236061009	0.9958718681688247	66.85603236061009	8	true	215
29	16	16	100	52124	98208	785664	0	0	64.66261101934552	64.66261101934552	74.94322262337995	74.94322262337995	38.21406491081485,38.21406491081485,54.05206392022813,54.05206392022813,54.012186405077095,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,49.29736422833643,54.361609263461226,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.9273583307393,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,58.967235845890336,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552,64.66261101934552	0.9955312141306174	64.66261101934552	9	true	534
30	17	17	100	52459	104346	834768	0	0	57.82270290047727	57.82270290047727	74.81110166290442	74.81110166290442	41.03237270139231,41.03237270139231,41.032078890342675,43.525123242338296,43.525123242338296,43.525123242338296,40.81537232166721,40.81537232166721,40.81537232166721,40.81537232166721,40.81537232166721,40.81537232166721,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,45.604572859988096,50.051811231279935,50.051811231279935,50.051811231279935,50.03094236823465,50.03094236823465,50.03094236823465,50.03094236823465,50.03094236823465,53.28430748487827,53.28430748487827,53.28430748487827,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,54.962412356805686,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,56.8286056751282,57.82270290047727,57.82270290047727,57.82270290047727,57.82270290047727	0.9952533612124491	57.82270290047727	10	true	181
31	18	17	100	52465	104346	834768	0	0	43.09250293968028	44.06275013345483	74.02127725575217	74.02127725575217	40.09560108532235,40.09560108532235,40.58515253151382,39.472482061481514,34.91237102564473,26.65277373656407,26.65277373656407,26.65277373656407,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,32.053346910966965,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,28.228240380900033,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,31.083099717192418,32.053346910966965,32.053346910966965,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,31.511286273407848,38.22125115024619,44.06275013345483,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028,43.09250293968028	0.9952827512593122	44.06275013345483	13	true	212
32	19	18	100	52643	110484	883872	0	0	32.61330739201563	53.99467020263338	76.23608871915945	76.97316152673642	53.99467020263338,53.99467020263338,52.91840715341584,50.797987851570056,50.797987851570056,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,48.12871970769501,47.17709502833385,47.17709502833385,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,42.22779436862537,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563,32.61330739201563	0.9950589628676497	53.99467020263338	13	true	170
33	19	17	100	52258	104346	834768	0	0	52.464980602082456	52.464980602082456	63.19970013677012	63.19970013677012	-5.440912178683879,-5.440912178683879,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,-5.01402608542057,6.911379512147823,28.35852668454072,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,29.56205353288417,31.711270359439645,32.57526275997257,34.49366921375444,34.49366921375444,34.49366921375444,34.49366921375444,34.49366921375444,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,36.375068380479526,40.48738366866076,47.417261385059625,51.50281845964333,51.50281845964333,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456,52.464980602082456	0.9940378780678603	52.464980602082456	8	true	149
34	21	18	100	52438	110484	883872	0	0	38.94158952458394	38.94158952458394	65.87527536760732	65.87527536760732	13.286338699274072,13.286338699274072,14.051655089572655,13.117059641091565,4.585495461711226,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,-3.157975585480969,2.8830378882058483,2.8830378882058483,2.8830378882058483,2.8830378882058483,2.8830378882058483,2.8830378882058483,2.8830378882058483,8.542745977449322,14.051324865253392,32.18724360446082,32.18724360446082,32.18724360446082,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,35.430017025685636,37.830477143680575,38.94158952458394,38.94158952458394,38.94158952458394,38.94158952458394	0.9934341026897011	38.94158952458394	11	true	399
