# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: 9e062a05-98f4-4bba-a5e6-e44b508a994c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 33agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	51714	92070	736560	0	0	41.64050832857493	46.04165442777514	61.562360072533295	61.425790294674556	26.824983755056067,26.824983755056067,25.5468257666399,25.5468257666399,25.5468257666399,25.5468257666399,31.07365180897952,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,36.172096088539874,32.65469220896651,32.65469220896651,37.25327971870896,37.25327971870896,41.26671961965887,41.26671961965887,41.26671961965887,41.26671961965887,41.26671961965887,41.26671961965887,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,41.22506424670756,41.22506424670756,41.22506424670756,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,42.52425054820178,46.04165442777514,46.04165442777514,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,42.688072617813546,42.688072617813546,42.688072617813546,42.688072617813546,42.688072617813546,42.688072617813546,42.688072617813546,42.688072617813546,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.94560354635645,43.81022132291672,43.81022132291672,43.81022132291672,43.81022132291672,43.81022132291672,41.64050832857493,41.64050832857493,41.64050832857493	0.9964291824156865	46.04165442777514	11	true	954
26	15	15	100	51857	92070	736560	0	0	59.78544315183605	61.51230896823364	69.34943327141094	69.07386978965175	55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,55.91851456015348,61.51230896823364,60.919188522955906,60.919188522955906,60.919188522955906,60.919188522955906,60.919188522955906,60.919188522955906,60.919188522955906,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,59.266098720836936,60.919188522955906,60.919188522955906,60.919188522955906,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,60.01412851994239,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605,59.78544315183605	0.9964291824156865	61.51230896823364	9	true	621
27	15	15	100	51813	92070	736560	0	0	65.14750968349902	65.14750968349902	72.66016011470937	72.66016011470937	65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902,65.14750968349902	0.9960817657423182	65.14750968349902	9	true	378
28	15	15	100	51821	92070	736560	0	0	67.91084932350495	68.00216815608525	75.41119743931064	75.51354675009463	60.76098404706525,60.76098404706525,64.77859224701771,64.77859224701771,68.00216815608525,68.00216815608525,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495,67.91084932350495	0.9960817657423182	68.00216815608525	9	true	303
29	15	15	100	52006	92070	736560	0	0	70.37178254963737	70.37178254963737	77.86848680448949	77.86848680448949	63.32366016591182,63.32366016591182,63.32366016591182,63.32366016591182,63.32366016591182,63.32366016591182,63.32366016591182,67.24218380699911,67.24218380699911,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737,70.37178254963737	0.9960817657423182	70.37178254963737	9	true	154
30	15	14	100	51855	85932	687456	0	0	63.20752249054814	64.2279325847947	70.2469292273715	71.07925935451053	39.62832370390656,39.62832370390656,39.62832370390656,39.62832370390656,39.62832370390656,39.62832370390656,39.62832370390656,39.62832370390656,39.62832370390656,39.62832370390656,36.98691061404655,42.69156141710576,42.69156141710576,42.69156141710576,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,47.97475999638411,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,49.80528365085664,57.3146256739231,59.59207075740669,64.2279325847947,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814,63.20752249054814	0.9957118678763863	64.2279325847947	9	true	158
31	17	17	100	52335	104346	834768	0	0	71.21285409943565	71.23065152650113	79.51303297379769	79.51167527731815	55.964407391133676,55.964407391133676,67.95275890368323,67.95275890368323,67.95275890368323,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.23065152650113,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565,71.21285409943565	0.9953860550807495	71.23065152650113	9	true	179
32	17	16	100	52118	98208	785664	0	0	65.33327647566529	65.33327647566529	74.10567931459262	74.10567931459262	43.95114983361814,43.95114983361814,43.78623308810777,43.69636754340271,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,41.02699106898136,43.69636754340271,43.69636754340271,44.49720210494333,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,43.78623308810777,54.646736525160556,54.646736525160556,54.646736525160556,56.9864243422169,56.9864243422169,57.697393359052455,56.89655879751184,56.89655879751184,54.22718232309049,54.22718232309049,54.22718232309049,54.22718232309049,58.0629154708842,61.3091994466219,61.3091994466219,61.78371967781021,61.78371967781021,64.96237219367671,64.96237219367671,64.96237219367671,64.96237219367671,64.96237219367671,64.96237219367671,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529,65.33327647566529	0.9953227787485104	65.33327647566529	9	true	145
33	17	15	100	51925	92070	736560	0	0	63.53645776049267	64.41288067684489	71.81755255584619	71.4832748181525	28.472173742673128,28.472173742673128,28.47165000325952,28.47165000325952,28.47165000325952,28.47165000325952,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,25.696779907317676,29.175177330574176,28.47165000325952,32.57694045468873,32.57694045468873,32.57694045468873,36.04675721688634,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,36.736941199106944,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,50.0590404108271,57.78493783383667,58.817369797756335,58.817369797756335,58.817369797756335,58.817369797756335,58.817369797756335,61.99578552404617,64.41288067684489,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267,63.53645776049267	0.9953316615611817	64.41288067684489	9	true	356
34	17	15	100	51995	92070	736560	0	0	55.611280705471856	55.611280705471856	69.36436070830055	69.36436070830055	29.944774723866068,29.944774723866068,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,29.942881083134772,33.950545839443855,33.950545839443855,33.950545839443855,37.31772409951902,37.31772409951902,37.900567662911946,37.900567662911946,37.900567662911946,37.900567662911946,37.900567662911946,37.900567662911946,37.900567662911946,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,51.223040078027445,50.052263206978104,50.052263206978104,53.21097021733398,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856,55.611280705471856	0.9950988441377091	55.611280705471856	11	true	140
