# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 2
# run: 05929d2d-a445-4e98-8db0-6997a8b29c10
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67394	118800	950400	0	0	35.516770119647056	35.516770119647056	63.37729216553066	63.37729216553066	4.9799845366072475,4.9799845366072475,2.946348658612578,2.946348658612578,2.946348658612578,9.528625390165061,15.787856532903,15.787856532903,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.69608149733652,21.039742582596332,21.039742582596332,31.644066145559734,31.644066145559734,31.644066145559734,31.644066145559734,31.644066145559734,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,33.06973012380108,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,32.33606313648756,34.24122515995163,34.24122515995163,34.24122515995163,34.24122515995163,34.24122515995163,34.24122515995163,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,34.897564074691836,35.516770119647056,35.516770119647056,35.516770119647056,35.516770119647056,35.516770119647056,35.516770119647056,35.516770119647056	0.9960817657423182	35.516770119647056	19	false	1317
26	15	15	100	67510	118800	950400	0	0	49.27769804533732	51.18359128210266	73.32695885554855	73.27347992457341	48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,48.139916000268975,51.18359128210266,51.18359128210266,51.18359128210266,51.18359128210266,51.18359128210266,51.18359128210266,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,50.923721439246826,51.093738973615785,51.093738973615785,51.093738973615785,51.093738973615785,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,49.750076178985225,50.27108599841213,50.27108599841213,50.27108599841213,49.27769804533732,49.27769804533732,49.27769804533732,49.27769804533732,49.27769804533732,49.27769804533732,49.27769804533732,49.27769804533732	0.9960817657423182	51.18359128210266	18	false	630
27	15	15	100	67605	118800	950400	0	0	58.63560843630028	58.63560843630028	77.93229703491919	77.93229703491919	57.679544501483655,57.679544501483655,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,55.6429725732305,58.63560843630028,58.63560843630028,58.63560843630028,58.63560843630028,58.63560843630028,58.63560843630028,58.63560843630028,58.63560843630028	0.9960817657423182	58.63560843630028	17	false	1004
28	15	15	100	67623	118800	950400	0	0	64.77696302930208	64.77696302930208	81.47227877145158	81.47227877145158	54.88395993639589,54.88395993639589,59.48700368079364,59.48700368079364,61.465972792625585,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,61.38622061380078,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,62.460129355106766,64.77696302930208,64.77696302930208,64.77696302930208,64.77696302930208,64.77696302930208,64.77696302930208,64.77696302930208	0.9960817657423182	64.77696302930208	16	false	349
29	15	15	100	67582	118800	950400	0	0	67.24992574895532	67.24992574895532	81.76308054213021	81.76308054213021	52.63773883656419,52.63773883656419,52.63773883656419,52.63773883656419,52.63773883656419,57.662368281252064,62.17490948592651,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,64.09516443678932,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532,67.24992574895532	0.9959128826372083	67.24992574895532	16	false	206
30	16	15	100	67482	118800	950400	0	0	45.92349435227642	45.92349435227642	78.79632265267105	78.79632265267105	26.47776862589656,26.47776862589656,40.52556198859594,39.429919466083376,40.19527928030904,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,29.464268983846495,35.9659203959077,35.9659203959077,42.12494416753779,42.12494416753779,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642,45.92349435227642	0.9955479927767744	45.92349435227642	20	false	239
31	17	15	100	67566	118800	950400	0	0	34.855974075419795	35.7237651539931	74.32386726915684	75.43866723116786	-2.7386608334308153,-2.7386608334308153,-5.290495754118917,-5.290495754118917,-5.290495754118917,-5.290495754118917,-5.290495754118917,-4.506234231017128,-4.506234231017128,4.911577455823357,6.612072126291455,6.612072126291455,6.612072126291455,11.873002434621359,16.686871746357387,18.70002230380671,18.70002230380671,18.70002230380671,18.70002230380671,18.70002230380671,18.70002230380671,27.239047389215184,27.239047389215184,27.239047389215184,27.239047389215184,27.239047389215184,27.239047389215184,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,22.31335967741825,24.586882800956527,26.094881651026657,26.094881651026657,26.094881651026657,26.094881651026657,26.094881651026657,26.094881651026657,26.094881651026657,26.094881651026657,26.094881651026657,26.899657084446535,26.282204633025156,26.282204633025156,24.993543264572917,24.993543264572917,24.993543264572917,24.993543264572917,22.99460509748747,20.27195332674854,16.788231088642707,16.788231088642707,24.042535730999024,24.042535730999024,35.7237651539931,35.7237651539931,32.1640432865632,32.1640432865632,27.56188081208438,27.56188081208438,21.405182116493915,21.405182116493915,21.405182116493915,21.405182116493915,25.340507130109014,25.340507130109014,25.340507130109014,28.24727109494746,28.24727109494746,28.24727109494746,28.24727109494746,28.24727109494746,28.24727109494746,28.24727109494746,28.24727109494746,28.24727109494746,34.855974075419795,34.855974075419795	0.99532387539205	35.7237651539931	20	false	525
32	17	16	100	67643	126720	1013760	0	0	52.27383217902964	60.64346151571493	79.55057227256474	78.94030596333165	5.863278244733687,5.863278244733687,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,4.959431430031062,11.759666904440467,11.759666904440467,22.448684314749237,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,24.024993161908547,36.18646554334723,36.18646554334723,36.18646554334723,36.18646554334723,36.18646554334723,36.18646554334723,40.00321180009777,40.00321180009777,43.64539806588218,41.51980004064043,41.51980004064043,41.51980004064043,53.41679290176272,53.41679290176272,53.403720140125785,60.64346151571493,60.64346151571493,60.64346151571493,60.64346151571493,60.64346151571493,60.64346151571493,60.64346151571493,60.64346151571493,60.64346151571493,59.56128612146964,59.56128612146964,59.56128612146964,59.56128612146964,59.56128612146964,59.56128612146964,57.08281656810419,57.08281656810419,57.08281656810419,57.08281656810419,57.08281656810419,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,52.800812875982146,53.55592222289211,53.55592222289211,52.27383217902964,52.27383217902964,52.27383217902964	0.9952902084353822	60.64346151571493	16	false	236
33	17	17	100	67982	134640	1077120	0	0	44.172886138384	44.198639986253866	78.22341156972193	78.22490099471653	20.29574984075932,20.29574984075932,29.027552057555596,29.027552057555596,28.825282838715722,24.897284903854178,24.897284903854178,24.897284903854178,24.897284903854178,24.897284903854178,24.897284903854178,24.897284903854178,24.897284903854178,24.897284903854178,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,21.530615818277766,22.049716455875625,22.049716455875625,22.049716455875625,22.049716455875625,19.45709217554716,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,15.829489063774417,22.60547795454005,22.60547795454005,22.60547795454005,29.081218971933964,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,33.244641670963134,38.023852702008256,38.023852702008256,44.198639986253866,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384,44.172886138384	0.9948190903707387	44.198639986253866	20	false	285
34	17	16	100	67976	126720	1013760	0	0	54.1168663910121	55.94682752964538	71.3669023187039	71.3517463685646	5.852547347417767,5.852547347417767,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,2.9114832822482253,10.04339864304245,16.906497975734553,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,21.49093946610509,24.679413877622178,24.679413877622178,24.679413877622178,26.193429639682513,26.193429639682513,26.193429639682513,52.84308998560855,52.84308998560855,54.1134183690807,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,53.08057947581391,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,55.94682752964538,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121,54.1168663910121	0.9948004474305641	55.94682752964538	17	false	221
