# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: 879ca776-dbd4-4ab6-b029-7c86f6262148
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67801	118800	950400	0	0	34.62244069834589	35.6278645078347	64.25794313996387	64.20615481715014	4.976053080809635,4.976053080809635,2.94284707422824,2.94284707422824,2.94284707422824,2.94284707422824,15.78423448502523,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,21.692782529114737,27.2096860378023,27.2096860378023,24.650848330595707,24.650848330595707,24.650848330595707,29.738453013374652,29.738453013374652,29.738453013374652,29.738453013374652,29.738453013374652,32.335251687928626,32.335251687928626,33.06902680062811,33.06902680062811,33.06902680062811,33.06902680062811,33.06902680062811,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,32.29237041377845,33.06902680062811,33.06902680062811,33.06902680062811,33.06902680062811,33.06902680062811,33.06902680062811,34.9711234595365,35.6278645078347,35.6278645078347,35.6278645078347,35.6278645078347,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,34.89408939513522,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,35.51417443089027,34.62244069834589,34.62244069834589,34.62244069834589,34.62244069834589,34.62244069834589,34.62244069834589,34.62244069834589	0.9960817657423182	35.6278645078347	19	false	1098
26	15	15	100	67741	118800	950400	0	0	52.54649590732012	52.611277059049726	73.810906596528	73.44529182242599	48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,48.14290295411901,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,51.163277864490254,52.611277059049726,52.611277059049726,52.611277059049726,52.611277059049726,52.611277059049726,52.611277059049726,52.611277059049726,52.02347051679541,52.02347051679541,52.02347051679541,52.02347051679541,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012,52.54649590732012	0.9960817657423182	52.611277059049726	18	false	584
27	15	15	100	67783	118800	950400	0	0	57.1934871851132	57.1934871851132	78.14965683867774	78.14965683867774	57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132,57.1934871851132	0.9960817657423182	57.1934871851132	18	false	541
28	15	15	100	67726	118800	950400	0	0	57.52068431901675	57.52068431901675	77.2237306634678	77.2237306634678	38.74417083563126,38.74417083563126,38.74417083563126,50.38684674420517,52.1056898721379,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,49.99838052874924,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675,57.52068431901675	0.9957029850637148	57.52068431901675	18	false	1076
29	17	17	100	68218	134640	1077120	0	0	42.485584688700754	42.485584688700754	81.9861891841361	81.9861891841361	27.61654182288095,27.61654182288095,34.857672718698424,34.857672718698424,34.857672718698424,19.08110630450415,19.08110630450415,19.08110630450415,19.08110630450415,19.08110630450415,19.08110630450415,19.08110630450415,25.11065070722663,25.11065070722663,32.23904766121797,32.23904766121797,37.07346247724776,40.32117032687269,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754,42.485584688700754	0.9952702495229601	42.485584688700754	20	false	304
30	18	18	100	68453	142560	1140480	0	0	44.887239908201984	45.236765980650055	86.49725655212876	86.49725655212876	38.49224706701216,38.49224706701216,38.49224706701216,32.1489753221674,32.1489753221674,32.1489753221674,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,30.71573503978719,35.01689539404841,38.73072892015559,38.73072892015559,38.73072892015559,38.73072892015559,38.73072892015559,38.73072892015559,40.60122495906806,40.60122495906806,41.49734415917644,41.470020045080595,41.470020045080595,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,44.24055545245999,45.236765980650055,45.236765980650055,45.236765980650055,45.236765980650055,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984,44.887239908201984	0.9952459040363794	45.236765980650055	20	false	233
31	20	19	100	68665	150480	1203840	0	0	45.94356857569338	50.71100760325518	91.06657736098587	91.19882944757673	42.183047331651295,42.183047331651295,48.13968609155677,47.908287625307324,49.793848042459025,49.793848042459025,49.793848042459025,49.793848042459025,49.793848042459025,49.793848042459025,50.71100760325518,49.792413212835456,49.792413212835456,49.792413212835456,49.792413212835456,49.792413212835456,47.889724478717376,47.889724478717376,47.889724478717376,47.889724478717376,47.889724478717376,47.889724478717376,47.889724478717376,47.889724478717376,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338,45.94356857569338	0.994886278064936	50.71100760325518	20	true	263
32	20	17	100	68097	134640	1077120	0	0	48.67890815953469	52.51047159387333	80.0723208189943	79.57927813111267	20.3223437817842,20.3223437817842,22.29199269665859,20.306250963073268,20.306250963073268,20.306250963073268,20.306250963073268,17.57224695823836,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,12.038013210710874,19.100406942292196,25.90032213078692,25.90032213078692,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,33.35358980114752,38.95726835460148,52.51047159387333,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469,48.67890815953469	0.9949116105307024	52.51047159387333	19	false	455
33	22	19	100	68276	150480	1203840	0	0	28.355966139718234	28.355966139718234	71.27587868217367	71.27587868217367	-30.283251850226463,-30.283251850226463,-8.91116562127167,-8.91116562127167,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,-24.275591645266488,1.3406347161225103,8.51797069412335,15.434343229812614,15.434343229812614,15.434343229812614,15.434343229812614,20.057167949476344,23.111875735675383,23.111875735675383,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,24.88156786577776,28.00118095230346,28.00118095230346,28.00118095230346,28.355966139718234,28.355966139718234,28.355966139718234,28.355966139718234	0.9934494556992564	28.355966139718234	22	false	275
34	23	20	100	68523	158400	1267200	0	0	4.6941315496342	4.6941315496342	74.88802485543219	74.88802485543219	-16.568974341868326,-16.568974341868326,-9.223009400422676,-16.390394185631834,-16.390394185631834,-16.390394185631834,-16.390394185631834,-16.390394185631834,-16.390394185631834,-16.390394185631834,-16.390394185631834,-16.390394185631834,-17.717753790233054,-17.717753790233054,-17.717753790233054,-13.23328064138041,-15.135869963061591,-15.135869963061591,-15.135869963061591,-15.135869963061591,-15.135869963061591,-13.808510358460358,-13.808510358460358,-13.808510358460358,-13.808510358460358,-13.808510358460358,-13.808510358460358,-13.808510358460358,-13.808510358460358,-13.808510358460358,-15.135869963061591,-15.135869963061591,-15.135869963061591,-17.437977892592446,-17.437977892592446,-17.437977892592446,-17.437977892592446,-17.437977892592446,-17.437977892592446,-17.437977892592446,-19.38579601707022,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,-22.44423954154646,1.003245000028997,1.003245000028997,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342,4.6941315496342	0.9930292950044232	4.6941315496342	24	false	256
