# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: d5916a88-c0a9-4258-9abc-c9f3d8203e85
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 40agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67642	118800	950400	0	0	33.973641060583525	34.8650697140425	64.21675100027932	64.21675100027932	2.940592845481305,2.940592845481305,2.940592845481305,2.940592845481305,2.940592845481305,9.522806091933973,15.782232965234662,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,21.6912943124985,27.208100586917368,25.90459808039563,25.90459808039563,30.992723279051035,30.992723279051035,30.992723279051035,30.992723279051035,30.992723279051035,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,34.323646265934514,34.323646265934514,32.417262059119494,32.417262059119494,32.417262059119494,32.417262059119494,32.417262059119494,28.804627550655344,28.804627550655344,28.804627550655344,28.804627550655344,28.804627550655344,28.804627550655344,28.804627550655344,32.417262059119494,32.417262059119494,32.417262059119494,34.323646265934514,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,33.58991121466911,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.24626837489091,34.8650697140425,33.973641060583525,33.973641060583525,33.973641060583525,33.973641060583525,33.973641060583525	0.9960817657423182	34.8650697140425	19	false	1229
26	15	15	100	67762	118800	950400	0	0	50.88493094107026	50.88493094107026	73.99939477671494	73.99939477671494	47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,47.614408486625415,50.657050860177726,50.657050860177726,50.657050860177726,50.657050860177726,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.402920584529234,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.57580005155605,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026,50.88493094107026	0.9960817657423182	50.88493094107026	18	false	596
27	15	15	100	67649	118800	950400	0	0	58.81013237961904	58.81013237961904	78.06836536594713	78.06836536594713	55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,55.91359442602964,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904,58.81013237961904	0.9960817657423182	58.81013237961904	17	false	729
28	15	15	100	67478	118800	950400	0	0	62.62503976887948	62.62503976887948	81.64700846765311	81.64700846765311	50.012002841756534,50.012002841756534,50.012002841756534,55.09400218842388,61.63040181494308,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,61.554425892651444,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,59.21697260542049,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948,62.62503976887948	0.9960817657423182	62.62503976887948	17	false	308
29	15	15	100	67481	118800	950400	0	0	58.74267029806845	60.08770734297155	75.94676470487946	75.94676470487946	21.871193122567917,21.871193122567917,22.455525685542938,19.598500532291396,20.63446105291657,20.63446105291657,33.88321517326619,33.88321517326619,33.88321517326619,37.978879296129385,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,40.43643105141782,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,49.69148973528073,56.7511690190783,53.12747261332209,53.12747261332209,53.12747261332209,53.12747261332209,53.12747261332209,53.12747261332209,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,57.691075009648664,60.08770734297155,60.08770734297155,59.19460109292415,59.19460109292415,59.19460109292415,59.19460109292415,59.19460109292415,58.74267029806845,58.74267029806845	0.9956704147505866	60.08770734297155	16	false	271
30	17	16	100	67708	126720	1013760	0	0	40.79602347971858	40.79602347971858	80.5757241771006	80.5757241771006	25.94475411567843,25.94475411567843,36.30060399226887,36.30060399226887,20.568690320430214,20.568690320430214,20.568690320430214,20.568690320430214,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,21.750537226976554,29.069590878671697,29.069590878671697,29.069590878671697,36.10335384109795,36.10335384109795,36.10335384109795,36.10335384109795,36.10335384109795,36.10335384109795,36.10335384109795,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858,40.79602347971858	0.9952870281691172	40.79602347971858	20	false	216
31	17	15	100	67553	118800	950400	0	0	33.982691187771636	49.710746028460456	74.31290283975251	73.89938553334983	3.783865053878676,3.783865053878676,1.881995823706168,1.881995823706168,0.27899290526547205,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,-2.4050249105232737,2.39604739956021,6.687424401903378,6.687424401903378,6.687424401903378,6.687424401903378,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,8.330690073187192,11.014707888975934,11.014707888975934,11.014707888975934,11.014707888975934,11.014707888975934,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,10.422165580333171,14.581533913205945,22.203636148481678,42.370648832029595,42.370648832029595,42.370648832029595,38.70864179985044,43.498314146377126,49.710746028460456,47.421511666090524,47.421511666090524,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,46.60001007936057,42.40167681130151,42.40167681130151,42.40167681130151,42.40167681130151,43.904000895633125,38.95910905631361,33.982691187771636,33.982691187771636,33.982691187771636,33.982691187771636,33.982691187771636,33.982691187771636,33.982691187771636,33.982691187771636,33.982691187771636,33.982691187771636	0.9953069870815391	49.710746028460456	18	false	214
32	18	17	100	67852	134640	1077120	0	0	17.576842731109764	21.600796888811914	82.95294237321805	83.20993104701344	17.74378159218935,17.74378159218935,21.600796888811914,16.11738420321543,3.042332339471999,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,-3.3669373772716824,4.536725175242866,4.536725175242866,4.536725175242866,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,12.203457881268095,17.576842731109764,17.576842731109764	0.9952827512593122	21.600796888811914	24	false	771
33	18	16	100	67516	126720	1013760	0	0	40.08765407416871	40.08765407416871	63.295043686818346	63.295043686818346	-23.576357623264713,-23.576357623264713,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-23.679606982772754,-16.941826936777275,-10.487638214156178,-10.487638214156178,-10.487638214156178,-10.487638214156178,-10.487638214156178,-6.391647515536263,-3.8836026536140906,11.437591770824298,11.437591770824298,11.437591770824298,11.437591770824298,11.829501129234487,11.829501129234487,11.829501129234487,11.829501129234487,11.829501129234487,11.829501129234487,11.829501129234487,27.280201658239818,27.280201658239818,35.46776385307686,35.46776385307686,35.46776385307686,35.46776385307686,35.46776385307686,35.46776385307686,34.35108518922317,34.35108518922317,34.35108518922317,34.35108518922317,34.35108518922317,34.35108518922317,34.35108518922317,34.35108518922317,34.35108518922317,34.35108518922317,33.39493488018901,33.39493488018901,32.44015719825049,36.34262230675448,37.29184921511542,37.29184921511542,37.29184921511542,37.29184921511542,37.29184921511542,37.29184921511542,35.30215335924519,36.064171443080006,36.064171443080006,36.064171443080006,36.064171443080006,36.064171443080006,37.40170386755273,36.0552782350556,36.0552782350556,36.0552782350556,40.08765407416871,40.08765407416871,40.08765407416871,40.08765407416871	0.9944728800052639	40.08765407416871	17	false	215
34	20	18	100	67888	142560	1140480	0	0	-4.198586879261848	-4.198586879261848	66.53363665351019	66.53363665351019	-35.95268838747637,-35.95268838747637,-36.79868797194102,-47.184154241124034,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-61.22051953099037,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-62.993062851918076,-31.247807772947937,-31.247807772947937,-31.247807772947937,-31.247807772947937,-31.247807772947937,-31.247807772947937,-29.433157955076204,-29.433157955076204,-29.433157955076204,-21.249909676809914,-21.249909676809914,-13.289022672825688,-13.289022672825688,-13.289022672825688,-13.289022672825688,-13.289022672825688,-4.198586879261848,-4.198586879261848,-4.198586879261848,-4.198586879261848,-4.198586879261848,-4.198586879261848,-4.198586879261848,-4.198586879261848,-4.198586879261848	0.9936248821108196	-4.198586879261848	22	false	225
