# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 20
# run: 4db17d1d-f96f-49ad-a4e5-db98d106859b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	15	1110	3150	25200	0	0	36.75305848032622	36.75305848032622	36.75305848032622	36.75305848032622	31.52808204789117,31.52808204789117,31.52808204789117,31.52808204789117,34.7614216632179,34.7614216632179,34.7614216632179,34.7614216632179,34.7614216632179,34.7614216632179,34.7614216632179,34.7614216632179,34.7614216632179,36.75305848032622,36.75305848032622	0.9964291824156865	36.75305848032622	0	true	108
26	15	15	1	74	210	1680	0	0	41.59770768709384	41.59770768709384	41.59770768709384	41.59770768709384	41.59770768709384	0.9960817657423182	41.59770768709384	0	true	20
27	15	15	1	74	210	1680	0	0	43.013621426805585	43.013621426805585	43.013621426805585	43.013621426805585	43.013621426805585	0.9960817657423182	43.013621426805585	0	true	2
28	15	15	9	666	1890	15120	0	0	44.28802295994881	44.28802295994881	44.28802295994881	44.28802295994881	44.15495656075837,44.15495656075837,44.15495656075837,44.15495656075837,44.15495656075837,44.15495656075837,44.15495656075837,44.28802295994881,44.28802295994881	0.9960817657423182	44.28802295994881	0	true	5
29	15	15	1	74	210	1680	0	0	45.32418602884596	45.32418602884596	45.32418602884596	45.32418602884596	45.32418602884596	0.9959128826372083	45.32418602884596	0	true	3
30	15	15	17	1258	3570	28560	0	0	45.35142042843688	45.35142042843688	45.35142042843688	45.35142042843688	43.75479356543215,43.75479356543215,43.75479356543215,43.75479356543215,43.75479356543215,43.75479356543215,44.563889226976826,44.563889226976826,44.563889226976826,44.563889226976826,44.563889226976826,44.563889226976826,44.563889226976826,44.563889226976826,44.563889226976826,45.35142042843688,45.35142042843688	0.9957029850637148	45.35142042843688	0	true	6
31	17	17	40	3280	8400	67200	0	0	44.819933210191074	44.819933210191074	44.819933210191074	44.819933210191074	42.385461060534446,42.385461060534446,43.18478154488815,43.18478154488815,43.18478154488815,43.18478154488815,43.18478154488815,43.18478154488815,43.18478154488815,43.18478154488815,43.18478154488815,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,43.98493603242099,44.784514471670384,44.784514471670384,44.784514471670384,44.784514471670384,44.784514471670384,44.784514471670384,44.784514471670384,44.784514471670384,44.784514471670384,44.819933210191074,44.819933210191074	0.9952702495229601	44.819933210191074	0	true	29
32	17	16	11	858	2310	18480	0	0	44.37316657649443	44.37316657649443	44.37316657649443	44.37316657649443	43.13436395193509,43.13436395193509,43.13436395193509,43.13436395193509,43.13436395193509,43.13436395193509,43.13436395193509,43.13436395193509,43.13436395193509,44.37316657649443,44.37316657649443	0.9953070967458931	44.37316657649443	0	true	9
33	17	16	6	468	1260	10080	0	0	43.857944537569026	43.857944537569026	43.857944537569026	43.857944537569026	43.02351610582212,43.02351610582212,43.02351610582212,43.02351610582212,43.857944537569026,43.857944537569026	0.9952105921144018	43.857944537569026	0	true	12
34	20	20	16	1504	3360	26880	0	0	46.659460283434186	46.659460283434186	46.659460283434186	46.659460283434186	44.398425107878346,45.54508249101433,45.54508249101433,45.54508249101433,45.54508249101433,45.54508249101433,45.54508249101433,45.54508249101433,45.54508249101433,45.54508249101433,45.85368386814634,45.85368386814634,45.85368386814634,45.85368386814634,46.659460283434186,46.659460283434186	0.9944151600002925	46.659460283434186	0	true	3
