# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 19
# run: 56c127da-f06b-413e-ae9c-0a209e79d28f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	12	888	2520	20160	0	0	36.73229881688361	36.73229881688361	36.73229881688361	36.73229881688361	27.505793946007003,27.505793946007003,27.505793946007003,27.505793946007003,31.516121745555804,34.750593887051096,34.750593887051096,34.750593887051096,34.750593887051096,34.750593887051096,36.73229881688361,36.73229881688361	0.9960817657423182	36.73229881688361	0	true	166
26	15	15	1	74	210	1680	0	0	41.47032005187722	41.47032005187722	41.47032005187722	41.47032005187722	41.47032005187722	0.9960817657423182	41.47032005187722	0	true	2
27	15	15	1	74	210	1680	0	0	42.92877903566221	42.92877903566221	42.92877903566221	42.92877903566221	42.92877903566221	0.9960817657423182	42.92877903566221	0	true	5
28	15	15	9	666	1890	15120	0	0	42.94745749898227	42.94745749898227	42.94745749898227	42.94745749898227	40.54547172145134,40.54547172145134,41.34696455521004,41.34696455521004,41.34696455521004,41.34696455521004,41.34696455521004,42.94745749898227,42.94745749898227	0.9956704147505866	42.94745749898227	0	true	6
29	17	17	15	1230	3150	25200	0	0	43.72268856869376	43.72268856869376	43.72268856869376	43.72268856869376	42.70243098895001,42.70243098895001,42.70243098895001,43.50199773479481,43.50199773479481,43.50199773479481,43.50199773479481,43.50199773479481,43.50199773479481,43.50199773479481,43.50199773479481,43.50199773479481,43.50199773479481,43.72268856869376,43.72268856869376	0.9952702495229601	43.72268856869376	0	true	36
30	20	20	12	1128	2520	20160	0	0	45.05683648474447	45.05683648474447	45.05683648474447	45.05683648474447	43.048915239883755,43.048915239883755,43.048915239883755,43.048915239883755,43.82257196002205,43.82257196002205,44.81690579848311,44.81690579848311,44.81690579848311,44.81690579848311,45.05683648474447,45.05683648474447	0.9948494308420032	45.05683648474447	0	true	6
31	20	20	1	94	210	1680	0	0	46.86368076296291	46.86368076296291	46.86368076296291	46.86368076296291	46.86368076296291	0.9948494308420032	46.86368076296291	0	true	2
32	20	20	9	846	1890	15120	0	0	46.075390461771086	46.075390461771086	46.075390461771086	46.075390461771086	43.6976690053348,43.6976690053348,43.6976690053348,43.296433072257386,45.27483629232019,45.27483629232019,45.27483629232019,46.075390461771086,46.075390461771086	0.994037585629583	46.075390461771086	0	true	9
33	22	22	59	6018	12390	99120	0	0	44.553217000918465	44.553217000918465	44.553217000918465	44.553217000918465	38.95821477533374,38.95821477533374,38.95821477533374,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,39.75822281408799,42.51909775625431,42.51909775625431,42.51909775625431,42.51909775625431,42.51909775625431,43.4245447065602,43.4245447065602,43.4245447065602,44.22425212815058,44.22425212815058,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.3658748678915,44.553217000918465,44.553217000918465	0.9933076596895767	44.553217000918465	0	true	67
34	23	23	7	742	1470	11760	0	0	46.185106316570476	46.185106316570476	46.185106316570476	46.185106316570476	44.5457683049491,44.5457683049491,44.5457683049491,45.34644510988042,45.34644510988042,46.185106316570476,46.185106316570476	0.9928066763658695	46.185106316570476	0	true	9
35	24	24	18	1980	3780	30240	0	0	47.680992744164165	47.680992744164165	47.680992744164165	47.680992744164165	47.29603185987025,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.4716903890254,47.680992744164165,47.680992744164165	0.992661261432509	47.680992744164165	0	true	5
36	25	25	1	114	210	1680	0	0	48.612163237626056	48.612163237626056	48.612163237626056	48.612163237626056	48.612163237626056	0.9924376923695543	48.612163237626056	0	true	5
37	26	26	1	118	210	1680	0	0	48.84587967078341	48.84587967078341	48.84587967078341	48.84587967078341	48.84587967078341	0.9923121632390465	48.84587967078341	0	true	3
38	26	26	1	118	210	1680	0	0	48.99611720213007	48.99611720213007	48.99611720213007	48.99611720213007	48.99611720213007	0.9923121632390465	48.99611720213007	0	true	3
39	27	24	10	1100	2100	16800	0	0	46.98677609473183	46.98677609473183	46.98677609473183	46.98677609473183	43.31193465906058,43.31193465906058,43.31193465906058,43.31193465906058,43.31193465906058,43.31193465906058,45.31184642922052,45.31184642922052,46.98677609473183,46.98677609473183	0.9916360459420536	46.98677609473183	0	true	9
40	29	25	6	684	1260	10080	0	0	48.26426365770777	48.26426365770777	48.26426365770777	48.26426365770777	46.56408755674365,46.56408755674365,46.56408755674365,46.56408755674365,48.26426365770777,48.26426365770777	0.9911325768929896	48.26426365770777	0	true	4
41	29	25	6	684	1260	10080	0	0	48.032517836274955	48.032517836274955	48.032517836274955	48.032517836274955	44.33291693567168,44.33291693567168,46.033074033409314,46.033074033409314,48.032517836274955,48.032517836274955	0.991094742690871	48.032517836274955	0	true	7
42	29	24	5	550	1050	8400	0	0	47.99062076771441	47.99062076771441	47.99062076771441	47.99062076771441	43.37106812380483,43.37106812380483,46.30885009483779,47.99062076771441,47.99062076771441	0.9911332348791134	47.99062076771441	0	true	2
43	30	25	1	114	210	1680	0	0	49.23860062329767	49.23860062329767	49.23860062329767	49.23860062329767	49.23860062329767	0.9910039771605706	49.23860062329767	0	true	2
44	31	26	6	708	1260	10080	0	0	48.73533908005221	48.73533908005221	48.73533908005221	48.73533908005221	46.735646291999004,46.735646291999004,46.735646291999004,46.735646291999004,48.73533908005221,48.73533908005221	0.9906088564932266	48.73533908005221	0	true	2
45	32	26	4	472	840	6720	0	0	48.48904320773915	48.48904320773915	48.48904320773915	48.48904320773915	46.789224406104466,46.789224406104466,48.48904320773915,48.48904320773915	0.9903904782096932	48.48904320773915	0	true	3
46	32	26	8	944	1680	13440	0	0	48.19776687803175	48.19776687803175	48.19776687803175	48.19776687803175	45.831820236706406,45.831820236706406,45.831820236706406,46.61505359458991,47.41471338475003,47.41471338475003,48.19776687803175,48.19776687803175	0.9898898604338322	48.19776687803175	0	true	3
47	34	28	6	756	1260	10080	0	0	48.836307755845695	48.836307755845695	48.836307755845695	48.836307755845695	47.25653861139119,47.25653861139119,48.056993808531246,48.056993808531246,48.836307755845695,48.836307755845695	0.9895856149611423	48.836307755845695	0	true	4
48	35	31	5	690	1050	8400	0	0	48.27824464598358	48.27824464598358	48.27824464598358	48.27824464598358	46.57783511712871,46.57783511712871,46.57783511712871,48.27824464598358,48.27824464598358	0.989542845863095	48.27824464598358	0	true	2
49	35	30	1	134	210	1680	0	0	48.89274146004001	48.89274146004001	48.89274146004001	48.89274146004001	48.89274146004001	0.9895036956887286	48.89274146004001	0	true	3
50	36	30	1	134	210	1680	0	0	48.29182875162751	48.29182875162751	48.29182875162751	48.29182875162751	48.29182875162751	0.9893919842668206	48.29182875162751	0	true	3
51	36	30	16	2144	3360	26880	0	0	48.13515447352619	48.13515447352619	48.13515447352619	48.13515447352619	46.63731606884183,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,47.3560959652308,48.13515447352619,48.13515447352619	0.9891505033593847	48.13515447352619	0	true	5
52	37	30	1	134	210	1680	0	0	49.130130482397696	49.130130482397696	49.130130482397696	49.130130482397696	49.130130482397696	0.9891880816780109	49.130130482397696	0	true	2
53	37	32	1	142	210	1680	0	0	49.147982189015885	49.147982189015885	49.147982189015885	49.147982189015885	49.147982189015885	0.9891038594541641	49.147982189015885	0	true	2
54	37	32	1	142	210	1680	0	0	49.47052524231696	49.47052524231696	49.47052524231696	49.47052524231696	49.47052524231696	0.9891038594541641	49.47052524231696	0	true	2
55	38	33	1	146	210	1680	0	0	49.491781474698946	49.491781474698946	49.491781474698946	49.491781474698946	49.491781474698946	0.9890839736513114	49.491781474698946	0	true	2
56	39	35	1	154	210	1680	0	0	49.49148556892166	49.49148556892166	49.49148556892166	49.49148556892166	49.49148556892166	0.9888864681498162	49.49148556892166	0	true	2
57	39	31	6	828	1260	10080	0	0	46.76478856133663	46.76478856133663	46.76478856133663	46.76478856133663	45.06429419202157,45.06429419202157,45.06429419202157,45.06429419202157,46.76478856133663,46.76478856133663	0.9890542546113862	46.76478856133663	0	true	3
58	39	30	3	402	630	5040	0	0	47.9774001887297	47.9774001887297	47.9774001887297	47.9774001887297	46.27714867049469,47.9774001887297,47.9774001887297	0.9888273590630277	47.9774001887297	0	true	17
59	42	30	5	670	1050	8400	0	0	47.33822160240562	47.33822160240562	47.33822160240562	47.33822160240562	45.66061554168245,45.66061554168245,45.66061554168245,47.33822160240562,47.33822160240562	0.9884765062399017	47.33822160240562	0	true	3
60	43	30	28	3752	5880	47040	0	0	48.560982369011015	48.560982369011015	48.560982369011015	48.560982369011015	46.9611396856682,46.9611396856682,46.9611396856682,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,47.76060090623002,48.560982369011015,48.560982369011015	0.9882102411884692	48.560982369011015	0	true	6
61	43	30	10	1340	2100	16800	0	0	47.493421349408905	47.493421349408905	47.493421349408905	47.493421349408905	44.675877862162686,44.675877862162686,44.675877862162686,45.47379701406341,45.47379701406341,46.25986446472418,46.25986446472418,46.25986446472418,47.493421349408905,47.493421349408905	0.9881748196021378	47.493421349408905	0	true	16
62	43	28	9	1134	1890	15120	0	0	45.315506017750806	45.315506017750806	45.315506017750806	45.315506017750806	43.541348965291164,43.541348965291164,43.541348965291164,44.75734039116227,44.98390248103091,44.98390248103091,44.98390248103091,45.315506017750806,45.315506017750806	0.9880740380608418	45.315506017750806	0	true	3
63	43	29	12	1560	2520	20160	0	0	46.80512278873546	46.80512278873546	46.80512278873546	46.80512278873546	45.99064390996075,45.99064390996075,45.99064390996075,45.99064390996075,45.99064390996075,45.99064390996075,45.99064390996075,45.99064390996075,45.99064390996075,45.99064390996075,46.80512278873546,46.80512278873546	0.9879961763695249	46.80512278873546	0	true	4
64	44	30	4	536	840	6720	0	0	46.362772216385615	46.362772216385615	46.362772216385615	46.362772216385615	43.9935715963575,44.80052309730819,46.362772216385615,46.362772216385615	0.9873163670392817	46.362772216385615	0	true	14
65	44	30	17	2278	3570	28560	0	0	46.196408685012926	46.196408685012926	46.196408685012926	46.196408685012926	41.11824762785767,41.11824762785767,43.918607654438205,44.71947732100371,44.71947732100371,44.71947732100371,44.71947732100371,44.71947732100371,45.457757561327554,45.457757561327554,45.457757561327554,45.457757561327554,45.457757561327554,45.457757561327554,45.457757561327554,46.196408685012926,46.196408685012926	0.9869363800527853	46.196408685012926	0	true	3
66	44	28	12	1512	2520	20160	0	0	39.61488307600094	39.61488307600094	39.61488307600094	39.61488307600094	27.82358694570263,31.463137724707934,34.45429055885563,35.56917667289707,35.56917667289707,36.269453271659685,36.269453271659685,36.269453271659685,38.592558613449384,38.592558613449384,39.61488307600094,39.61488307600094	0.986860053662424	39.61488307600094	0	true	4
67	45	28	4	504	840	6720	0	0	41.5613168089138	41.5613168089138	41.5613168089138	41.5613168089138	36.738203482605456,39.976623831766894,41.5613168089138,41.5613168089138	0.9866125412155198	41.5613168089138	0	true	2
68	46	29	60	7800	12600	100800	0	0	46.274740398486976	46.274740398486976	46.274740398486976	46.274740398486976	42.655797642326135,42.93571027232595,42.93571027232595,44.815285751166726,44.815285751166726,44.815285751166726,44.815285751166726,44.815285751166726,44.815285751166726,44.815285751166726,44.815285751166726,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.61542288065196,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,45.92244667672634,46.274740398486976,46.274740398486976	0.9863743502387029	46.274740398486976	0	true	49
69	46	27	8	976	1680	13440	0	0	46.91632818598838	46.91632818598838	46.91632818598838	46.91632818598838	45.691394024930034,45.47689712384819,45.47689712384819,45.47689712384819,45.47689712384819,45.47689712384819,46.91632818598838,46.91632818598838	0.9863937608293548	46.91632818598838	0	true	3
70	46	23	14	1484	2940	23520	0	0	40.880238152810456	40.880238152810456	40.880238152810456	40.880238152810456	30.515628809167254,31.215839236387183,34.533693291610305,34.533693291610305,39.879536868165616,39.879536868165616,39.879536868165616,39.879536868165616,39.879536868165616,39.879536868165616,39.879536868165616,39.879536868165616,40.880238152810456,40.880238152810456	0.9864148163853166	40.880238152810456	0	true	3
