# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: 5769880d-8088-4559-89ff-2c8e8cad3c6f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	4	296	840	6720	0	0	36.744872472804914	36.744872472804914	36.744872472804914	36.744872472804914	34.78172480491976,34.78172480491976,36.744872472804914,36.744872472804914	0.9960817657423182	36.744872472804914	0	true	61
26	15	15	1	74	210	1680	0	0	41.56756287418786	41.56756287418786	41.56756287418786	41.56756287418786	41.56756287418786	0.9960817657423182	41.56756287418786	0	true	12
27	15	15	5	370	1050	8400	0	0	43.061900119005344	43.061900119005344	43.061900119005344	43.061900119005344	43.04119533097648,43.04119533097648,43.04119533097648,43.061900119005344,43.061900119005344	0.9959128826372083	43.061900119005344	0	true	7
28	18	18	26	2236	5460	43680	0	0	43.473910263580706	43.473910263580706	43.473910263580706	43.473910263580706	41.002090533419505,41.002090533419505,41.002090533419505,41.002090533419505,41.002090533419505,41.002090533419505,41.002090533419505,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,41.81788298336548,42.64741244754673,42.64741244754673,43.473910263580706,43.473910263580706	0.9953460275915513	43.473910263580706	0	true	37
29	19	19	29	2610	6090	48720	0	0	45.050498656039494	45.050498656039494	45.050498656039494	45.050498656039494	43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,43.431552805467675,44.250588594068724,44.250588594068724,45.050498656039494,45.050498656039494	0.9950738772197893	45.050498656039494	0	true	13
30	20	19	12	1080	2520	20160	0	0	45.22193509437934	45.22193509437934	45.22193509437934	45.22193509437934	42.472161548184154,42.472161548184154,42.472161548184154,42.472161548184154,42.472161548184154,42.472161548184154,42.472161548184154,42.472161548184154,42.472161548184154,43.23629736038638,45.22193509437934,45.22193509437934	0.9947717884793941	45.22193509437934	0	true	7
31	21	20	5	470	1050	8400	0	0	46.862043214699824	46.862043214699824	46.862043214699824	46.862043214699824	46.84172732914352,46.84172732914352,46.84172732914352,46.862043214699824,46.862043214699824	0.9943462907860009	46.862043214699824	0	true	20
32	23	22	27	2754	5670	45360	0	0	46.147508283716604	46.147508283716604	46.147508283716604	46.147508283716604	42.98827117207734,42.98827117207734,42.98827117207734,42.98827117207734,42.98827117207734,43.77309301211488,43.77309301211488,43.77309301211488,43.77309301211488,44.56545405904705,44.56545405904705,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,45.36552037478971,46.147508283716604,46.147508283716604	0.993338219489549	46.147508283716604	0	true	7
33	23	22	13	1326	2730	21840	0	0	44.88164990595022	44.88164990595022	44.88164990595022	44.88164990595022	39.40851974062093,42.168878507460064,42.987244077258204,42.987244077258204,42.987244077258204,42.987244077258204,42.987244077258204,43.900165465095526,43.900165465095526,44.7495443427001,44.7495443427001,44.88164990595022,44.88164990595022	0.992808650324241	44.88164990595022	0	true	2
34	23	22	1	102	210	1680	0	0	46.51471367285887	46.51471367285887	46.51471367285887	46.51471367285887	46.51471367285887	0.992808650324241	46.51471367285887	0	true	2
35	24	23	16	1696	3360	26880	0	0	48.00761161963781	48.00761161963781	48.00761161963781	48.00761161963781	46.86760023084586,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,47.207968826604834,48.00761161963781,48.00761161963781	0.992453337817387	48.00761161963781	0	true	9
36	27	26	1	118	210	1680	0	0	48.73998785981423	48.73998785981423	48.73998785981423	48.73998785981423	48.73998785981423	0.9921177648942471	48.73998785981423	0	true	2
37	29	27	2	244	420	3360	0	0	48.255278883057045	48.255278883057045	48.255278883057045	48.255278883057045	48.255278883057045,48.255278883057045	0.9916777915061302	48.255278883057045	0	true	2
38	29	27	1	122	210	1680	0	0	49.04582527968222	49.04582527968222	49.04582527968222	49.04582527968222	49.04582527968222	0.9916777915061302	49.04582527968222	0	true	3
39	30	29	2	260	420	3360	0	0	48.292235878964455	48.292235878964455	48.292235878964455	48.292235878964455	48.292235878964455,48.292235878964455	0.9906988909278338	48.292235878964455	0	true	2
40	31	30	3	402	630	5040	0	0	48.64217808652066	48.64217808652066	48.64217808652066	48.64217808652066	47.8353261656445,48.64217808652066,48.64217808652066	0.9905027745081555	48.64217808652066	0	true	2
41	32	31	1	138	210	1680	0	0	49.26103893093289	49.26103893093289	49.26103893093289	49.26103893093289	49.26103893093289	0.9904244741594227	49.26103893093289	0	true	5
42	33	32	1	142	210	1680	0	0	49.250775320835444	49.250775320835444	49.250775320835444	49.250775320835444	49.250775320835444	0.9898484073080327	49.250775320835444	0	true	6
43	35	34	10	1500	2100	16800	0	0	48.936231671604055	48.936231671604055	48.936231671604055	48.936231671604055	48.13605699144288,48.13605699144288,48.13605699144288,48.13605699144288,48.13605699144288,48.13605699144288,48.13605699144288,48.13605699144288,48.936231671604055,48.936231671604055	0.9894254684495652	48.936231671604055	0	true	3
44	36	34	1	150	210	1680	0	0	48.69285522095723	48.69285522095723	48.69285522095723	48.69285522095723	48.69285522095723	0.9886770823433079	48.69285522095723	0	true	3
45	37	35	9	1386	1890	15120	0	0	49.04600371951083	49.04600371951083	49.04600371951083	49.04600371951083	47.046047758536375,47.046047758536375,47.046047758536375,47.046047758536375,48.746129652651824,48.746129652651824,48.746129652651824,49.04600371951083,49.04600371951083	0.98847138857005	49.04600371951083	0	true	4
46	37	35	48	7392	10080	80640	0	0	48.20238465386861	48.20238465386861	48.20238465386861	48.20238465386861	45.788646282285434,45.788646282285434,45.788646282285434,45.788646282285434,45.788646282285434,45.788646282285434,46.60121221181007,46.60121221181007,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,47.40195551100673,48.20238465386861,48.20238465386861	0.9881227655887878	48.20238465386861	0	true	17
47	38	36	1	158	210	1680	0	0	49.42584832589806	49.42584832589806	49.42584832589806	49.42584832589806	49.42584832589806	0.9879062515992718	49.42584832589806	0	true	1
48	39	36	6	948	1260	10080	0	0	48.52606008544837	48.52606008544837	48.52606008544837	48.52606008544837	46.8472239375614,46.8472239375614,46.8472239375614,46.8472239375614,48.52606008544837,48.52606008544837	0.9877725341970012	48.52606008544837	0	true	3
49	41	38	1	166	210	1680	0	0	49.458294673574834	49.458294673574834	49.458294673574834	49.458294673574834	49.458294673574834	0.9874096182949387	49.458294673574834	0	true	2
50	42	40	1	174	210	1680	0	0	49.45600910401606	49.45600910401606	49.45600910401606	49.45600910401606	49.45600910401606	0.9868069761151037	49.45600910401606	0	true	3
51	45	42	9	1638	1890	15120	0	0	47.96229122377224	47.96229122377224	47.96229122377224	47.96229122377224	45.962665696960165,45.962665696960165,45.962665696960165,45.962665696960165,45.962665696960165,45.962665696960165,45.962665696960165,47.96229122377224,47.96229122377224	0.9863765069709974	47.96229122377224	0	true	20
52	46	40	12	2088	2520	20160	0	0	47.25856310799846	47.25856310799846	47.25856310799846	47.25856310799846	40.013058196808316,39.96459170721863,43.56467538970682,43.25021584144624,43.27425157790414,43.27425157790414,45.265511605744194,45.265511605744194,45.265511605744194,45.265511605744194,47.25856310799846,47.25856310799846	0.9863747157865493	47.25856310799846	0	true	4
53	48	45	1	194	210	1680	0	0	49.408907867476685	49.408907867476685	49.408907867476685	49.408907867476685	49.408907867476685	0.9861647451034864	49.408907867476685	0	true	4
54	49	45	1	194	210	1680	0	0	48.87378566735998	48.87378566735998	48.87378566735998	48.87378566735998	48.87378566735998	0.9858747559968124	48.87378566735998	0	true	2
55	51	48	1	206	210	1680	0	0	49.475754549668046	49.475754549668046	49.475754549668046	49.475754549668046	49.475754549668046	0.985214832469422	49.475754549668046	0	true	2
