# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: 68b790f5-ce35-442a-9f6f-84273bb6c025
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	11	814	2310	18480	0	0	36.744254634759024	36.744254634759024	36.744254634759024	36.744254634759024	27.515956337576007,27.515956337576007,27.515956337576007,31.526053271972398,31.526053271972398,31.526053271972398,31.526053271972398,34.78209864995664,34.78209864995664,36.744254634759024,36.744254634759024	0.9960817657423182	36.744254634759024	0	true	153
26	15	15	16	1184	3360	26880	0	0	40.992647489567105	40.992647489567105	40.992647489567105	40.992647489567105	39.32070513445002,39.32070513445002,39.32070513445002,39.32070513445002,39.32070513445002,39.32070513445002,39.32070513445002,39.32070513445002,40.185147297387445,40.185147297387445,40.185147297387445,40.185147297387445,40.185147297387445,40.185147297387445,40.992647489567105,40.992647489567105	0.9958718681688247	40.992647489567105	0	true	35
27	16	16	5	390	1050	8400	0	0	40.875811690919306	40.875811690919306	40.875811690919306	40.875811690919306	39.25332855026701,40.06469102601829,40.06469102601829,40.875811690919306,40.875811690919306	0.9954479788859564	40.875811690919306	0	true	4
28	18	18	14	1204	2940	23520	0	0	43.45885888250343	43.45885888250343	43.45885888250343	43.45885888250343	40.7233161996429,40.7233161996429,40.7233161996429,40.7233161996429,41.66035309523658,41.66035309523658,41.66035309523658,42.41854660007852,42.41854660007852,43.239370124047745,43.239370124047745,43.239370124047745,43.45885888250343,43.45885888250343	0.9952459040363794	43.45885888250343	0	true	9
29	20	20	1	94	210	1680	0	0	45.39710203697701	45.39710203697701	45.39710203697701	45.39710203697701	45.39710203697701	0.9948494308420032	45.39710203697701	0	true	2
30	20	19	2	180	420	3360	0	0	45.20120613579248	45.20120613579248	45.20120613579248	45.20120613579248	45.20120613579248,45.20120613579248	0.9947717884793941	45.20120613579248	0	true	2
31	21	20	3	282	630	5040	0	0	40.90331285954376	40.90331285954376	40.90331285954376	40.90331285954376	38.76767432921745,40.90331285954376,40.90331285954376	0.9934359669837186	40.90331285954376	0	true	1
32	23	22	9	918	1890	15120	0	0	42.78275285516182	42.78275285516182	42.78275285516182	42.78275285516182	40.82642057361319,40.82642057361319,41.871389496885286,41.98245842179254,41.98245842179254,41.98245842179254,41.98245842179254,42.78275285516182,42.78275285516182	0.9929075675715195	42.78275285516182	0	true	4
33	24	23	18	1908	3780	30240	0	0	45.55301506120569	45.55301506120569	45.55301506120569	45.55301506120569	44.69806381266126,45.135190694864015,45.135190694864015,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.31890456392586,45.55301506120569,45.55301506120569	0.9927621526381588	45.55301506120569	0	true	27
34	24	23	1	106	210	1680	0	0	46.957876289342714	46.957876289342714	46.957876289342714	46.957876289342714	46.957876289342714	0.9927621526381588	46.957876289342714	0	true	20
35	26	25	2	228	420	3360	0	0	46.57519496375621	46.57519496375621	46.57519496375621	46.57519496375621	46.57519496375621,46.57519496375621	0.9923307696244361	46.57519496375621	0	true	3
36	27	25	5	570	1050	8400	0	0	46.896022164682705	46.896022164682705	46.896022164682705	46.896022164682705	45.23988120462052,45.29528694356594,45.29528694356594,46.896022164682705,46.896022164682705	0.9921875114233704	46.896022164682705	0	true	4
37	28	26	1	118	210	1680	0	0	48.263034162392024	48.263034162392024	48.263034162392024	48.263034162392024	48.263034162392024	0.9917935605091351	48.263034162392024	0	true	13
38	30	30	9	1206	1890	15120	0	0	48.48823712289769	48.48823712289769	48.48823712289769	48.48823712289769	48.35352708217969,48.35352708217969,48.35352708217969,48.35352708217969,48.35352708217969,48.35352708217969,48.35352708217969,48.48823712289769,48.48823712289769	0.9909117494388843	48.48823712289769	0	true	4
39	31	30	13	1742	2730	21840	0	0	47.3378971513047	47.3378971513047	47.3378971513047	47.3378971513047	40.78273189001801,41.58273541359593,41.58273541359593,41.58273541359593,41.58273541359593,45.63807311422927,45.63807311422927,45.63807311422927,45.63807311422927,45.63807311422927,45.63807311422927,47.3378971513047,47.3378971513047	0.9904615772658484	47.3378971513047	0	true	4
40	32	31	1	138	210	1680	0	0	48.91384821455305	48.91384821455305	48.91384821455305	48.91384821455305	48.91384821455305	0.9904379628749609	48.91384821455305	0	true	2
41	34	34	30	4500	6300	50400	0	0	48.64545568176582	48.64545568176582	48.64545568176582	48.64545568176582	47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,47.84540527488496,48.64545568176582,48.64545568176582	0.990046863233929	48.64545568176582	0	true	17
42	36	35	7	1078	1470	11760	0	0	47.55868122768028	47.55868122768028	47.55868122768028	47.55868122768028	45.85927897946188,45.85927897946188,45.85927897946188,45.85927897946188,45.85927897946188,47.55868122768028,47.55868122768028	0.9895772073606716	47.55868122768028	0	true	7
43	36	35	9	1386	1890	15120	0	0	48.56003351942383	48.56003351942383	48.56003351942383	48.56003351942383	46.56070518567015,46.56070518567015,46.56070518567015,46.56070518567015,46.56070518567015,46.56070518567015,46.56070518567015,48.56003351942383,48.56003351942383	0.9893067750637881	48.56003351942383	0	true	4
44	36	33	8	1168	1680	13440	0	0	47.759971477557755	47.759971477557755	47.759971477557755	47.759971477557755	46.06005237005771,46.06005237005771,46.06005237005771,46.06005237005771,46.06005237005771,46.06005237005771,47.759971477557755,47.759971477557755	0.9893577689883829	47.759971477557755	0	true	7
45	37	35	39	6006	8190	65520	0	0	47.53844821632105	47.53844821632105	47.53844821632105	47.53844821632105	41.46097726294296,41.46097726294296,41.46097726294296,41.46097726294296,44.738869329404835,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,46.738428892284446,47.53844821632105,47.53844821632105	0.9889861530475725	47.53844821632105	0	true	8
46	40	36	12	1896	2520	20160	0	0	46.333240137489035	46.333240137489035	46.333240137489035	46.333240137489035	43.167193598601884,44.75230191876017,44.75230191876017,44.75230191876017,44.75230191876017,44.75230191876017,45.572680285520306,45.572680285520306,45.572680285520306,45.572680285520306,46.333240137489035,46.333240137489035	0.9875698379160851	46.333240137489035	0	true	4
47	43	38	14	2324	2940	23520	0	0	46.93926797033343	46.93926797033343	46.93926797033343	46.93926797033343	40.09225017344205,43.35467855856909,45.33814876903144,45.33814876903144,46.13867552168571,46.13867552168571,46.13867552168571,46.13867552168571,46.13867552168571,46.13867552168571,46.13867552168571,46.13867552168571,46.93926797033343,46.93926797033343	0.9871518339535461	46.93926797033343	0	true	12
48	45	41	1	178	210	1680	0	0	48.83802415290508	48.83802415290508	48.83802415290508	48.83802415290508	48.83802415290508	0.9869652583326634	48.83802415290508	0	true	2
49	47	41	1	178	210	1680	0	0	48.5325211564154	48.5325211564154	48.5325211564154	48.5325211564154	48.5325211564154	0.9866057054707892	48.5325211564154	0	true	3
50	50	46	14	2772	2940	23520	0	0	48.87681401500442	48.87681401500442	48.87681401500442	48.87681401500442	47.276490400159595,47.276490400159595,47.276490400159595,47.276490400159595,48.07635850749506,48.07635850749506,48.07635850749506,48.07635850749506,48.07635850749506,48.07635850749506,48.07635850749506,48.07635850749506,48.87681401500442,48.87681401500442	0.9861723119439104	48.87681401500442	0	true	16
51	52	50	1	214	210	1680	0	0	49.49180225775557	49.49180225775557	49.49180225775557	49.49180225775557	49.49180225775557	0.9858806778719265	49.49180225775557	0	true	3
52	54	53	10	2260	2100	16800	0	0	48.89265026732136	48.89265026732136	48.89265026732136	48.89265026732136	47.29116328859215,47.29116328859215,48.091992100247666,48.091992100247666,48.091992100247666,48.091992100247666,48.091992100247666,48.091992100247666,48.89265026732136,48.89265026732136	0.9854356964783119	48.89265026732136	0	true	5
53	57	57	1	242	210	1680	0	0	49.493250529908536	49.493250529908536	49.493250529908536	49.493250529908536	49.493250529908536	0.9848642355297883	49.493250529908536	0	true	3
54	58	57	21	5082	4410	35280	0	0	47.092960619767915	47.092960619767915	47.092960619767915	47.092960619767915	45.4918104677927,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,46.292200672344805,47.092960619767915,47.092960619767915	0.9848537443065921	47.092960619767915	0	true	7
55	59	56	3	714	630	5040	0	0	47.99245316938143	47.99245316938143	47.99245316938143	47.99245316938143	47.1916648449388,47.99245316938143,47.99245316938143	0.9842789934274495	47.99245316938143	0	true	3
56	65	62	1	262	210	1680	0	0	48.8918634589934	48.8918634589934	48.8918634589934	48.8918634589934	48.8918634589934	0.9836200934340297	48.8918634589934	0	true	4
57	67	64	1	270	210	1680	0	0	49.49465665510924	49.49465665510924	49.49465665510924	49.49465665510924	49.49465665510924	0.9831521190808665	49.49465665510924	0	true	3
58	69	68	1	286	210	1680	0	0	49.49188773569486	49.49188773569486	49.49188773569486	49.49188773569486	49.49188773569486	0.982453008824325	49.49188773569486	0	true	4
