# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 3
# run: 87209ffa-c06b-4f3a-b6ae-8d4f9c338474
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	20	1480	4200	33600	0	0	36.78494543973252	36.78494543973252	36.78494543973252	36.78494543973252	27.51415237238684,34.796260159778484,34.796260159778484,34.796260159778484,34.796260159778484,34.796260159778484,34.796260159778484,34.796260159778484,36.766296446113415,36.766296446113415,36.766296446113415,36.766296446113415,36.766296446113415,34.80795417053402,34.80795417053402,36.7630724770282,36.7630724770282,36.7630724770282,36.78494543973252,36.78494543973252	0.9966306358339244	36.78494543973252	0	true	198
26	15	15	1	74	210	1680	0	0	41.588574342886716	41.588574342886716	41.588574342886716	41.588574342886716	41.588574342886716	0.9964291824156865	41.588574342886716	0	true	2
27	15	15	1	74	210	1680	0	0	42.97910703017534	42.97910703017534	42.97910703017534	42.97910703017534	42.97910703017534	0.9960817657423182	42.97910703017534	0	true	5
28	15	15	20	1480	4200	33600	0	0	44.19221434504539	44.19221434504539	44.19221434504539	44.19221434504539	44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.16680304514063,44.19221434504539,44.19221434504539	0.9960817657423182	44.19221434504539	0	true	57
29	15	15	1	74	210	1680	0	0	45.238492096490276	45.238492096490276	45.238492096490276	45.238492096490276	45.238492096490276	0.9960817657423182	45.238492096490276	0	true	3
30	15	14	8	560	1680	13440	0	0	44.575863329638935	44.575863329638935	44.575863329638935	44.575863329638935	39.95598463704785,39.95598463704785,39.95598463704785,39.95598463704785,43.21936031919833,43.21936031919833,44.575863329638935,44.575863329638935	0.9959217654498799	44.575863329638935	0	true	3
31	15	14	19	1330	3990	31920	0	0	45.3087107795889	45.3087107795889	45.3087107795889	45.3087107795889	44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,44.48716243157299,45.3087107795889,45.3087107795889	0.9957118678763863	45.3087107795889	0	true	5
32	16	16	7	546	1470	11760	0	0	46.40451163071493	46.40451163071493	46.40451163071493	46.40451163071493	45.984081133069374,45.984081133069374,45.984081133069374,45.984081133069374,45.984081133069374,46.40451163071493,46.40451163071493	0.9955252557007185	46.40451163071493	0	true	5
33	17	17	16	1312	3360	26880	0	0	45.949777727635144	45.949777727635144	45.949777727635144	45.949777727635144	42.68560483744433,42.68560483744433,43.54939050769355,43.54939050769355,44.34937257817827,44.34937257817827,44.34937257817827,44.34937257817827,44.34937257817827,44.34937257817827,44.34937257817827,44.34937257817827,45.14929658847994,45.14929658847994,45.949777727635144,45.949777727635144	0.9952859315255773	45.949777727635144	0	true	2
34	17	16	3	234	630	5040	0	0	46.45258868166687	46.45258868166687	46.45258868166687	46.45258868166687	45.04402792049824,46.45258868166687,46.45258868166687	0.9953227787485104	46.45258868166687	0	true	3
35	17	15	12	888	2520	20160	0	0	44.87347076969755	44.87347076969755	44.87347076969755	44.87347076969755	42.88947045592791,42.88947045592791,43.78857870781155,43.78857870781155,43.78857870781155,43.78857870781155,43.78857870781155,43.78857870781155,43.78857870781155,43.78857870781155,44.87347076969755,44.87347076969755	0.9950505918219634	44.87347076969755	0	true	21
36	17	16	12	936	2520	20160	0	0	42.59407529653631	42.59407529653631	42.59407529653631	42.59407529653631	41.65655545435513,41.729976202065096,41.393819559555396,41.393819559555396,41.393819559555396,41.393819559555396,41.393819559555396,41.393819559555396,41.393819559555396,41.393819559555396,42.59407529653631,42.59407529653631	0.994455443372983	42.59407529653631	0	true	5
37	17	17	21	1722	4410	35280	0	0	40.54603499128445	40.54603499128445	40.54603499128445	40.54603499128445	37.52280763603486,39.40364430821348,36.154175303198954,36.154175303198954,36.154175303198954,36.154175303198954,36.35594044869629,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,38.62863680896041,40.54603499128445,40.54603499128445	0.9941725093397475	40.54603499128445	0	true	7
38	17	17	9	738	1890	15120	0	0	39.05726685874403	39.05726685874403	39.05726685874403	39.05726685874403	38.283496167881935,38.283496167881935,38.283496167881935,38.283496167881935,38.283496167881935,38.283496167881935,38.283496167881935,39.05726685874403,39.05726685874403	0.9939360729925938	39.05726685874403	0	true	6
39	17	17	1	82	210	1680	0	0	37.506477065101585	37.506477065101585	37.506477065101585	37.506477065101585	37.506477065101585	0.9937515078848669	37.506477065101585	0	true	2
40	18	17	15	1230	3150	25200	0	0	36.62234837400019	36.62234837400019	36.62234837400019	36.62234837400019	35.654256868514224,35.654256868514224,35.654256868514224,35.654256868514224,32.22351005897323,32.22351005897323,33.1048932159656,33.1048932159656,35.38312884144701,35.38312884144701,35.38312884144701,35.38312884144701,35.38312884144701,36.62234837400019,36.62234837400019	0.9933058319503439	36.62234837400019	0	true	5
41	20	20	5	470	1050	8400	0	0	41.03067968622282	41.03067968622282	41.03067968622282	41.03067968622282	38.71115433821696,38.71115433821696,38.71115433821696,41.03067968622282,41.03067968622282	0.9929261374021245	41.03067968622282	0	true	2
42	20	18	14	1204	2940	23520	0	0	39.29768430913652	39.29768430913652	39.29768430913652	39.29768430913652	37.35243307598874,37.35243307598874,38.35260389936028,38.35260389936028,38.35260389936028,38.35260389936028,38.35260389936028,38.35260389936028,38.35260389936028,38.35260389936028,38.35260389936028,38.35260389936028,39.29768430913652,39.29768430913652	0.9929733296291152	39.29768430913652	0	true	4
43	21	20	3	282	630	5040	0	0	41.941089662179444	41.941089662179444	41.941089662179444	41.941089662179444	40.3419025160736,41.941089662179444,41.941089662179444	0.992776153120682	41.941089662179444	0	true	2
44	21	18	12	1032	2520	20160	0	0	37.24444478964432	37.24444478964432	37.24444478964432	37.24444478964432	33.23676804603293,33.23676804603293,34.04401627143296,34.04401627143296,34.04401627143296,35.44496796563623,35.44496796563623,35.44496796563623,36.344728101276665,36.344728101276665,37.24444478964432,37.24444478964432	0.9924920127795528	37.24444478964432	0	true	8
45	21	18	11	946	2310	18480	0	0	36.02949608424752	36.02949608424752	36.02949608424752	36.02949608424752	33.34292542466822,33.34292542466822,33.34292542466822,33.34292542466822,33.34292542466822,33.34292542466822,35.321518412850985,35.321518412850985,35.321518412850985,36.02949608424752,36.02949608424752	0.9924903678142433	36.02949608424752	0	true	3
46	21	18	28	2408	5880	47040	0	0	37.74000864005141	37.74000864005141	37.74000864005141	37.74000864005141	33.324400311458575,33.37377942857105,33.37377942857105,33.37377942857105,37.273910780565515,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.43951890582497,37.74000864005141,37.74000864005141	0.9922034858642649	37.74000864005141	0	true	8
47	21	18	1	86	210	1680	0	0	39.21408919545239	39.21408919545239	39.21408919545239	39.21408919545239	39.21408919545239	0.9922034858642649	39.21408919545239	0	true	8
