# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 23
# run: 934951e8-e8cb-4e7c-8c1c-23ba985457c5
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	9	666	1890	15120	0	0	36.739440501543	36.739440501543	36.739440501543	36.739440501543	27.507266761809788,31.51714080143986,31.51714080143986,31.51714080143986,31.51714080143986,31.51714080143986,34.77526064001676,36.739440501543,36.739440501543	0.9964291824156865	36.739440501543	0	true	137
26	15	15	1	74	210	1680	0	0	41.367487549609315	41.367487549609315	41.367487549609315	41.367487549609315	41.367487549609315	0.9960817657423182	41.367487549609315	0	true	15
27	15	15	1	74	210	1680	0	0	42.68907375265005	42.68907375265005	42.68907375265005	42.68907375265005	42.68907375265005	0.9960817657423182	42.68907375265005	0	true	27
28	15	15	24	1776	5040	40320	0	0	43.849106364456325	43.849106364456325	43.849106364456325	43.849106364456325	43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.80993031443004,43.849106364456325,43.849106364456325	0.9960817657423182	43.849106364456325	0	true	37
29	15	15	16	1184	3360	26880	0	0	43.05690980276307	43.05690980276307	43.05690980276307	43.05690980276307	40.65808894172101,40.65808894172101,40.65808894172101,40.65808894172101,40.65808894172101,41.43952761046085,41.43952761046085,42.23969682014256,42.23969682014256,42.23969682014256,42.23969682014256,42.23969682014256,42.23969682014256,42.23969682014256,43.05690980276307,43.05690980276307	0.9956704147505866	43.05690980276307	0	true	8
30	17	17	13	1066	2730	21840	0	0	44.09530931128217	44.09530931128217	44.09530931128217	44.09530931128217	42.29020142415691,43.890613172942615,43.890613172942615,43.890613172942615,43.890613172942615,43.890613172942615,43.890613172942615,43.890613172942615,43.890613172942615,43.890613172942615,43.890613172942615,44.09530931128217,44.09530931128217	0.9952702495229601	44.09530931128217	0	true	2
31	17	16	23	1794	4830	38640	0	0	42.193915047094904	42.193915047094904	42.193915047094904	42.193915047094904	38.55317277498331,40.456449499913475,40.456449499913475,40.456449499913475,40.456449499913475,40.456449499913475,40.456449499913475,40.456449499913475,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,41.28774328177043,42.193915047094904,42.193915047094904	0.9952902084353822	42.193915047094904	0	true	28
32	18	17	3	246	630	5040	0	0	45.12171297586238	45.12171297586238	45.12171297586238	45.12171297586238	44.59767972225835,45.12171297586238,45.12171297586238	0.9952827512593122	45.12171297586238	0	true	3
33	20	20	24	2256	5040	40320	0	0	44.38017541848156	44.38017541848156	44.38017541848156	44.38017541848156	39.70268214146884,39.730353243395456,41.32966476548462,41.32966476548462,41.32966476548462,41.32966476548462,42.11412251592006,42.11412251592006,43.47126668665242,43.47126668665242,43.47126668665242,43.571064979390286,43.571064979390286,43.571064979390286,43.571064979390286,43.571064979390286,43.62939976850984,43.62939976850984,43.62939976850984,43.62939976850984,43.62939976850984,42.9717275433394,44.38017541848156,44.38017541848156	0.9941907867320754	44.38017541848156	0	true	16
34	21	21	32	3136	6720	53760	0	0	44.135784415800565	44.135784415800565	44.135784415800565	44.135784415800565	43.075148546900735,43.075148546900735,43.835921001252075,43.835921001252075,43.835921001252075,43.835921001252075,43.835921001252075,43.835921001252075,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,43.93668217377047,44.135784415800565,44.135784415800565	0.9935160219621147	44.135784415800565	0	true	6
