# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: b4e367e3-1b6b-4cce-9708-84a01257356b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	13	13	5	330	1050	8400	0	0	36.62014172215213	36.62014172215213	36.62014172215213	36.62014172215213	31.38021216223844,34.64219994373401,34.64219994373401,36.62014172215213,36.62014172215213	0.9974818871042032	36.62014172215213	0	true	57
26	15	15	29	2146	6090	48720	0	0	40.23002372145626	40.23002372145626	40.23002372145626	40.23002372145626	36.84835750649578,36.84835750649578,36.84835750649578,36.84835750649578,36.84835750649578,37.681072516878075,37.681072516878075,37.681072516878075,37.681072516878075,37.681072516878075,38.53816582317056,38.53816582317056,38.53816582317056,38.53816582317056,38.53816582317056,38.53816582317056,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,39.369314937331694,40.23002372145626,40.23002372145626	0.9966306358339244	40.23002372145626	0	true	73
27	15	15	1	74	210	1680	0	0	42.764596126769156	42.764596126769156	42.764596126769156	42.764596126769156	42.764596126769156	0.9964291824156865	42.764596126769156	0	true	2
28	15	15	23	1702	4830	38640	0	0	44.02693835287075	44.02693835287075	44.02693835287075	44.02693835287075	43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,43.96392436349065,44.02693835287075,44.02693835287075	0.9960817657423182	44.02693835287075	0	true	44
29	15	15	1	74	210	1680	0	0	45.2717782642829	45.2717782642829	45.2717782642829	45.2717782642829	45.2717782642829	0.9960817657423182	45.2717782642829	0	true	2
30	15	15	1	74	210	1680	0	0	45.94945197308858	45.94945197308858	45.94945197308858	45.94945197308858	45.94945197308858	0.9960817657423182	45.94945197308858	0	true	1
31	15	14	4	280	840	6720	0	0	44.75414819399783	44.75414819399783	44.75414819399783	44.75414819399783	43.67937837258618,43.67937837258618,44.75414819399783,44.75414819399783	0.9960906485549893	44.75414819399783	0	true	3
32	15	14	1	70	210	1680	0	0	45.76557244957912	45.76557244957912	45.76557244957912	45.76557244957912	45.76557244957912	0.9959217654498799	45.76557244957912	0	true	4
33	15	14	25	1750	5250	42000	0	0	45.698003305346965	45.698003305346965	45.698003305346965	45.698003305346965	44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,44.92039540179236,45.698003305346965,45.698003305346965	0.9957118678763863	45.698003305346965	0	true	19
34	16	16	39	3042	8190	65520	0	0	46.01185567231741	46.01185567231741	46.01185567231741	46.01185567231741	44.72692843850329,44.72692843850329,44.72692843850329,44.72692843850329,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.00614417986775,45.80613158621444,45.80613158621444,45.80613158621444,45.80613158621444,45.80613158621444,45.80613158621444,45.80613158621444,45.80613158621444,46.01185567231741,46.01185567231741	0.9954420204560575	46.01185567231741	0	true	27
35	16	15	7	518	1470	11760	0	0	45.48384646621206	45.48384646621206	45.48384646621206	45.48384646621206	41.47792688938452,41.47792688938452,41.47792688938452,43.62322915096514,43.62322915096514,45.48384646621206,45.48384646621206	0.9954509032687288	45.48384646621206	0	true	4
36	17	17	8	656	1680	13440	0	0	46.805603232536846	46.805603232536846	46.805603232536846	46.805603232536846	45.47127319846647,45.47127319846647,45.47127319846647,45.47127319846647,45.6505005933041,45.74048975196711,46.805603232536846,46.805603232536846	0.9952859315255773	46.805603232536846	0	true	3
37	17	17	1	82	210	1680	0	0	48.574875692298086	48.574875692298086	48.574875692298086	48.574875692298086	48.574875692298086	0.9948516606838671	48.574875692298086	0	true	1
38	17	17	4	328	840	6720	0	0	41.98744293299985	41.98744293299985	41.98744293299985	41.98744293299985	39.148620933541245,39.8843499134829,41.98744293299985,41.98744293299985	0.9941725093397475	41.98744293299985	0	true	2
39	17	16	6	468	1260	10080	0	0	39.87128274359014	39.87128274359014	39.87128274359014	39.87128274359014	38.17156900498479,38.17156900498479,39.17149793743023,39.17149793743023,39.87128274359014,39.87128274359014	0.9942093565626804	39.87128274359014	0	true	1
40	18	16	11	858	2310	18480	0	0	35.18705814618973	36.19871314914887	35.18705814618973	36.445255442753925	34.696736770556114,34.696736770556114,34.78283092896112,36.19871314914887,34.855833856854225,34.855833856854225,33.98695339712669,33.98695339712669,33.98695339712669,35.18705814618973,35.18705814618973	0.9938161732989232	36.19871314914887	1	true	6
41	18	17	4	328	840	6720	0	0	39.15354243112091	39.15354243112091	39.15354243112091	39.15354243112091	38.93919988392773,38.93919988392773,39.15354243112091,39.15354243112091	0.9937083732389734	39.15354243112091	0	true	2
42	19	16	7	546	1470	11760	0	0	35.859058152127076	35.859058152127076	35.859058152127076	35.859058152127076	27.993216831832235,28.982613543793192,32.369200965636665,34.653339863251766,35.18777365422106,35.859058152127076,35.859058152127076	0.9933248769931496	35.859058152127076	0	true	6
43	19	16	1	78	210	1680	0	0	38.067347016020115	38.067347016020115	38.067347016020115	38.067347016020115	38.067347016020115	0.9933248769931496	38.067347016020115	0	true	2
44	20	17	8	656	1680	13440	0	0	41.51550952270898	41.51550952270898	41.51550952270898	41.51550952270898	38.24916286245811,38.694279142447684,40.716019994512706,40.716019994512706,40.716019994512706,40.716019994512706,41.51550952270898,41.51550952270898	0.9931792792858659	41.51550952270898	0	true	4
45	20	14	27	1890	5670	45360	0	0	35.17212036218032	35.17212036218032	35.17212036218032	35.17212036218032	32.98125798809933,33.6654035426575,33.6654035426575,33.6654035426575,33.6654035426575,33.6654035426575,33.6654035426575,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17200160265892,35.17212036218032,35.17212036218032	0.993269533049181	35.17212036218032	0	true	16
