# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: c7b052c7-c041-4fe8-ae82-20c5cc5f3e74
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	6	444	1260	10080	0	0	36.7688102027526	36.7688102027526	36.7688102027526	36.7688102027526	27.509068639580555,31.5210273787395,31.5210273787395,34.77652481842274,36.7688102027526,36.7688102027526	0.9960817657423182	36.7688102027526	0	true	85
26	15	15	1	74	210	1680	0	0	41.50781729198336	41.50781729198336	41.50781729198336	41.50781729198336	41.50781729198336	0.9960817657423182	41.50781729198336	0	true	15
27	15	15	1	74	210	1680	0	0	42.814504338211336	42.814504338211336	42.814504338211336	42.814504338211336	42.814504338211336	0.9960817657423182	42.814504338211336	0	true	5
28	15	15	9	666	1890	15120	0	0	44.07488848842875	44.07488848842875	44.07488848842875	44.07488848842875	44.01641761823857,44.01641761823857,44.01641761823857,44.01641761823857,44.01641761823857,44.01641761823857,44.01641761823857,44.07488848842875,44.07488848842875	0.9959128826372083	44.07488848842875	0	true	6
29	16	16	19	1482	3990	31920	0	0	44.74991175638165	44.74991175638165	44.74991175638165	44.74991175638165	43.13722758496131,43.13722758496131,43.13722758496131,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,43.940184642223606,44.74991175638165,44.74991175638165	0.9955637844437458	44.74991175638165	0	true	35
30	17	17	18	1476	3780	30240	0	0	43.95723935887001	43.95723935887001	43.95723935887001	43.95723935887001	42.28248597667602,42.28248597667602,42.28248597667602,42.28248597667602,42.28248597667602,43.08265955919293,43.08265955919293,43.88192546562144,43.88192546562144,43.88192546562144,43.88192546562144,43.88192546562144,43.88192546562144,43.88192546562144,43.88192546562144,43.88192546562144,43.95723935887001,43.95723935887001	0.9952702495229601	43.95723935887001	0	true	8
31	17	17	26	2132	5460	43680	0	0	44.832577695777516	44.832577695777516	44.832577695777516	44.832577695777516	43.23045211775171,43.23045211775171,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.036459984725255,44.832577695777516,44.832577695777516	0.9952533612124491	44.832577695777516	0	true	27
32	20	19	10	900	2100	16800	0	0	45.15271460641971	45.15271460641971	45.15271460641971	45.15271460641971	39.67273232400551,39.67273232400551,44.34693712938831,44.34693712938831,45.00189772938154,45.00189772938154,45.00189772938154,45.00189772938154,45.15271460641971,45.15271460641971	0.9946534606414632	45.15271460641971	0	true	5
33	20	20	1	94	210	1680	0	0	47.298874374198384	47.298874374198384	47.298874374198384	47.298874374198384	47.298874374198384	0.994359669837185	47.298874374198384	0	true	2
34	22	22	37	3774	7770	62160	0	0	45.97763769896447	45.97763769896447	45.97763769896447	45.97763769896447	41.874325135410785,42.674160585557175,42.674160585557175,43.47479863314119,44.37821944169475,44.37821944169475,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.178409612852164,45.97763769896447,45.97763769896447	0.9934070887038404	45.97763769896447	0	true	13
35	23	21	12	1176	2520	20160	0	0	41.72057568127676	41.72057568127676	41.72057568127676	41.72057568127676	36.49766557820968,37.257141936134474,37.257141936134474,41.02018505542283,41.02018505542283,41.02018505542283,41.02018505542283,41.02018505542283,41.02018505542283,41.02018505542283,41.72057568127676,41.72057568127676	0.9928635921655787	41.72057568127676	0	true	7
36	23	22	40	4080	8400	67200	0	0	45.74954205701084	45.74954205701084	45.74954205701084	45.74954205701084	44.77501865200102,44.77501865200102,44.77501865200102,44.77501865200102,44.77501865200102,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,44.9494426754631,45.74954205701084,45.74954205701084	0.992808650324241	45.74954205701084	0	true	15
37	23	21	4	392	840	6720	0	0	43.386501197621016	43.386501197621016	43.386501197621016	43.386501197621016	42.68286864356119,42.68286864356119,43.386501197621016,43.386501197621016	0.9926175053552762	43.386501197621016	0	true	4
38	24	21	12	1176	2520	20160	0	0	43.487453512143574	43.487453512143574	43.487453512143574	43.487453512143574	40.09545350084459,40.88648691801403,40.88648691801403,40.88648691801403,40.88648691801403,40.88648691801403,42.27848692931301,42.50712205136823,42.50712205136823,42.50712205136823,43.487453512143574,43.487453512143574	0.9925089376448483	43.487453512143574	0	true	2
39	26	23	4	424	840	6720	0	0	45.17843078074246	45.17843078074246	45.17843078074246	45.17843078074246	44.24865511519469,44.24865511519469,45.17843078074246,45.17843078074246	0.9922250166324272	45.17843078074246	0	true	3
40	26	24	26	2860	5460	43680	0	0	46.35035169642213	46.35035169642213	46.35035169642213	46.35035169642213	43.79359558956626,43.14810515870581,45.128084862208645,45.128084862208645,43.86814678467274,43.86814678467274,43.86814678467274,43.86814678467274,45.600620431433015,45.600620431433015,45.600620431433015,45.600620431433015,45.600620431433015,45.600620431433015,45.600620431433015,45.600620431433015,45.600620431433015,46.08282534318241,46.08282534318241,46.08282534318241,46.08282534318241,46.08282534318241,46.08282534318241,46.08282534318241,46.35035169642213,46.35035169642213	0.9921579020477991	46.35035169642213	0	true	5
41	26	23	5	530	1050	8400	0	0	45.62814658383401	45.62814658383401	45.62814658383401	45.62814658383401	42.34160568719656,42.34160568719656,42.34160568719656,45.62814658383401,45.62814658383401	0.9917823016354613	45.62814658383401	0	true	3
42	26	24	17	1870	3570	28560	0	0	46.899320581950455	46.899320581950455	46.899320581950455	46.899320581950455	45.65242604653565,45.65242604653565,45.65242604653565,45.65242604653565,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.401449721348015,46.899320581950455,46.899320581950455	0.9914631783654163	46.899320581950455	0	true	7
43	30	28	4	504	840	6720	0	0	48.746774901381144	48.746774901381144	48.746774901381144	48.746774901381144	48.664443633585094,48.664443633585094,48.746774901381144,48.746774901381144	0.990877790043939	48.746774901381144	0	true	2
44	30	28	24	3024	5040	40320	0	0	48.62136737567638	48.62136737567638	48.62136737567638	48.62136737567638	47.01123213298417,47.01123213298417,47.01123213298417,47.01123213298417,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,47.811410573818904,48.62136737567638,48.62136737567638	0.9907052880151486	48.62136737567638	0	true	13
45	32	29	4	520	840	6720	0	0	48.406986377423664	48.406986377423664	48.406986377423664	48.406986377423664	46.70707425394156,46.70707425394156,48.406986377423664,48.406986377423664	0.9898553527171173	48.406986377423664	0	true	3
46	32	31	1	138	210	1680	0	0	49.337514444635985	49.337514444635985	49.337514444635985	49.337514444635985	49.337514444635985	0.989799752889656	49.337514444635985	0	true	1
47	33	30	39	5226	8190	65520	0	0	47.275307332593215	47.275307332593215	47.275307332593215	47.275307332593215	40.671395796379386,40.671395796379386,41.471925500730634,41.471925500730634,41.471925500730634,41.471925500730634,41.471925500730634,44.749570607446834,44.749570607446834,44.749570607446834,44.749570607446834,44.749570607446834,44.749570607446834,44.749570607446834,44.749570607446834,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,46.449969258803016,47.275307332593215,47.275307332593215	0.9895779750111494	47.275307332593215	0	true	14
48	35	30	9	1206	1890	15120	0	0	48.21523152846752	48.21523152846752	48.21523152846752	48.21523152846752	46.515819909124296,46.515819909124296,46.215739086872695,46.215739086872695,46.515819909124296,46.515819909124296,46.515819909124296,48.21523152846752,48.21523152846752	0.9893575496596752	48.21523152846752	0	true	4
49	35	29	7	910	1470	11760	0	0	47.60645364059992	47.60645364059992	47.60645364059992	47.60645364059992	40.97084707213919,44.22854983967989,45.90657653765508,45.90657653765508,45.90657653765508,47.60645364059992,47.60645364059992	0.9893966998340415	47.60645364059992	0	true	3
50	36	31	10	1380	2100	16800	0	0	48.23296983943158	48.23296983943158	48.23296983943158	48.23296983943158	44.91526850121274,44.91526850121274,47.416127357026824,47.416127357026824,47.416127357026824,47.416127357026824,47.416127357026824,47.416127357026824,48.23296983943158,48.23296983943158	0.9885313018621008	48.23296983943158	0	true	4
