# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 11
# run: dc9d7fa4-977c-49a6-84e4-4a7c24ccd48b
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	4	296	840	6720	0	0	36.77026358521275	36.77026358521275	36.77026358521275	36.77026358521275	31.53626515279083,31.53626515279083,36.77026358521275,36.77026358521275	0.9960817657423182	36.77026358521275	0	true	67
26	15	15	1	74	210	1680	0	0	41.576526956743045	41.576526956743045	41.576526956743045	41.576526956743045	41.576526956743045	0.9960817657423182	41.576526956743045	0	true	25
27	15	15	1	74	210	1680	0	0	43.020566154409096	43.020566154409096	43.020566154409096	43.020566154409096	43.020566154409096	0.9960817657423182	43.020566154409096	0	true	14
28	15	15	9	666	1890	15120	0	0	43.77760946820593	43.77760946820593	43.77760946820593	43.77760946820593	42.05643084408066,42.05643084408066,42.92733239205247,42.92733239205247,42.92733239205247,42.92733239205247,42.96132874556671,43.77760946820593,43.77760946820593	0.9958718681688247	43.77760946820593	0	true	8
29	16	16	8	624	1680	13440	0	0	44.75995728996976	44.75995728996976	44.75995728996976	44.75995728996976	43.167061486261105,43.167061486261105,43.167061486261105,43.167061486261105,43.96293561523785,43.96293561523785,44.75995728996976,44.75995728996976	0.9955312141306174	44.75995728996976	0	true	5
30	17	17	60	4920	12600	100800	0	0	44.21381429110676	44.21381429110676	44.21381429110676	44.21381429110676	41.532731272739085,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,41.13222685876815,42.5237397819177,42.5237397819177,42.5237397819177,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,43.424252816891084,44.21381429110676,44.21381429110676	0.9952533612124491	44.21381429110676	0	true	99
31	19	19	13	1170	2730	21840	0	0	46.08018394498959	46.08018394498959	46.08018394498959	46.08018394498959	45.66979673775238,45.66979673775238,45.66979673775238,45.66979673775238,45.66979673775238,45.66979673775238,45.91797783953102,45.91797783953102,45.91797783953102,45.91797783953102,45.91797783953102,46.08018394498959,46.08018394498959	0.9950569889092784	46.08018394498959	0	true	10
32	20	20	1	94	210	1680	0	0	47.08153702179125	47.08153702179125	47.08153702179125	47.08153702179125	47.08153702179125	0.9947698145210228	47.08153702179125	0	true	3
33	20	20	37	3478	7770	62160	0	0	42.28081553936637	42.28081553936637	42.28081553936637	42.28081553936637	39.728829230899265,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,41.880361216869886,42.084674825371,42.084674825371,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.19617828342168,42.28081553936637,42.28081553936637	0.9937914988192805	42.28081553936637	0	true	7
34	21	21	9	882	1890	15120	0	0	44.26387681499699	44.26387681499699	44.26387681499699	44.26387681499699	42.171496619532235,42.171496619532235,42.61584128677798,43.132825278970984,43.46365446710004,43.46365446710004,43.46365446710004,44.26387681499699,44.26387681499699	0.9933785028622396	44.26387681499699	0	true	8
35	21	21	1	98	210	1680	0	0	43.84393794871163	43.84393794871163	43.84393794871163	43.84393794871163	43.84393794871163	0.9930950205072342	43.84393794871163	0	true	3
36	23	23	9	954	1890	15120	0	0	45.88935049629828	45.88935049629828	45.88935049629828	45.88935049629828	44.26024712225728,44.26024712225728,44.26024712225728,44.26024712225728,44.26024712225728,44.26024712225728,45.08908264188881,45.88935049629828,45.88935049629828	0.9928066763658695	45.88935049629828	0	true	2
37	24	23	12	1272	2520	20160	0	0	46.7630836169702	46.7630836169702	46.7630836169702	46.7630836169702	43.94301252103373,45.92981926188748,45.92981926188748,45.94917251835426,45.94917251835426,45.94917251835426,45.94917251835426,45.97493404340539,45.97493404340539,45.97493404340539,46.7630836169702,46.7630836169702	0.9925013708044247	46.7630836169702	0	true	4
38	26	24	5	550	1050	8400	0	0	47.614686339322326	47.614686339322326	47.614686339322326	47.614686339322326	42.67475129866229,42.67475129866229,45.636112482657715,47.614686339322326,47.614686339322326	0.9924204019564121	47.614686339322326	0	true	2
39	26	25	1	114	210	1680	0	0	48.82703369247745	48.82703369247745	48.82703369247745	48.82703369247745	48.82703369247745	0.9923703950110031	48.82703369247745	0	true	3
40	27	24	7	770	1470	11760	0	0	47.51683309004764	47.51683309004764	47.51683309004764	47.51683309004764	42.293537577215645,43.99331003969342,43.99331003969342,46.59675087902181,46.59675087902181,47.51683309004764,47.51683309004764	0.9918967546662183	47.51683309004764	0	true	3
41	27	22	9	918	1890	15120	0	0	44.1426153168179	44.1426153168179	44.1426153168179	44.1426153168179	42.14315997436895,42.14315997436895,43.441942441260046,43.441942441260046,43.441942441260046,43.441942441260046,43.441942441260046,44.1426153168179,44.1426153168179	0.9916875150788488	44.1426153168179	0	true	7
42	27	23	10	1060	2100	16800	0	0	47.779025005854095	47.779025005854095	47.779025005854095	47.779025005854095	46.608473097947694,46.608473097947694,46.608473097947694,46.608473097947694,46.97927124366936,46.97927124366936,46.97927124366936,46.97927124366936,47.779025005854095,47.779025005854095	0.9916292833068922	47.779025005854095	0	true	5
