# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 6
# run: f4188445-2b60-4cee-a74c-f3ce55780ad3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 15agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	14	1036	2940	23520	0	0	36.75052582992933	36.75052582992933	36.75052582992933	36.75052582992933	27.512386523107686,31.53790386231113,31.53790386231113,34.79525815378919,34.79525815378919,34.752956549202686,34.752956549202686,34.752956549202686,34.752956549202686,34.76048101039982,36.7418164575624,36.7418164575624,36.75052582992933,36.75052582992933	0.9960817657423182	36.75052582992933	0	true	175
26	15	15	1	74	210	1680	0	0	41.444198688931564	41.444198688931564	41.444198688931564	41.444198688931564	41.444198688931564	0.9960817657423182	41.444198688931564	0	true	2
27	15	15	48	3552	10080	80640	0	0	41.61258967400262	41.61258967400262	41.61258967400262	41.61258967400262	39.202779709990715,40.013275391298016,40.013275391298016,40.013275391298016,40.013275391298016,40.013275391298016,40.013275391298016,40.013275391298016,40.013275391298016,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,40.8207800960273,41.61258967400262,41.61258967400262	0.9958392978556962	41.61258967400262	0	true	46
28	17	17	15	1230	3150	25200	0	0	43.008905674957425	43.008905674957425	43.008905674957425	43.008905674957425	40.64100562500418,40.64100562500418,40.64100562500418,40.64100562500418,40.64100562500418,40.64100562500418,40.64100562500418,40.64100562500418,40.64100562500418,41.45109504581251,41.45109504581251,42.25945863927816,42.25945863927816,43.008905674957425,43.008905674957425	0.9952533612124491	43.008905674957425	0	true	15
29	20	20	29	2726	6090	48720	0	0	44.91096718605658	44.91096718605658	44.91096718605658	44.91096718605658	44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.611499652028236,44.91096718605658,44.91096718605658	0.9948494308420032	44.91096718605658	0	true	39
30	20	20	1	94	210	1680	0	0	45.839921005939125	45.839921005939125	45.839921005939125	45.839921005939125	45.839921005939125	0.9948494308420032	45.839921005939125	0	true	2
31	21	21	7	686	1470	11760	0	0	45.691926389477274	45.691926389477274	45.691926389477274	45.691926389477274	44.001569199700896,44.001569199700896,44.088515650736255,44.088515650736255,44.88834962023127,45.691926389477274,45.691926389477274	0.9940576542063589	45.691926389477274	0	true	4
32	23	23	42	4452	8820	70560	0	0	43.45622400919476	43.45622400919476	43.45622400919476	43.45622400919476	35.10701869898843,35.10701869898843,35.10701869898843,37.90673391202198,38.81389239161127,40.50236135341245,40.50236135341245,40.50236135341245,41.30231925182858,41.30231925182858,41.30231925182858,42.37392869210681,42.37392869210681,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.13459118585669,43.30496602449322,43.30496602449322,43.30496602449322,43.30496602449322,43.30496602449322,43.45622400919476,43.45622400919476	0.992905593613148	43.45622400919476	0	true	37
33	23	23	1	106	210	1680	0	0	46.41429283198485	46.41429283198485	46.41429283198485	46.41429283198485	46.41429283198485	0.992905593613148	46.41429283198485	0	true	2
34	24	24	21	2310	4410	35280	0	0	47.434632969071636	47.434632969071636	47.434632969071636	47.434632969071636	47.07333461748191,47.07333461748191,47.07333461748191,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.2685426739424,47.434632969071636,47.434632969071636	0.9927601786797875	47.434632969071636	0	true	7
35	27	27	1	122	210	1680	0	0	48.41535777542624	48.41535777542624	48.41535777542624	48.41535777542624	48.41535777542624	0.9922786059467325	48.41535777542624	0	true	3
36	27	27	1	122	210	1680	0	0	48.67095993593694	48.67095993593694	48.67095993593694	48.67095993593694	48.67095993593694	0.9922786059467325	48.67095993593694	0	true	3
37	28	28	1	126	210	1680	0	0	48.80819900386986	48.80819900386986	48.80819900386986	48.80819900386986	48.80819900386986	0.9920188842017533	48.80819900386986	0	true	1
38	30	29	1	130	210	1680	0	0	48.32976238246343	48.32976238246343	48.32976238246343	48.32976238246343	48.32976238246343	0.9912480534577173	48.32976238246343	0	true	2
39	31	28	4	504	840	6720	0	0	47.833118489797094	47.833118489797094	47.833118489797094	47.833118489797094	46.133164214577285,46.133164214577285,47.833118489797094,47.833118489797094	0.9909845300151338	47.833118489797094	0	true	2
40	33	29	9	1170	1890	15120	0	0	48.46587441761878	48.46587441761878	48.46587441761878	48.46587441761878	46.77973711272389,46.77973711272389,46.77973711272389,46.77973711272389,46.77973711272389,46.77973711272389,46.77973711272389,48.46587441761878,48.46587441761878	0.9905730328042638	48.46587441761878	0	true	3
41	33	30	1	134	210	1680	0	0	49.12330270823248	49.12330270823248	49.12330270823248	49.12330270823248	49.12330270823248	0.9903492078578167	49.12330270823248	0	true	2
42	35	32	11	1562	2310	18480	0	0	48.601434051061204	48.601434051061204	48.601434051061204	48.601434051061204	47.017034330201454,47.817218812883254,47.817218812883254,47.817218812883254,47.817218812883254,47.817218812883254,47.817218812883254,47.817218812883254,47.817218812883254,48.601434051061204,48.601434051061204	0.9898771759235567	48.601434051061204	0	true	6
43	35	31	1	138	210	1680	0	0	48.67957138842999	48.67957138842999	48.67957138842999	48.67957138842999	48.67957138842999	0.9897258391150818	48.67957138842999	0	true	2
44	38	34	1	150	210	1680	0	0	48.75643763613268	48.75643763613268	48.75643763613268	48.75643763613268	48.75643763613268	0.9892668206841594	48.75643763613268	0	true	2
45	38	34	4	600	840	6720	0	0	48.51606763468437	48.51606763468437	48.51606763468437	48.51606763468437	47.709908837505694,47.709908837505694,48.51606763468437,48.51606763468437	0.9889584445208036	48.51606763468437	0	true	2
46	39	35	1	154	210	1680	0	0	49.45918733103232	49.45918733103232	49.45918733103232	49.45918733103232	49.45918733103232	0.9886320102938274	49.45918733103232	0	true	2
47	39	37	12	1944	2520	20160	0	0	48.87162971227156	48.87162971227156	48.87162971227156	48.87162971227156	48.057330495945166,48.057330495945166,48.057330495945166,48.057330495945166,48.057330495945166,48.057330495945166,48.057330495945166,48.057330495945166,48.057330495945166,48.057330495945166,48.87162971227156,48.87162971227156	0.9883949159605502	48.87162971227156	0	true	10
48	42	39	5	850	1050	8400	0	0	48.273552256274435	48.273552256274435	48.273552256274435	48.273552256274435	47.47273303042157,47.47273303042157,47.47273303042157,48.273552256274435,48.273552256274435	0.9881578581820577	48.273552256274435	0	true	3
