# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 11
# run: 0bc77170-bd76-442e-b826-2c0aaa58d110
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	24	1920	10080	80640	0	0	48.106288855973524	48.106288855973524	48.106288855973524	48.106288855973524	42.86390240579881,42.86390240579881,42.86390240579881,44.771762324906305,47.03641422847556,48.02193646755474,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.04422179728019,48.106288855973524,48.106288855973524	0.9960817657423182	48.106288855973524	0	true	252
26	15	15	1	80	420	3360	0	0	54.49510547491556	54.49510547491556	54.49510547491556	54.49510547491556	54.49510547491556	0.9960817657423182	54.49510547491556	0	true	9
27	15	15	1	80	420	3360	0	0	56.658090993402936	56.658090993402936	56.658090993402936	56.658090993402936	56.658090993402936	0.9960817657423182	56.658090993402936	0	true	5
28	15	15	9	720	3780	30240	0	0	57.879114059279246	57.879114059279246	57.879114059279246	57.879114059279246	56.260719453080874,56.260719453080874,57.076353519448055,57.076353519448055,57.076353519448055,57.076353519448055,57.076353519448055,57.879114059279246,57.879114059279246	0.9958718681688247	57.879114059279246	0	true	5
29	16	16	11	924	4620	36960	0	0	57.359680527180515	57.359680527180515	57.359680527180515	57.359680527180515	53.26782963023999,53.26782963023999,53.3198972879728,55.36968385315406,55.36968385315406,56.358282945906836,56.358282945906836,56.358282945906836,56.358282945906836,57.359680527180515,57.359680527180515	0.9955312141306174	57.359680527180515	0	true	23
30	17	17	5	440	2100	16800	0	0	55.20906072047593	55.20906072047593	55.20906072047593	55.20906072047593	55.17049747362682,55.17049747362682,53.36775332789441,55.20906072047593,55.20906072047593	0.9952533612124491	55.20906072047593	0	true	5
31	18	18	16	1472	6720	53760	0	0	56.267522804223994	56.45844290175284	56.267522804223994	57.431733174283714	56.22681302568799,56.45844290175284,55.26693082613674,55.30065482124544,55.30065482124544,55.30065482124544,55.30065482124544,55.30065482124544,55.30065482124544,55.30065482124544,55.30065482124544,55.30065482124544,55.30065482124544,55.356534700020624,56.267522804223994,56.267522804223994	0.9952459040363794	56.45844290175284	0	true	26
32	20	20	19	1900	7980	63840	0	0	62.448369105088354	62.448369105088354	62.448369105088354	62.448369105088354	58.82294965443611,58.82294965443611,60.36343224942688,60.36343224942688,60.36343224942688,61.17954416338882,61.17954416338882,61.17954416338882,61.17954416338882,61.97959718549019,61.97959718549019,62.35800717227693,62.35800717227693,62.35800717227693,62.35800717227693,62.35800717227693,62.35800717227693,62.448369105088354,62.448369105088354	0.9948494308420032	62.448369105088354	0	true	32
33	20	19	7	672	2940	23520	0	0	54.32592327169378	54.32592327169378	54.32592327169378	54.32592327169378	50.66948404902486,50.66948404902486,51.66929339030331,51.66929339030331,53.634143786676475,54.32592327169378,54.32592327169378	0.993846440660618	54.32592327169378	0	true	4
34	22	20	2	200	840	6720	0	0	54.82544654822714	54.82544654822714	54.82544654822714	54.82544654822714	54.82544654822714,54.82544654822714	0.9932659506802846	54.82544654822714	0	true	4
35	22	20	9	900	3780	30240	0	0	52.801431524965146	52.801431524965146	52.801431524965146	52.801431524965146	51.60928893160642,51.771048675903266,51.771048675903266,51.771048675903266,51.771048675903266,51.771048675903266,51.771048675903266,52.801431524965146,52.801431524965146	0.992929500442313	52.801431524965146	0	true	5
36	23	22	16	1728	6720	53760	0	0	57.1753588317566	57.1753588317566	57.1753588317566	57.1753588317566	55.38582721550657,55.38582721550657,55.38582721550657,56.343675307309645,56.343675307309645,56.343675307309645,56.343675307309645,56.343675307309645,56.343675307309645,56.343675307309645,56.343675307309645,56.343675307309645,56.343675307309645,55.97546026498242,57.1753588317566,57.1753588317566	0.992808650324241	57.1753588317566	0	true	6
37	24	23	2	224	840	6720	0	0	59.79266648101573	59.79266648101573	59.79266648101573	59.79266648101573	59.79266648101573,59.79266648101573	0.992453337817387	59.79266648101573	0	true	7
38	24	22	4	432	1680	13440	0	0	60.509680641994315	60.509680641994315	60.509680641994315	60.509680641994315	59.82434988140976,59.82434988140976,60.509680641994315,60.509680641994315	0.9924701164635441	60.509680641994315	0	true	6
39	24	22	13	1404	5460	43680	0	0	58.44109162066113	58.44109162066113	58.44109162066113	58.44109162066113	55.73383385237349,55.73383385237349,55.73383385237349,55.73383385237349,55.73383385237349,55.73383385237349,55.73383385237349,55.73383385237349,57.72460719485497,57.72460719485497,57.72460719485497,58.44109162066113,58.44109162066113	0.9925109116032198	58.44109162066113	0	true	20
