# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 14
# run: 2527666c-3a32-41e4-ac7b-3a46cd480ce2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	7	560	2940	23520	0	0	48.28541626447498	48.28541626447498	48.28541626447498	48.28541626447498	38.07059340277589,39.057601205183936,43.06801889350203,43.06801889350203,46.31581233286399,48.28541626447498,48.28541626447498	0.9964291824156865	48.28541626447498	0	true	100
26	15	15	1	80	420	3360	0	0	54.67351336065093	54.67351336065093	54.67351336065093	54.67351336065093	54.67351336065093	0.9960817657423182	54.67351336065093	0	true	42
27	15	15	1	80	420	3360	0	0	56.72516471228847	56.72516471228847	56.72516471228847	56.72516471228847	56.72516471228847	0.9960817657423182	56.72516471228847	0	true	7
28	15	15	1	80	420	3360	0	0	58.545131072354856	58.545131072354856	58.545131072354856	58.545131072354856	58.545131072354856	0.9960817657423182	58.545131072354856	0	true	3
29	15	15	1	80	420	3360	0	0	59.8743411431967	59.8743411431967	59.8743411431967	59.8743411431967	59.8743411431967	0.9960817657423182	59.8743411431967	0	true	4
30	15	15	7	560	2940	23520	0	0	59.09886642605586	59.09886642605586	59.09886642605586	59.09886642605586	58.04958712049673,58.04958712049673,58.04958712049673,58.04958712049673,57.88916134487162,59.09886642605586,59.09886642605586	0.9957029850637148	59.09886642605586	0	true	7
31	16	15	6	480	2520	20160	0	0	57.84287619922941	57.84287619922941	57.84287619922941	57.84287619922941	56.56432352165584,56.56432352165584,56.56432352165584,56.56432352165584,57.84287619922941,57.84287619922941	0.9955094640337474	57.84287619922941	0	true	15
32	17	17	5	440	2100	16800	0	0	56.443796487305654	56.443796487305654	56.443796487305654	56.443796487305654	55.016403929249435,55.23718121180127,56.03062410814423,56.443796487305654,56.443796487305654	0.9952533612124491	56.443796487305654	0	true	12
33	17	17	1	88	420	3360	0	0	58.150910852199374	58.150910852199374	58.150910852199374	58.150910852199374	58.150910852199374	0.9952533612124491	58.150910852199374	0	true	6
34	17	17	1	88	420	3360	0	0	59.11220421418281	59.11220421418281	59.11220421418281	59.11220421418281	59.11220421418281	0.9951737448914689	59.11220421418281	0	true	3
