# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: 3bcc8c0c-b21f-40b6-b62b-1cbd30d9eb5e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	8	640	3360	26880	0	0	48.08825528220732	48.08825528220732	48.08825528220732	48.08825528220732	44.136974941294035,44.136974941294035,47.101842152498314,47.101842152498314,47.101842152498314,47.101842152498314,48.08825528220732,48.08825528220732	0.9960817657423182	48.08825528220732	0	true	135
26	15	15	8	640	3360	26880	0	0	53.930443282148545	53.930443282148545	53.930443282148545	53.930443282148545	52.27805574983971,52.27805574983971,53.123132773300284,53.123132773300284,53.123132773300284,53.123132773300284,53.930443282148545,53.930443282148545	0.9958718681688247	53.930443282148545	0	true	40
27	16	16	9	756	3780	30240	0	0	53.59444032179541	53.59444032179541	53.59444032179541	53.59444032179541	48.67297540832214,49.45056076516366,49.45056076516366,52.36730632080447,52.36730632080447,52.694592771856215,52.694592771856215,53.59444032179541,53.59444032179541	0.9954479788859564	53.59444032179541	0	true	17
28	18	18	11	1012	4620	36960	0	0	56.89760130431049	56.89760130431049	56.89760130431049	56.89760130431049	55.197893068361026,55.197893068361026,55.197893068361026,55.45193675722646,56.17405715990104,56.17405715990104,56.17405715990104,56.17405715990104,56.17405715990104,56.89760130431049,56.89760130431049	0.9952459040363794	56.89760130431049	0	true	6
29	20	19	11	1056	4620	36960	0	0	59.65297125501742	59.65297125501742	59.65297125501742	59.65297125501742	58.75631053422955,58.75631053422955,59.55633630500006,59.55633630500006,59.55633630500006,59.55633630500006,59.55633630500006,59.55633630500006,58.45299702578793,59.65297125501742,59.65297125501742	0.9948514048003743	59.65297125501742	0	true	25
30	20	19	1	96	420	3360	0	0	62.05773839394522	62.05773839394522	62.05773839394522	62.05773839394522	62.05773839394522	0.9947717884793941	62.05773839394522	0	true	4
31	22	21	6	624	2520	20160	0	0	55.08411568430914	55.08411568430914	55.08411568430914	55.08411568430914	49.000535031729754,50.87584698671948,50.87584698671948,53.63153574588813,55.08411568430914,55.08411568430914	0.9932184660150167	55.08411568430914	0	true	5
32	23	22	3	324	1260	10080	0	0	55.66388364171233	55.66388364171233	55.66388364171233	55.66388364171233	54.90242315562831,55.66388364171233,55.66388364171233	0.9929075675715195	55.66388364171233	0	true	12
33	23	22	6	648	2520	20160	0	0	57.20991926337935	57.20991926337935	57.20991926337935	57.20991926337935	57.11581917839084,57.11581917839084,57.11581917839084,57.11581917839084,57.20991926337935,57.20991926337935	0.9929075675715195	57.20991926337935	0	true	4
34	24	23	3	336	1260	10080	0	0	59.461457232337224	59.461457232337224	59.461457232337224	59.461457232337224	53.851466271126796,59.461457232337224,59.461457232337224	0.9927789312843159	59.461457232337224	0	true	4
