# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: 3d92e8f4-3ec1-49ae-a1a7-4aee9cc72afc
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	6	480	2520	20160	0	0	48.09712702101278	48.09712702101278	48.09712702101278	48.09712702101278	35.588273185472666,37.8525448769253,42.86197010600887,46.11739618842344,48.09712702101278,48.09712702101278	0.9960817657423182	48.09712702101278	0	true	120
26	15	15	1	80	420	3360	0	0	54.422860068134234	54.422860068134234	54.422860068134234	54.422860068134234	54.422860068134234	0.9960817657423182	54.422860068134234	0	true	5
27	15	15	1	80	420	3360	0	0	56.50621490305356	56.50621490305356	56.50621490305356	56.50621490305356	56.50621490305356	0.9960817657423182	56.50621490305356	0	true	5
28	15	15	1	80	420	3360	0	0	58.247952914079434	58.247952914079434	58.247952914079434	58.247952914079434	58.247952914079434	0.9960817657423182	58.247952914079434	0	true	3
29	15	15	8	640	3360	26880	0	0	55.750018907037266	55.750018907037266	55.750018907037266	55.750018907037266	53.957626391435944,54.75585209334271,54.75585209334271,54.75585209334271,54.75585209334271,54.75585209334271,55.750018907037266,55.750018907037266	0.9956704147505866	55.750018907037266	0	true	33
30	17	17	20	1760	8400	67200	0	0	57.56425238944121	57.56425238944121	57.56425238944121	57.56425238944121	55.955972304049865,56.779970845345275,55.01076430719934,55.01076430719934,55.01076430719934,56.779970845345275,56.779970845345275,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.367296452977754,57.56425238944121,57.56425238944121	0.9952702495229601	57.56425238944121	0	true	31
31	19	18	15	1380	6300	50400	0	0	59.521866307597485	59.521866307597485	59.521866307597485	59.521866307597485	53.385588950544474,53.385588950544474,56.35604899490307,56.75577995290503,57.04736098023951,57.04736098023951,57.40363585235755,57.40363585235755,58.67484337403913,58.67484337403913,58.67484337403913,58.67484337403913,58.67484337403913,59.521866307597485,59.521866307597485	0.9950551246152608	59.521866307597485	0	true	40
32	19	19	1	96	420	3360	0	0	62.0608472076984	62.0608472076984	62.0608472076984	62.0608472076984	62.0608472076984	0.9949587296481237	62.0608472076984	0	true	3
33	20	19	24	2304	10080	80640	0	0	52.38502941802246	52.38502941802246	52.38502941802246	52.38502941802246	49.393945015815504,49.393945015815504,51.23949257620971,51.23949257620971,51.93980151309073,51.93980151309073,51.93980151309073,51.93980151309073,51.93980151309073,51.93980151309073,52.02245213551687,52.02245213551687,52.02245213551687,52.02245213551687,52.02245213551687,52.02245213551687,52.02245213551687,52.02245213551687,52.02245213551687,52.02245213551687,52.23057697841667,52.23057697841667,52.38502941802246,52.38502941802246	0.9938283460422134	52.38502941802246	0	true	18
34	23	23	21	2352	8820	70560	0	0	57.98934820788469	57.98934820788469	57.98934820788469	57.98934820788469	53.68757570514747,54.56266544067612,54.56266544067612,54.56266544067612,54.56266544067612,55.364949552027305,56.17222885974931,56.17222885974931,56.972102409896586,56.972102409896586,56.972102409896586,56.65813119084815,56.77032445891647,56.77032445891647,56.77032445891647,56.77032445891647,56.77032445891647,56.77032445891647,56.77032445891647,57.98934820788469,57.98934820788469	0.9930901587208749	57.98934820788469	0	true	15
35	23	23	1	112	420	3360	0	0	58.749692179646054	58.749692179646054	58.749692179646054	58.749692179646054	58.749692179646054	0.992905593613148	58.749692179646054	0	true	3
36	23	22	4	432	1680	13440	0	0	56.640827133719505	56.640827133719505	56.640827133719505	56.640827133719505	54.9402868097305,55.940880521345655,56.640827133719505,56.640827133719505	0.9928616182072072	56.640827133719505	0	true	4
37	25	24	6	696	2520	20160	0	0	60.76895431309499	60.76895431309499	60.76895431309499	60.76895431309499	58.13046075108718,58.13046075108718,59.10670455233694,59.96880041684538,60.76895431309499,60.76895431309499	0.9924745395924873	60.76895431309499	0	true	7
38	25	25	7	840	2940	23520	0	0	65.22235677629514	65.22235677629514	65.22235677629514	65.22235677629514	63.369042971238684,63.369042971238684,63.64461891185596,64.44559382104056,64.44559382104056,65.22235677629514,65.22235677629514	0.9924376923695543	65.22235677629514	0	true	6
39	27	25	14	1680	5880	47040	0	0	61.41207837488104	61.41207837488104	61.41207837488104	61.41207837488104	54.861927948995444,55.21257536501568,57.49140590831152,57.49140590831152,59.82122719731492,59.82122719731492,59.82122719731492,59.82122719731492,59.82122719731492,59.82122719731492,59.67883722357341,59.67883722357341,61.41207837488104,61.41207837488104	0.9921942375037469	61.41207837488104	0	true	10
40	27	24	3	348	1260	10080	0	0	61.037604953014885	61.037604953014885	61.037604953014885	61.037604953014885	57.7758772858778,61.037604953014885,61.037604953014885	0.9921962114621184	61.037604953014885	0	true	22
41	30	26	28	3472	11760	94080	0	0	64.61206509391096	64.61206509391096	64.61206509391096	64.61206509391096	56.570053761332915,56.570053761332915,57.370285199382764,62.50451608035169,62.50451608035169,62.50451608035169,62.50451608035169,62.50451608035169,63.173571749164,63.96481567267577,64.43667425902701,64.43667425902701,64.43667425902701,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.4969885255877,64.61206509391096,64.61206509391096	0.9910290171880598	64.61206509391096	0	true	20
42	30	27	19	2432	7980	63840	0	0	67.39023819847853	67.39023819847853	67.39023819847853	67.39023819847853	65.28056716221178,65.28056716221178,65.28056716221178,65.28056716221178,66.08123328690823,66.08123328690823,66.08123328690823,66.08123328690823,66.08123328690823,66.08123328690823,66.08123328690823,66.58342457838914,66.58342457838914,66.58342457838914,66.58342457838914,66.58342457838914,66.58342457838914,67.39023819847853,67.39023819847853	0.9905735811260338	67.39023819847853	0	true	6
43	30	27	1	128	420	3360	0	0	68.65182399363816	68.65182399363816	68.65182399363816	68.65182399363816	68.65182399363816	0.9905735811260338	68.65182399363816	0	true	4
44	31	26	6	744	2520	20160	0	0	66.1713369835356	66.1713369835356	66.1713369835356	66.1713369835356	58.43573282212568,64.79589284754027,64.79589284754027,64.79589284754027,66.1713369835356,66.1713369835356	0.9906223452087644	66.1713369835356	0	true	4
45	31	26	7	868	2940	23520	0	0	67.4074011241212	67.4074011241212	67.4074011241212	67.4074011241212	66.80136227632087,66.94181202709325,66.94181202709325,66.94181202709325,66.94181202709325,67.4074011241212,67.4074011241212	0.9906384658687977	67.4074011241212	0	true	18
46	31	26	18	2232	7560	60480	0	0	68.171658680352	68.171658680352	68.171658680352	68.171658680352	66.17178657051514,66.17178657051514,66.17178657051514,66.17178657051514,66.17178657051514,66.17178657051514,66.17178657051514,66.17178657051514,65.87160033864687,65.87160033864687,65.87160033864687,65.87160033864687,65.87160033864687,65.87160033864687,65.87160033864687,65.87160033864687,68.171658680352,68.171658680352	0.9904407410385946	68.171658680352	0	true	5
47	32	25	14	1680	5880	47040	0	0	64.1510538080318	64.1510538080318	64.1510538080318	64.1510538080318	58.45056006731042,58.45056006731042,60.82885924688239,60.82885924688239,60.82885924688239,60.82885924688239,61.994578170460414,63.08817166169436,63.08817166169436,63.08817166169436,63.08817166169436,63.08817166169436,64.1510538080318,64.1510538080318	0.9904944765720386	64.1510538080318	0	true	15
48	33	26	18	2232	7560	60480	0	0	64.88732081597912	64.88732081597912	64.88732081597912	64.88732081597912	60.4925741726841,60.4925741726841,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,63.7305316009779,64.88732081597912,64.88732081597912	0.9898467623427233	64.88732081597912	0	true	10
49	33	25	5	600	2100	16800	0	0	63.858585657702456	63.858585657702456	63.858585657702456	63.858585657702456	62.83294770706594,62.83294770706594,62.83294770706594,63.858585657702456,63.858585657702456	0.9898836095656561	63.858585657702456	0	true	15
50	33	24	13	1508	5460	43680	0	0	60.65581815134514	60.65581815134514	60.65581815134514	60.65581815134514	53.60573077685861,53.60573077685861,53.60573077685861,53.60573077685861,56.653170470304076,56.653170470304076,59.32614125376052,59.32614125376052,59.32614125376052,59.32614125376052,59.32614125376052,60.65581815134514,60.65581815134514	0.9898283387312566	60.65581815134514	0	true	7
51	33	24	2	232	840	6720	0	0	61.03203188841225	61.03203188841225	61.03203188841225	61.03203188841225	61.03203188841225,61.03203188841225	0.98983064168269	61.03203188841225	0	true	7
52	33	23	8	896	3360	26880	0	0	57.33766730606561	57.33766730606561	57.33766730606561	57.33766730606561	54.46783428901931,54.46783428901931,54.46783428901931,56.74607274044271,56.74607274044271,56.74607274044271,57.33766730606561,57.33766730606561	0.9896345618177964	57.33766730606561	0	true	3
53	33	23	1	112	420	3360	0	0	56.56721944113589	56.56721944113589	56.56721944113589	56.56721944113589	56.56721944113589	0.9894632660968996	56.56721944113589	0	true	2
54	33	24	3	348	1260	10080	0	0	53.81002825944303	53.81002825944303	53.81002825944303	53.81002825944303	53.01322140458251,53.81002825944303,53.81002825944303	0.9890886526637472	53.81002825944303	0	true	2
55	33	24	7	812	2940	23520	0	0	55.28884383013822	55.28884383013822	55.28884383013822	55.28884383013822	54.35254003630381,54.35254003630381,54.35254003630381,54.35254003630381,54.35254003630381,55.28884383013822,55.28884383013822	0.9889161506349566	55.28884383013822	0	true	3
56	33	25	4	480	1680	13440	0	0	58.06670491468299	58.06670491468299	58.06670491468299	58.06670491468299	56.98014843860123,57.888627272471766,58.06670491468299,58.06670491468299	0.9888585768491238	58.06670491468299	0	true	3
57	34	25	4	480	1680	13440	0	0	57.97127464534181	57.97127464534181	57.97127464534181	57.97127464534181	54.49477621298514,56.761731582107224,57.97127464534181,57.97127464534181	0.9886019622608405	57.97127464534181	0	true	3
58	34	24	21	2436	8820	70560	0	0	53.62754830503902	53.62754830503902	53.62754830503902	53.62754830503902	42.5081753506549,42.5081753506549,42.5081753506549,46.77112517949617,50.46517899058975,50.46517899058975,50.46517899058975,50.46517899058975,50.46517899058975,52.710708133590295,52.710708133590295,52.710708133590295,52.710708133590295,52.710708133590295,50.66750612421115,50.486275265209535,50.486275265209535,51.66830823970262,51.66830823970262,53.62754830503902,53.62754830503902	0.9886740117413969	53.62754830503902	0	true	5
59	34	24	1	116	420	3360	0	0	56.84121153070557	56.84121153070557	56.84121153070557	56.84121153070557	56.84121153070557	0.9886740117413969	56.84121153070557	0	true	5
60	34	24	4	464	1680	13440	0	0	56.02040547389937	56.02040547389937	56.02040547389937	56.02040547389937	52.37134495673929,51.80526409624956,56.02040547389937,56.02040547389937	0.9886457183380734	56.02040547389937	0	true	4
61	34	23	19	2128	7980	63840	0	0	48.8454991013345	48.8454991013345	48.8454991013345	48.8454991013345	46.983616333548134,46.983616333548134,46.983616333548134,46.983616333548134,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.81651205637941,48.8454991013345,48.8454991013345	0.9880490345881372	48.8454991013345	0	true	5
62	34	23	8	896	3360	26880	0	0	51.616163596291685	51.616163596291685	51.616163596291685	51.616163596291685	48.137690639945646,49.33734457156645,49.33734457156645,51.61587115644561,51.61587115644561,51.61587115644561,51.616163596291685,51.616163596291685	0.9880559068876527	51.616163596291685	0	true	4
63	35	22	42	4536	17640	141120	0	0	61.56193711111457	61.56193711111457	61.56193711111457	61.56193711111457	53.35217042093309,55.199101711503985,56.729692354694,56.729692354694,57.51043111628442,57.51043111628442,57.51043111628442,57.51043111628442,58.36059179200425,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.13324116103753,59.91216167593699,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,60.68074672471391,61.56193711111457,61.56193711111457	0.9858081166243851	61.56193711111457	0	true	30
64	35	23	1	112	420	3360	0	0	67.8119088169092	67.8119088169092	67.8119088169092	67.8119088169092	67.8119088169092	0.9857748883251328	67.8119088169092	0	true	2
65	35	24	1	116	420	3360	0	0	68.16360884172053	68.16360884172053	68.16360884172053	68.16360884172053	68.16360884172053	0.9853650726343574	68.16360884172053	0	true	2
66	35	25	1	120	420	3360	0	0	68.45341965021609	68.45341965021609	68.45341965021609	68.45341965021609	68.45341965021609	0.9853601377384285	68.45341965021609	0	true	2
67	35	25	11	1320	4620	36960	0	0	66.96941889864084	66.96941889864084	66.96941889864084	66.96941889864084	66.50152423926569,66.50152423926569,66.50152423926569,66.50152423926569,66.75411127531635,66.75411127531635,66.75411127531635,66.75411127531635,66.75411127531635,66.96941889864084,66.96941889864084	0.985130939238637	66.96941889864084	0	true	3
68	35	25	1	120	420	3360	0	0	67.7215733769655	67.7215733769655	67.7215733769655	67.7215733769655	67.7215733769655	0.9849596435177401	67.7215733769655	0	true	10
69	35	24	1	116	420	3360	0	0	67.9612056503685	67.9612056503685	67.9612056503685	67.9612056503685	67.9612056503685	0.9849596435177401	67.9612056503685	0	true	1
70	36	25	1	120	420	3360	0	0	68.20722748737825	68.20722748737825	68.20722748737825	68.20722748737825	68.20722748737825	0.9846317836541624	68.20722748737825	0	true	2
71	37	24	1	116	420	3360	0	0	68.45295988780754	68.45295988780754	68.45295988780754	68.45295988780754	68.45295988780754	0.9838009299537214	68.45295988780754	0	true	2
72	37	23	1	112	420	3360	0	0	68.65784057099299	68.65784057099299	68.65784057099299	68.65784057099299	68.65784057099299	0.9838009299537214	68.65784057099299	0	true	2
73	38	23	1	112	420	3360	0	0	68.83326938400347	68.83326938400347	68.83326938400347	68.83326938400347	68.83326938400347	0.9836716722351787	68.83326938400347	0	true	2
74	38	22	1	108	420	3360	0	0	68.9714609540265	68.9714609540265	68.9714609540265	68.9714609540265	68.9714609540265	0.9836716722351787	68.9714609540265	0	true	2
75	40	24	1	116	420	3360	0	0	69.09054258095686	69.09054258095686	69.09054258095686	69.09054258095686	69.09054258095686	0.9832005907253198	69.09054258095686	0	true	8
76	42	26	1	124	420	3360	0	0	69.18686462240461	69.18686462240461	69.18686462240461	69.18686462240461	69.18686462240461	0.9827693173759512	69.18686462240461	0	true	1
77	42	26	1	124	420	3360	0	0	69.22938692300323	69.22938692300323	69.22938692300323	69.22938692300323	69.22938692300323	0.9827193104305422	69.22938692300323	0	true	2
