# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 4
# run: 47ed5617-0f04-4296-b820-f6d09a9806e7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	64	5120	26880	215040	0	0	48.101081777969185	48.101081777969185	48.101081777969185	48.101081777969185	37.85449271481466,37.85449271481466,37.85449271481466,45.122102944243494,47.051855533734205,47.0741030502437,47.0741030502437,45.11303261090057,45.11303261090057,47.10485064517789,47.10485064517789,47.10485064517789,47.10485064517789,47.10485064517789,47.10485064517789,47.10485064517789,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.09092218853283,48.101081777969185,48.101081777969185	0.9960817657423182	48.101081777969185	0	true	315
26	15	15	1	80	420	3360	0	0	54.429364843156606	54.429364843156606	54.429364843156606	54.429364843156606	54.429364843156606	0.9960817657423182	54.429364843156606	0	true	11
27	15	15	1	80	420	3360	0	0	56.463253416063736	56.463253416063736	56.463253416063736	56.463253416063736	56.463253416063736	0.9960817657423182	56.463253416063736	0	true	7
28	15	15	10	800	4200	33600	0	0	57.21013521384612	57.21013521384612	57.21013521384612	57.21013521384612	55.507847494328075,55.507847494328075,55.507847494328075,55.507847494328075,55.507847494328075,55.507847494328075,55.507847494328075,56.312722242869484,57.21013521384612,57.21013521384612	0.9957029850637148	57.21013521384612	0	true	7
29	17	17	9	792	3780	30240	0	0	56.54353750960914	56.54353750960914	56.54353750960914	56.54353750960914	54.83081062686871,56.448668194750965,56.448668194750965,56.448668194750965,56.465615107495964,56.465615107495964,56.465615107495964,56.54353750960914,56.54353750960914	0.9952702495229601	56.54353750960914	0	true	3
30	19	19	10	960	4200	33600	0	0	58.91701623978423	58.91701623978423	58.91701623978423	58.91701623978423	57.02374676233103,57.79955569853104,58.19540369101581,58.19540369101581,58.30940285422934,57.50065245085849,57.66418833947499,58.728176531805865,58.91701623978423,58.91701623978423	0.9950569889092784	58.91701623978423	0	true	4
31	20	19	16	1536	6720	53760	0	0	61.01105305867434	61.01105305867434	61.01105305867434	61.01105305867434	57.49950368754331,57.49950368754331,57.49950368754331,59.1906322778485,59.1906322778485,60.2623241860678,60.2623241860678,60.2623241860678,60.2623241860678,60.2623241860678,60.2623241860678,60.2623241860678,60.2623241860678,60.2623241860678,61.01105305867434,61.01105305867434	0.994899437787412	61.01105305867434	0	true	18
32	20	17	7	616	2940	23520	0	0	57.313287276970044	57.313287276970044	57.313287276970044	57.313287276970044	51.61402271864414,54.349767102498646,56.3357835532715,56.3357835532715,56.3357835532715,57.313287276970044,57.313287276970044	0.994858642647736	57.313287276970044	0	true	4
33	23	21	10	1040	4200	33600	0	0	54.39441996131466	54.39441996131466	54.39441996131466	54.39441996131466	45.10406042095413,45.10406042095413,45.90328965060281,49.60443632349924,52.36310567884579,53.12417439200839,53.12417439200839,53.33381947795296,54.39441996131466,54.39441996131466	0.9931421396246555	54.39441996131466	0	true	22
34	23	22	37	3996	15540	124320	0	0	56.28800847504273	56.28800847504273	56.28800847504273	56.28800847504273	55.192504371440336,55.192504371440336,55.192504371440336,55.192504371440336,55.192504371440336,55.94781174819303,55.94781174819303,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.03123199735847,56.28800847504273,56.28800847504273	0.9929075675715195	56.28800847504273	0	true	8
