# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 28
# run: 5f766ed5-2784-4761-a6fa-6dd2ad1788d7
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	13	1040	5460	43680	0	0	48.245571307328085	48.245571307328085	48.245571307328085	48.245571307328085	37.84745691056699,39.0705262525452,39.0705262525452,39.0705262525452,39.0705262525452,39.0705262525452,39.0705262525452,39.0705262525452,43.08156255151981,43.08156255151981,43.08156255151981,48.245571307328085,48.245571307328085	0.9960817657423182	48.245571307328085	0	true	207
26	15	15	1	80	420	3360	0	0	54.63188702384775	54.63188702384775	54.63188702384775	54.63188702384775	54.63188702384775	0.9960817657423182	54.63188702384775	0	true	4
27	15	15	1	80	420	3360	0	0	56.78184058718386	56.78184058718386	56.78184058718386	56.78184058718386	56.78184058718386	0.9960817657423182	56.78184058718386	0	true	5
28	15	15	1	80	420	3360	0	0	58.69006317654483	58.69006317654483	58.69006317654483	58.69006317654483	58.69006317654483	0.9960817657423182	58.69006317654483	0	true	3
29	15	15	8	640	3360	26880	0	0	59.40207471010714	59.40207471010714	59.40207471010714	59.40207471010714	57.69570204889545,57.69570204889545,57.69570204889545,57.69570204889545,58.593788703510526,58.593788703510526,59.40207471010714,59.40207471010714	0.9957029850637148	59.40207471010714	0	true	17
30	16	16	4	336	1680	13440	0	0	57.47884309982564	57.47884309982564	57.47884309982564	57.47884309982564	56.277713104823796,56.277713104823796,57.47884309982564,57.47884309982564	0.9954479788859564	57.47884309982564	0	true	8
31	17	16	17	1428	7140	57120	0	0	57.4471685113956	57.4471685113956	57.4471685113956	57.4471685113956	54.78965506629942,54.78965506629942,54.78965506629942,54.78965506629942,54.78965506629942,54.78965506629942,54.78965506629942,57.301081667837494,57.301081667837494,55.99276400244925,54.28377013992042,54.28377013992042,54.28377013992042,54.28377013992042,56.74688767123595,57.4471685113956,57.4471685113956	0.9952870281691172	57.4471685113956	0	true	42
32	17	17	1	88	420	3360	0	0	56.53487879308035	56.53487879308035	56.53487879308035	56.53487879308035	56.53487879308035	0.9952533612124491	56.53487879308035	0	true	9
33	19	19	11	1056	4620	36960	0	0	61.30288002380198	61.30288002380198	61.30288002380198	61.30288002380198	57.004928719544445,57.004928719544445,57.004928719544445,57.004928719544445,58.960540426676594,58.960540426676594,60.5174830654352,60.5174830654352,60.5174830654352,61.30288002380198,61.30288002380198	0.9949587296481237	61.30288002380198	0	true	15
34	20	19	15	1440	6300	50400	0	0	53.553834997268396	53.553834997268396	53.553834997268396	53.553834997268396	46.167692292936096,46.167692292936096,50.67041850222042,50.67041850222042,52.3405278800293,52.3405278800293,52.3405278800293,52.3405278800293,52.3405278800293,53.43741940751568,53.43741940751568,53.43741940751568,53.43741940751568,53.553834997268396,53.553834997268396	0.9937379826145445	53.553834997268396	0	true	6
35	21	20	9	900	3780	30240	0	0	54.601660291592545	54.601660291592545	54.601660291592545	54.601660291592545	53.6033088163923,53.6033088163923,53.6033088163923,53.35756296199191,53.35756296199191,53.35756296199191,53.35756296199191,54.601660291592545,54.601660291592545	0.9933804768206111	54.601660291592545	0	true	4
36	22	21	2	208	840	6720	0	0	54.38403857347992	54.38403857347992	54.38403857347992	54.38403857347992	54.38403857347992,54.38403857347992	0.992879493496904	54.38403857347992	0	true	3
37	22	20	6	600	2520	20160	0	0	53.089776799436	53.089776799436	53.089776799436	53.089776799436	51.08946566842784,51.08946566842784,51.08946566842784,51.08946566842784,53.089776799436,53.089776799436	0.9929344353382417	53.089776799436	0	true	8
38	23	21	9	936	3780	30240	0	0	55.290649016984005	55.290649016984005	55.290649016984005	55.290649016984005	54.07302738152776,54.07302738152776,54.07302738152776,54.07302738152776,54.07302738152776,54.07302738152776,54.07302738152776,55.290649016984005,55.290649016984005	0.9926536945920854	55.290649016984005	0	true	4
39	24	22	7	756	2940	23520	0	0	58.27745336872902	58.27745336872902	58.27745336872902	58.27745336872902	56.71301917574348,56.71301917574348,56.71301917574348,56.29405167313633,57.0771071933103,58.27745336872902,58.27745336872902	0.9925082796587247	58.27745336872902	0	true	5
40	24	21	27	2808	11340	90720	0	0	56.80585930207317	56.80585930207317	56.80585930207317	56.80585930207317	53.82818522451406,53.82818522451406,53.82818522451406,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,56.10590444680592,55.80605859847525,55.80617172287288,55.80617172287288,55.80617172287288,55.80617172287288,55.80617172287288,55.80617172287288,55.80617172287288,56.80585930207317,56.80585930207317	0.9925270322632531	56.80585930207317	0	true	25
41	25	21	7	728	2940	23520	0	0	58.57902994923706	58.57902994923706	58.57902994923706	58.57902994923706	55.70422826438297,55.70422826438297,55.94533890286514,55.94533890286514,55.94533890286514,58.57902994923706,58.57902994923706	0.9923673244090919	58.57902994923706	0	true	4
42	26	22	14	1512	5880	47040	0	0	58.683446471170875	58.683446471170875	58.683446471170875	58.683446471170875	53.33382742099131,53.33382742099131,53.33382742099131,53.33382742099131,55.233859490333245,55.233859490333245,55.99729283122926,56.10138360846858,56.70200136335473,56.70200136335473,58.57935569393155,57.702745006394586,58.683446471170875,58.683446471170875	0.9916618170652358	58.683446471170875	0	true	8
43	27	23	26	2912	10920	87360	0	0	61.61469321173439	61.61469321173439	61.61469321173439	61.61469321173439	52.615986540250844,55.24524837477401,58.498939482007685,58.498939482007685,58.498939482007685,59.04749406761583,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,60.73300545440361,61.61469321173439,61.61469321173439	0.9914286340939168	61.61469321173439	0	true	11
44	27	24	7	812	2940	23520	0	0	63.57568456667997	63.57568456667997	63.57568456667997	63.57568456667997	62.00048640996252,62.00048640996252,62.77521241205676,62.77521241205676,62.77521241205676,63.57568456667997,63.57568456667997	0.9912176398768834	63.57568456667997	0	true	3
45	27	22	18	1944	7560	60480	0	0	56.43405388759048	56.43405388759048	56.43405388759048	56.43405388759048	52.714391027025854,52.714391027025854,52.714391027025854,54.304576990522214,54.18556618063608,54.18556618063608,54.98505401734893,54.98505401734893,54.98505401734893,54.98505401734893,54.98505401734893,54.98505401734893,54.98452544230015,54.98452544230015,54.98452544230015,54.98452544230015,56.43405388759048,56.43405388759048	0.9912275096687407	56.43405388759048	0	true	19
46	27	21	7	728	2940	23520	0	0	56.467919449466294	56.467919449466294	56.467919449466294	56.467919449466294	52.78208554996431,53.782060107942854,53.782060107942854,56.06019919568065,56.06019919568065,56.467919449466294,56.467919449466294	0.9912668060622457	56.467919449466294	0	true	19
47	28	22	11	1188	4620	36960	0	0	59.56451954221241	59.56451954221241	59.56451954221241	59.56451954221241	54.78107103252438,54.78107103252438,54.78107103252438,54.78107103252438,55.55650430591835,55.76355548676963,55.76355548676963,55.76355548676963,58.6644122586834,59.56451954221241,59.56451954221241	0.990952983235976	59.56451954221241	0	true	7
48	28	23	18	2016	7560	60480	0	0	60.025280910265685	60.025280910265685	60.025280910265685	60.025280910265685	59.031349354221256,59.031349354221256,59.031349354221256,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,59.32543462189421,60.025280910265685,60.025280910265685	0.9908288066325003	60.025280910265685	0	true	18
49	28	21	25	2600	10500	84000	0	0	55.940899245724246	55.940899245724246	55.940899245724246	55.940899245724246	54.56646597046375,54.94004369483745,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.94071492632619,55.940899245724246,55.940899245724246	0.9906845248974638	55.940899245724246	0	true	23
50	28	21	3	312	1260	10080	0	0	53.88214297045415	53.88214297045415	53.88214297045415	53.88214297045415	52.89390419438801,53.88214297045415,53.88214297045415	0.990462893238096	53.88214297045415	0	true	5
51	28	23	14	1568	5880	47040	0	0	57.85641494535475	57.85641494535475	57.85641494535475	57.85641494535475	56.42826031325899,57.22835037046168,57.22835037046168,55.75689167773201,56.9564929631185,56.9564929631185,56.9564929631185,56.9564929631185,56.9564929631185,56.9564929631185,56.9564929631185,56.9564929631185,57.85641494535475,57.85641494535475	0.9904066354245107	57.85641494535475	0	true	8
52	28	22	8	864	3360	26880	0	0	55.39864137647612	55.39864137647612	55.39864137647612	55.39864137647612	52.51971694514111,52.51971694514111,54.4983102513997,54.4983102513997,54.4983102513997,55.39792418392139,55.39864137647612,55.39864137647612	0.990319123270045	55.39864137647612	0	true	4
53	28	22	1	108	420	3360	0	0	56.51310729438637	56.51310729438637	56.51310729438637	56.51310729438637	56.51310729438637	0.990319123270045	56.51310729438637	0	true	2
54	29	23	15	1680	6300	50400	0	0	58.704472696366345	58.704472696366345	58.704472696366345	58.704472696366345	57.00448096187182,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,57.80436727488157,58.704472696366345,58.704472696366345	0.9903004803298706	58.704472696366345	0	true	4
55	29	22	28	3024	11760	94080	0	0	54.548008202513344	54.548008202513344	54.548008202513344	54.548008202513344	47.853511781498064,47.853511781498064,47.853511781498064,48.146172178245855,50.87888461379164,50.87888461379164,50.87888461379164,50.87888461379164,50.87888461379164,50.87888461379164,52.54817165052876,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.54796221129433,54.548008202513344,54.548008202513344	0.9903134938332079	54.548008202513344	0	true	7
56	29	21	17	1768	7140	57120	0	0	54.40759299963706	54.40759299963706	54.40759299963706	54.40759299963706	54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.380349432377514,54.40759299963706,54.40759299963706	0.990322193871956	54.40759299963706	1	true	4
57	29	20	16	1600	6720	53760	0	0	47.14558736048261	47.14558736048261	47.14558736048261	47.14558736048261	45.514860601997725,47.02030166922367,47.02030166922367,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.145223472464394,47.14558736048261,47.14558736048261	0.9903862012998882	47.14558736048261	0	true	5
