# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 19
# run: 713b9569-a7f9-45b9-b1da-68eb2dd5659d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	8	640	3360	26880	0	0	48.09465226005794	48.09465226005794	48.09465226005794	48.09465226005794	44.13081588489123,44.13081588489123,44.13081588489123,44.13081588489123,44.13081588489123,45.117096384815696,48.09465226005794,48.09465226005794	0.9960817657423182	48.09465226005794	0	true	160
26	15	15	1	80	420	3360	0	0	54.47472153497165	54.47472153497165	54.47472153497165	54.47472153497165	54.47472153497165	0.9960817657423182	54.47472153497165	0	true	16
27	15	15	1	80	420	3360	0	0	56.53181983573369	56.53181983573369	56.53181983573369	56.53181983573369	56.53181983573369	0.9960817657423182	56.53181983573369	0	true	8
28	15	15	17	1360	7140	57120	0	0	55.10531428166446	55.10531428166446	55.10531428166446	55.10531428166446	49.66951266630696,49.66951266630696,49.66951266630696,49.66951266630696,49.66951266630696,50.488326065674556,50.488326065674556,50.488326065674556,50.488326065674556,50.488326065674556,50.488326065674556,50.488326065674556,50.488326065674556,51.293136941979185,54.19173165656888,55.10531428166446,55.10531428166446	0.9956704147505866	55.10531428166446	0	true	64
29	17	17	11	968	4620	36960	0	0	56.657995044521364	56.657995044521364	56.657995044521364	56.657995044521364	54.88470900765964,54.88470900765964,55.683948383753346,56.470077234894205,56.470077234894205,56.479936110403244,56.49364786558203,56.49364786558203,56.49364786558203,56.657995044521364,56.657995044521364	0.9952702495229601	56.657995044521364	0	true	7
30	19	19	38	3648	15960	127680	0	0	59.24141876986858	59.24141876986858	59.24141876986858	59.24141876986858	55.78102467129701,57.76128505094224,57.76128505094224,57.76128505094224,58.32025302582471,58.32025302582471,58.32025302582471,58.32025302582471,58.34018965189798,58.34018965189798,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,58.58338224474395,59.04049337127421,59.24141876986858,59.24141876986858	0.9950569889092784	59.24141876986858	0	true	58
31	20	20	5	500	2100	16800	0	0	62.48602349120438	62.48602349120438	62.48602349120438	62.48602349120438	61.53618096891611,61.53618096891611,61.79600301957987,62.48602349120438,62.48602349120438	0.9948494308420032	62.48602349120438	0	true	5
32	21	21	9	936	3780	30240	0	0	61.8906180206846	61.8906180206846	61.8906180206846	61.8906180206846	57.448934913375155,57.448934913375155,57.448934913375155,57.448934913375155,60.36916361430475,60.36916361430475,61.12998786073453,61.8906180206846,61.8906180206846	0.9938175989355246	61.8906180206846	0	true	9
33	23	23	8	896	3360	26880	0	0	59.225098950318205	59.225098950318205	59.225098950318205	59.225098950318205	56.93866976657862,56.93866976657862,56.93866976657862,56.00560177967406,56.463902450565364,56.463902450565364,59.225098950318205,59.225098950318205	0.9930901587208749	59.225098950318205	0	true	4
34	23	23	1	112	420	3360	0	0	59.29678606025519	59.29678606025519	59.29678606025519	59.29678606025519	59.29678606025519	0.9928066763658695	59.29678606025519	0	true	3
35	24	23	6	672	2520	20160	0	0	57.430168168075454	57.430168168075454	57.430168168075454	57.430168168075454	56.28443554618249,56.28443554618249,56.28443554618249,55.62528137712249,57.430168168075454,57.430168168075454	0.9926632353908803	57.430168168075454	0	true	4
36	24	22	10	1080	4200	33600	0	0	55.93556388753091	55.93556388753091	55.93556388753091	55.93556388753091	54.53025217372694,54.53025217372694,54.53025217372694,55.230242906411156,55.230242906411156,55.230242906411156,55.230242906411156,55.230242906411156,55.93556388753091,55.93556388753091	0.9924901850403198	55.93556388753091	0	true	5
37	26	25	31	3720	13020	104160	0	0	62.390434039732206	62.390434039732206	62.390434039732206	62.390434039732206	59.7188577324245,59.7188577324245,59.7188577324245,60.51950725964043,60.559625807827544,60.559625807827544,60.559625807827544,60.79084081984344,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,61.591017143566006,62.390434039732206,62.390434039732206	0.9922942513945651	62.390434039732206	0	true	31
38	28	25	10	1200	4200	33600	0	0	63.100505606194865	63.100505606194865	63.100505606194865	63.100505606194865	57.86588470191767,59.55726343199655,59.55726343199655,59.55726343199655,61.86960490847921,61.86960490847921,61.86960490847921,61.86960490847921,63.100505606194865,63.100505606194865	0.9920753613440465	63.100505606194865	0	true	29
39	30	26	18	2232	7560	60480	0	0	65.88607708944457	65.88607708944457	65.88607708944457	65.88607708944457	62.695639063008855,62.695639063008855,62.695639063008855,64.69501005108128,64.69501005108128,64.69501005108128,64.69501005108128,64.69501005108128,64.69501005108128,65.10305709160826,65.10305709160826,65.10305709160826,65.10305709160826,65.10305709160826,65.10305709160826,65.10305709160826,65.88607708944457,65.88607708944457	0.9910058414545881	65.88607708944457	0	true	7
40	30	26	5	620	2100	16800	0	0	66.40854419471155	66.40854419471155	66.40854419471155	66.40854419471155	64.70839177566944,64.70839177566944,64.70839177566944,66.40854419471155,66.40854419471155	0.9908028527353946	66.40854419471155	0	true	4
41	30	25	11	1320	4620	36960	0	0	65.90940865296818	65.90940865296818	65.90940865296818	65.90940865296818	60.6095446769113,62.30931446257004,62.30931446257004,62.30931446257004,62.30931446257004,63.10921040957898,63.10921040957898,65.10839009771432,65.10839009771432,65.90940865296818,65.90940865296818	0.9906658819572896	65.90940865296818	0	true	7
42	32	27	9	1152	3780	30240	0	0	66.86192694606166	66.86192694606166	66.86192694606166	66.86192694606166	64.8862053183992,64.8862053183992,64.8862053183992,64.8862053183992,64.8862053183992,64.8862053183992,64.8862053183992,66.86192694606166,66.86192694606166	0.9902418830100671	66.86192694606166	0	true	5
43	34	29	6	816	2520	20160	0	0	66.52105671651631	66.52105671651631	66.52105671651631	66.52105671651631	57.8253797612082,57.8253797612082,61.10303624154305,64.52106893518135,66.52105671651631,66.52105671651631	0.989949481287606	66.52105671651631	0	true	6
44	34	27	8	1024	3360	26880	0	0	63.59563003006464	63.59563003006464	63.59563003006464	63.59563003006464	56.75851683981851,56.75851683981851,59.03687591478628,59.03687591478628,61.510772461603935,61.510772461603935,63.59563003006464,63.59563003006464	0.9898241349310212	63.59563003006464	0	true	4
