# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 9
# run: b16cadbd-8d6b-4bcf-a8f6-d42c9789da2a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	14	1120	5880	47040	0	0	48.024026630961096	48.024026630961096	48.024026630961096	48.024026630961096	36.864849391685,40.87781738103823,40.87781738103823,40.87781738103823,41.86447856830435,41.86447856830435,41.86447856830435,41.86447856830435,41.86447856830435,45.12189313496534,46.108520452165536,46.108520452165536,48.024026630961096,48.024026630961096	0.9960817657423182	48.024026630961096	0	true	192
26	15	15	1	80	420	3360	0	0	54.29181261395656	54.29181261395656	54.29181261395656	54.29181261395656	54.29181261395656	0.9960817657423182	54.29181261395656	0	true	15
27	16	16	48	4032	20160	161280	0	0	55.17024216605569	55.17024216605569	55.17024216605569	55.17024216605569	51.92690095029759,51.92690095029759,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,53.551277298590115,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,54.361294054964226,55.17024216605569,55.17024216605569	0.9956494323041942	55.17024216605569	0	true	107
28	17	17	11	968	4620	36960	0	0	55.95744500434931	55.95744500434931	55.95744500434931	55.95744500434931	55.85739117474571,55.85739117474571,55.85739117474571,55.93683023208383,55.93683023208383,55.93683023208383,55.93683023208383,55.93683023208383,55.93683023208383,55.95744500434931,55.95744500434931	0.9954391326280697	55.95744500434931	0	true	8
29	18	18	8	736	3360	26880	0	0	56.62588566974963	56.62588566974963	56.62588566974963	56.62588566974963	54.322406435732894,54.322406435732894,54.322406435732894,54.39425771648621,55.162635853256866,55.70793313080646,56.62588566974963,56.62588566974963	0.9950458031451738	56.62588566974963	0	true	4
30	20	20	18	1800	7560	60480	0	0	60.4445671519966	60.4445671519966	60.4445671519966	60.4445671519966	58.2846437300769,58.2846437300769,58.2846437300769,59.084634952911905,59.35765831831947,59.35765831831947,59.35765831831947,59.35765831831947,59.42849947791286,59.02954582809411,59.02954582809411,59.02954582809411,59.24525330893116,59.24525330893116,59.24525330893116,59.24525330893116,60.4445671519966,60.4445671519966	0.9948494308420032	60.4445671519966	0	true	34
31	20	19	22	2112	9240	73920	0	0	51.989458569944084	51.989458569944084	51.989458569944084	51.989458569944084	44.38777405619852,44.38777405619852,47.18767053823207,48.98842267236806,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.910710629229264,51.989458569944084,51.989458569944084	0.9942757766064	51.989458569944084	0	true	13
32	22	20	37	3700	15540	124320	0	0	51.69142853163096	51.69142853163096	51.69142853163096	51.69142853163096	47.043418586042776,47.043418586042776,47.043418586042776,47.833658374840624,47.833658374840624,47.833658374840624,47.833658374840624,47.833658374840624,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,50.770016271525975,51.69142853163096,51.69142853163096	0.9932684729604259	51.69142853163096	0	true	34
33	23	20	17	1700	7140	57120	0	0	52.93790657228236	52.93790657228236	52.93790657228236	52.93790657228236	50.742196144127284,51.33839734067108,51.33839734067108,51.33839734067108,51.33839734067108,51.33839734067108,52.037825185228485,52.037825185228485,52.037825185228485,52.037825185228485,52.037825185228485,52.037825185228485,52.037825185228485,52.037825185228485,52.037825185228485,52.93790657228236,52.93790657228236	0.9929743531630855	52.93790657228236	0	true	6
34	24	23	7	784	2940	23520	0	0	58.52316462087969	58.52316462087969	58.52316462087969	58.52316462087969	55.11409798757888,55.11409798757888,56.0857702935774,56.0857702935774,57.72231575259466,58.52316462087969,58.52316462087969	0.9927621526381588	58.52316462087969	0	true	4
