# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: dead82a1-944f-4aca-9678-2e384c4e43fa
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	9	720	3780	30240	0	0	48.10621803721595	48.10621803721595	48.10621803721595	48.10621803721595	39.606998793706126,39.606998793706126,45.141323323315234,47.120826009590644,47.120826009590644,47.120826009590644,47.120826009590644,48.10621803721595,48.10621803721595	0.9960817657423182	48.10621803721595	0	true	177
26	15	15	1	80	420	3360	0	0	54.50793415595768	54.50793415595768	54.50793415595768	54.50793415595768	54.50793415595768	0.9960817657423182	54.50793415595768	0	true	4
27	15	15	1	80	420	3360	0	0	56.46578487605944	56.46578487605944	56.46578487605944	56.46578487605944	56.46578487605944	0.9960817657423182	56.46578487605944	0	true	4
28	15	15	3	240	1260	10080	0	0	58.242354190912124	58.242354190912124	58.242354190912124	58.242354190912124	58.21685217111704,58.242354190912124,58.242354190912124	0.9960817657423182	58.242354190912124	0	true	28
29	15	15	10	800	4200	33600	0	0	56.79652929304871	56.79652929304871	56.79652929304871	56.79652929304871	54.332824335666615,54.332824335666615,54.332824335666615,54.332824335666615,55.135424364819684,55.89930066830871,55.89930066830871,55.89930066830871,56.79652929304871,56.79652929304871	0.9956704147505866	56.79652929304871	0	true	20
30	17	17	15	1320	6300	50400	0	0	58.113325122878564	58.113325122878564	58.113325122878564	58.113325122878564	56.32164798539603,57.12172276262798,57.12172276262798,57.12172276262798,57.12172276262798,57.92211387127921,57.92211387127921,57.92211387127921,57.92211387127921,57.92211387127921,58.00715865215351,58.00715865215351,58.00715865215351,58.113325122878564,58.113325122878564	0.9952702495229601	58.113325122878564	0	true	20
31	18	17	15	1320	6300	50400	0	0	56.85403891912927	56.85403891912927	56.85403891912927	56.85403891912927	53.22489414317459,54.88511495047694,53.31450121692679,50.466138089310746,50.466138089310746,50.95687169647918,51.34019923976193,51.34019923976193,55.85372083511647,55.85372083511647,55.85372083511647,55.85372083511647,55.85372083511647,56.85403891912927,56.85403891912927	0.9952827512593122	56.85403891912927	0	true	39
32	19	18	9	828	3780	30240	0	0	60.65963129041714	60.65963129041714	60.65963129041714	60.65963129041714	58.824785003257375,58.824785003257375,58.824785003257375,59.06859024588892,59.06859024588892,59.06859024588892,59.65900714574231,60.65963129041714,60.65963129041714	0.9950551246152608	60.65963129041714	0	true	15
33	20	20	9	900	3780	30240	0	0	59.79652110202788	59.79652110202788	59.79652110202788	59.79652110202788	59.76947318484792,59.76947318484792,59.76947318484792,59.76947318484792,59.76947318484792,59.76947318484792,59.76947318484792,59.79652110202788,59.79652110202788	0.994037585629583	59.79652110202788	0	true	5
34	21	21	2	208	840	6720	0	0	56.26786176948881	56.26786176948881	56.26786176948881	56.26786176948881	56.26786176948881,56.26786176948881	0.9933785028622396	56.26786176948881	0	true	7
35	21	21	1	104	420	3360	0	0	55.54022678761654	55.54022678761654	55.54022678761654	55.54022678761654	55.54022678761654	0.9930950205072342	55.54022678761654	0	true	2
36	23	23	8	896	3360	26880	0	0	58.33970807610754	58.33970807610754	58.33970807610754	58.33970807610754	57.19518466325932,57.19518466325932,56.9188916340391,56.9188916340391,57.122499807654584,57.122499807654584,58.33970807610754,58.33970807610754	0.9928066763658695	58.33970807610754	0	true	5
37	24	24	5	580	2100	16800	0	0	61.89923530652322	61.89923530652322	61.89923530652322	61.89923530652322	60.18200718072777,60.18200718072777,61.11195885959461,61.89923530652322,61.89923530652322	0.9924513638590157	61.89923530652322	0	true	10
38	25	24	5	580	2100	16800	0	0	61.556581653943326	61.556581653943326	61.556581653943326	61.556581653943326	58.84064532586841,60.55678966226833,60.55678966226833,61.556581653943326,61.556581653943326	0.9924952661553871	61.556581653943326	0	true	5
39	27	26	24	2976	10080	80640	0	0	65.70182399246127	65.70182399246127	65.70182399246127	65.70182399246127	63.21565342019794,63.21565342019794,63.96428337970101,64.40158002506881,64.89282024085546,64.89282024085546,64.89282024085546,64.94255429308127,64.94255429308127,64.94255429308127,64.94255429308127,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.41956479113037,65.70182399246127,65.70182399246127	0.9921932505245611	65.70182399246127	0	true	10
40	29	26	30	3720	12600	100800	0	0	65.68810404932262	65.68810404932262	65.68810404932262	65.68810404932262	61.792879438641165,61.792879438641165,61.792879438641165,61.792879438641165,63.479796785694134,63.479796785694134,63.479796785694134,63.479796785694134,63.479796785694134,63.665943540178944,63.665943540178944,63.665943540178944,65.66480602179399,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.66502602095254,65.68810404932262,65.68810404932262	0.9918445909885146	65.68810404932262	0	true	44
41	29	26	2	248	840	6720	0	0	67.79993161112988	67.79993161112988	67.79993161112988	67.79993161112988	67.79993161112988,67.79993161112988	0.9913489081085823	67.79993161112988	0	true	3
42	29	23	30	3360	12600	100800	0	0	56.20404895882131	56.20404895882131	56.20404895882131	56.20404895882131	52.356393325679235,51.75690303407153,52.75749784686606,52.75749784686606,51.52965166003929,51.52965166003929,51.52965166003929,54.310492948179345,54.310492948179345,54.01023590373678,50.489357621730974,50.489357621730974,50.489357621730974,50.489357621730974,50.489357621730974,50.489357621730974,50.489357621730974,50.489357621730974,53.22641934760652,53.22641934760652,53.22641934760652,53.22641934760652,53.22641934760652,53.22641934760652,55.20410654485442,55.20410654485442,55.20410654485442,55.20410654485442,56.20404895882131,56.20404895882131	0.991088893925326	56.20404895882131	0	true	40
43	29	23	6	672	2520	20160	0	0	59.3566216311988	59.3566216311988	59.3566216311988	59.3566216311988	53.96911575987939,54.13953500496433,57.987276159892694,57.987276159892694,59.3566216311988,59.3566216311988	0.9909987498263649	59.3566216311988	0	true	4
44	31	27	22	2816	9240	73920	0	0	65.53188133195646	65.53188133195646	65.53188133195646	65.53188133195646	60.62666765418529,60.62666765418529,61.45101119004809,61.45101119004809,61.45101119004809,62.25133716893577,62.25133716893577,62.25133716893577,62.25133716893577,62.72497365184069,62.72497365184069,63.883530748437494,62.37546651699975,63.17535126218827,63.97637532076365,63.97637532076365,63.97637532076365,64.00551781486138,64.00551781486138,64.00551781486138,65.53188133195646,65.53188133195646	0.9907794211184305	65.53188133195646	0	true	8
45	31	24	9	1044	3780	30240	0	0	60.66552250860508	60.66552250860508	60.66552250860508	60.66552250860508	49.7855771928353,55.818002145458834,56.98770680241735,56.98770680241735,56.98770680241735,59.665467014938415,59.365297300662625,60.66552250860508,60.66552250860508	0.9908800929953722	60.66552250860508	0	true	16
46	31	24	1	116	420	3360	0	0	63.032445754368695	63.032445754368695	63.032445754368695	63.032445754368695	63.032445754368695	0.9908800929953722	63.032445754368695	0	true	2
47	31	25	7	840	2940	23520	0	0	63.95894684166629	63.95894684166629	63.95894684166629	63.95894684166629	62.03350305167039,62.83373067759286,63.80632837903295,63.953675025712585,63.953675025712585,63.95894684166629,63.95894684166629	0.9906470562431917	63.95894684166629	0	true	7
48	31	25	4	480	1680	13440	0	0	61.023127443612594	61.023127443612594	61.023127443612594	61.023127443612594	59.3359266983727,60.03623902351316,61.023127443612594,61.023127443612594	0.9904737865639235	61.023127443612594	0	true	4
49	32	24	11	1276	4620	36960	0	0	57.047420402986944	57.047420402986944	57.047420402986944	57.047420402986944	50.55873991003295,50.635264010229015,50.635264010229015,53.741200007201556,53.741200007201556,56.04812462724446,56.04812462724446,56.04812462724446,56.04812462724446,57.047420402986944,57.047420402986944	0.9902523742332635	57.047420402986944	0	true	19
50	32	24	1	116	420	3360	0	0	58.46739002474874	58.46739002474874	58.46739002474874	58.46739002474874	58.46739002474874	0.9902155270103302	58.46739002474874	0	true	3
51	32	24	4	464	1680	13440	0	0	57.62787337574039	57.62787337574039	57.62787337574039	57.62787337574039	54.8857496785845,55.628446373349334,57.62787337574039,57.62787337574039	0.9902533612124491	57.62787337574039	0	true	6
52	32	24	1	116	420	3360	0	0	58.850692005627835	58.850692005627835	58.850692005627835	58.850692005627835	58.850692005627835	0.9902533612124491	58.850692005627835	0	true	3
53	32	23	11	1232	4620	36960	0	0	53.25904313383751	53.25904313383751	53.25904313383751	53.25904313383751	46.752841781585715,49.58746350887955,51.542535046303286,52.24231031830068,52.24231031830068,53.25637945605399,53.25637945605399,53.25637945605399,53.25637945605399,53.25904313383751,53.25904313383751	0.9903821071640068	53.25904313383751	0	true	6
54	32	22	1	108	420	3360	0	0	52.39944568206464	52.39944568206464	52.39944568206464	52.39944568206464	52.39944568206464	0.9904163224424446	52.39944568206464	2	true	4
55	32	21	26	2704	10920	87360	0	0	48.37403995319521	48.37403995319521	48.37403995319521	48.37403995319521	46.944509097125064,46.944509097125064,46.944509097125064,46.944509097125064,46.944509097125064,48.18420691021003,48.18420691021003,48.18420691021003,48.2154554432426,48.25378927324921,48.28169854036611,48.28169854036611,48.28169854036611,48.28169854036611,48.28169854036611,48.28169854036611,48.28169854036611,48.28169854036611,48.28169854036611,48.373810201161696,48.373810201161696,48.373810201161696,48.373810201161696,48.373810201161696,48.37403995319521,48.37403995319521	0.9904738962282774	48.37403995319521	1	true	6
56	32	20	18	1800	7560	60480	0	0	44.32534677218217	44.32534677218217	44.32534677218217	44.32534677218217	43.02862798727658,41.91190164010077,41.91190164010077,41.91190164010077,41.91190164010077,41.91190164010077,41.91190164010077,41.91190164010077,44.20919397453877,44.20919397453877,44.20919397453877,44.20919397453877,44.22788111635278,44.22788111635278,44.22788111635278,44.22788111635278,44.32534677218217,44.32534677218217	0.99027715837726	44.32534677218217	2	true	5
57	32	20	6	600	2520	20160	0	0	44.22714052669727	44.22714052669727	44.22714052669727	44.22714052669727	42.32711539907994,42.32711539907994,42.32711539907994,42.32711539907994,44.22714052669727,44.22714052669727	0.9901679326807086	44.22714052669727	2	true	3
58	32	18	29	2668	12180	97440	0	0	32.0431568410725	32.0431568410725	32.0431568410725	32.0431568410725	18.56308629655105,27.91880296807595,27.91880296807595,27.91880296807595,27.91880296807595,27.91880296807595,31.682728566141222,31.682728566141222,31.682728566141222,31.682728566141222,31.682728566141222,31.682728566141222,31.682728566141222,31.71450891026878,31.71450891026878,31.71450891026878,31.71450891026878,31.71450891026878,31.71450891026878,31.71450891026878,31.71450891026878,31.71450891026878,32.01353047112217,32.01353047112217,32.01353047112217,32.01353047112217,32.01353047112217,32.0431568410725,32.0431568410725	0.9902130047301893	32.0431568410725	0	true	9
