# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: f7f604e4-fe72-443d-b9c9-4fc21ccbbb10
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 21agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	15	1200	6300	50400	0	0	48.29783593310582	48.29783593310582	48.29783593310582	48.29783593310582	45.137961180847626,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,46.36023472589841,48.29783593310582,48.29783593310582	0.9960817657423182	48.29783593310582	0	true	205
26	15	15	15	1200	6300	50400	0	0	54.132928539817335	54.132928539817335	54.132928539817335	54.132928539817335	52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,52.465874262199776,53.32558982270941,53.32558982270941,54.132928539817335,54.132928539817335	0.9958718681688247	54.132928539817335	0	true	37
27	17	17	22	1936	9240	73920	0	0	55.577161867672615	55.577161867672615	55.577161867672615	55.577161867672615	53.84561800716992,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,54.62417113633815,55.577161867672615,55.577161867672615	0.9953534847676211	55.577161867672615	0	true	46
28	18	18	15	1380	6300	50400	0	0	57.08304955777522	57.08304955777522	57.08304955777522	57.08304955777522	53.659778581126645,54.412933601409584,55.198698312519646,55.198698312519646,56.02080135057649,56.02080135057649,56.74588270473118,56.74588270473118,56.74588270473118,56.74588270473118,56.74588270473118,56.74588270473118,56.74588270473118,57.08304955777522,57.08304955777522	0.9952459040363794	57.08304955777522	0	true	19
29	20	20	5	500	2100	16800	0	0	61.0755439071669	61.0755439071669	61.0755439071669	61.0755439071669	59.956498173949186,60.091116477380936,60.091116477380936,61.0755439071669,61.0755439071669	0.9948494308420032	61.0755439071669	0	true	3
30	20	20	1	100	420	3360	0	0	63.292925470197424	63.292925470197424	63.292925470197424	63.292925470197424	63.292925470197424	0.9947698145210228	63.292925470197424	0	true	15
31	23	22	13	1404	5460	43680	0	0	56.148598466091116	56.148598466091116	56.148598466091116	56.148598466091116	46.36111408598662,49.2687872079245,50.03935648340703,51.745884818081706,54.546383438021515,56.05507379020504,56.06104052034618,56.06104052034618,56.06104052034618,56.06104052034618,56.06104052034618,56.148598466091116,56.148598466091116	0.9930921326792465	56.148598466091116	0	true	14
32	23	22	1	108	420	3360	0	0	57.37329391465316	57.37329391465316	57.37329391465316	57.37329391465316	57.37329391465316	0.9929075675715195	57.37329391465316	0	true	3
33	24	23	2	224	840	6720	0	0	58.96196037046039	58.96196037046039	58.96196037046039	58.96196037046039	58.96196037046039,58.96196037046039	0.9926632353908803	58.96196037046039	0	true	4
34	24	23	1	112	420	3360	0	0	60.07868105724066	60.07868105724066	60.07868105724066	60.07868105724066	60.07868105724066	0.992453337817387	60.07868105724066	0	true	3
35	25	24	9	1044	3780	30240	0	0	61.78259895178207	61.78259895178207	61.78259895178207	61.78259895178207	60.98299884009052,60.98299884009052,60.98299884009052,60.98299884009052,60.98299884009052,60.98299884009052,60.98299884009052,61.78259895178207,61.78259895178207	0.9923278086868792	61.78259895178207	0	true	5
36	26	25	12	1440	5040	40320	0	0	64.10720264904428	64.10720264904428	64.10720264904428	64.10720264904428	60.88871860624196,60.88871860624196,62.546983252625786,62.546983252625786,63.34739198768225,63.34739198768225,63.34739198768225,63.34739198768225,63.34739198768225,63.34739198768225,64.10720264904428,64.10720264904428	0.9921825765274417	64.10720264904428	0	true	8
37	26	24	5	580	2100	16800	0	0	63.222286809773344	63.222286809773344	63.222286809773344	63.222286809773344	62.504595541749254,61.92292771534852,61.92292771534852,63.222286809773344,63.222286809773344	0.992101315241152	63.222286809773344	0	true	18
38	29	27	24	3072	10080	80640	0	0	66.72759262612489	66.72759262612489	66.72759262612489	66.72759262612489	63.262748762872924,63.262748762872924,63.262748762872924,63.262748762872924,63.262748762872924,63.262748762872924,63.262748762872924,65.16308646655081,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,65.94260213204497,66.72759262612489,66.72759262612489	0.9906486646537166	66.72759262612489	0	true	24
39	29	28	12	1584	5040	40320	0	0	66.89517684667082	66.89517684667082	66.89517684667082	66.89517684667082	63.69642477405859,64.513489376388,64.513489376388,64.513489376388,64.513489376388,64.513489376388,65.31421498032826,66.11464467950144,66.11464467950144,66.11464467950144,66.89517684667082,66.89517684667082	0.9903078278415861	66.89517684667082	0	true	8
40	34	31	6	864	2520	20160	0	0	67.5808460972289	67.5808460972289	67.5808460972289	67.5808460972289	65.58423893076588,65.28146824677663,65.28146824677663,65.28146824677663,67.5808460972289,67.5808460972289	0.9897793918746026	67.5808460972289	0	true	8
41	35	30	12	1680	5040	40320	0	0	67.75320708347923	67.75320708347923	67.75320708347923	67.75320708347923	62.51156276956287,62.51156276956287,62.51156276956287,62.51156276956287,62.51156276956287,65.76731580288701,65.76731580288701,65.76731580288701,65.76731580288701,65.76731580288701,67.75320708347923,67.75320708347923	0.9895721262456043	67.75320708347923	0	true	14
42	36	28	5	660	2100	16800	0	0	65.24000784917382	65.24000784917382	65.24000784917382	65.24000784917382	59.501604120677854,61.20210078558006,61.20210078558006,65.24000784917382,65.24000784917382	0.9896136159261888	65.24000784917382	0	true	5
43	36	30	36	5040	15120	120960	0	0	66.96785392395782	66.96785392395782	66.96785392395782	66.96785392395782	61.020043908630825,62.685330419674514,64.65097799539132,66.25044189698484,66.25044189698484,66.25044189698484,66.25044189698484,66.25044189698484,66.59412891767334,66.59412891767334,66.59412891767334,66.6292329013743,66.6292329013743,66.6292329013743,66.6292329013743,66.6292329013743,66.6292329013743,66.6292329013743,66.6292329013743,66.6292329013743,66.6292329013743,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.93350149967462,66.96785392395782,66.96785392395782	0.9891239645857246	66.96785392395782	0	true	28
44	36	29	16	2176	6720	53760	0	0	63.47283348148358	63.47283348148358	63.47283348148358	63.47283348148358	59.18446481127903,61.11698850656262,62.70912591164378,62.70912591164378,62.70912591164378,62.70912591164378,62.70912591164378,62.281403900112096,62.281403900112096,62.281403900112096,62.281403900112096,62.281403900112096,62.281403900112096,62.281403900112096,63.47283348148358,63.47283348148358	0.9889892967590529	63.47283348148358	0	true	10
45	38	29	12	1632	5040	40320	0	0	59.74942798899895	59.74942798899895	59.74942798899895	59.74942798899895	38.58353615968619,38.58353615968619,38.58353615968619,51.55069703417016,54.931519901468675,54.931519901468675,57.62616336788409,58.94855626556228,58.94855626556228,58.94855626556228,59.74942798899895,59.74942798899895	0.988295633165425	59.74942798899895	0	true	16
46	38	32	10	1480	4200	33600	0	0	62.908383157514585	62.908383157514585	62.908383157514585	62.908383157514585	60.89302732178484,60.89302732178484,61.240836557603956,61.240836557603956,61.41705451511681,61.59819743488621,61.59819743488621,62.53949134314572,62.908383157514585,62.908383157514585	0.9879867086802994	62.908383157514585	0	true	10
47	38	32	8	1184	3360	26880	0	0	64.6246390105695	64.6246390105695	64.6246390105695	64.6246390105695	62.41855838728608,62.41855838728608,62.50662352065616,64.20648404205853,64.20648404205853,64.20648404205853,64.6246390105695,64.6246390105695	0.9879478874989948	64.6246390105695	0	true	6
48	38	33	1	152	420	3360	0	0	65.86303572235693	65.86303572235693	65.86303572235693	65.86303572235693	65.86303572235693	0.9879416366308188	65.86303572235693	0	true	8
49	38	33	13	1976	5460	43680	0	0	64.29033086879637	64.29033086879637	64.29033086879637	64.29033086879637	63.82579280943006,63.82579280943006,63.82579280943006,63.82579280943006,63.82579280943006,63.82579280943006,64.07681639604586,64.07681639604586,64.07681639604586,64.07681639604586,64.07681639604586,64.29033086879637,64.29033086879637	0.9877305327494317	64.29033086879637	0	true	5
50	39	33	7	1064	2940	23520	0	0	63.20452829163688	63.20452829163688	63.20452829163688	63.20452829163688	62.044773580093675,62.044773580093675,62.044773580093675,62.044773580093675,62.044773580093675,63.20452829163688,63.20452829163688	0.9876317982760765	63.20452829163688	0	true	5
51	39	32	10	1480	4200	33600	0	0	62.405934715568385	62.405934715568385	62.405934715568385	62.405934715568385	58.55538301559895,58.55538301559895,58.55538301559895,58.55538301559895,58.55538301559895,58.55538301559895,58.55538301559895,61.208220845888235,62.405934715568385,62.405934715568385	0.9876867401174142	62.405934715568385	0	true	4
52	39	32	6	888	2520	20160	0	0	62.740507227172415	62.740507227172415	62.740507227172415	62.740507227172415	60.264926753127625,61.11111448881935,61.11111448881935,61.91187839158781,62.740507227172415,62.740507227172415	0.9872536755835972	62.740507227172415	0	true	4
53	39	34	29	4524	12180	97440	0	0	64.29342846223079	64.29342846223079	64.29342846223079	64.29342846223079	62.12956205747751,62.22724419115495,62.48107148658231,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,63.49326348665877,64.29342846223079,64.29342846223079	0.9866602817642803	64.29342846223079	0	true	7
54	39	34	1	156	420	3360	0	0	66.01550318456736	66.01550318456736	66.01550318456736	66.01550318456736	66.01550318456736	0.9866602817642803	66.01550318456736	0	true	3
55	41	36	14	2296	5880	47040	0	0	66.41065013262683	66.41065013262683	66.41065013262683	66.41065013262683	65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,65.60988086373817,66.41065013262683,66.41065013262683	0.9863222596705684	66.41065013262683	0	true	5
56	41	36	32	5248	13440	107520	0	0	64.029655313711	64.029655313711	64.029655313711	64.029655313711	55.160984838505314,55.160984838505314,58.69398864491025,63.641270460891484,63.641270460891484,63.641270460891484,63.641270460891484,63.641270460891484,63.641270460891484,63.641270460891484,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,62.135484605449875,63.9136077529876,63.9136077529876,63.9136077529876,63.9136077529876,63.9136077529876,63.9136077529876,63.9136077529876,63.9136077529876,64.029655313711,64.029655313711	0.9859762686338017	64.029655313711	0	true	21
57	43	39	15	2640	6300	50400	0	0	65.0989387799649	65.0989387799649	65.0989387799649	65.0989387799649	58.17700071033551,60.99909036010677,60.99909036010677,61.75450491544252,62.80661113741122,63.56501201351822,63.56501201351822,63.56501201351822,64.3648631789597,64.3648631789597,64.3648631789597,64.3648631789597,64.3648631789597,65.0989387799649,65.0989387799649	0.9846580665443301	65.0989387799649	0	true	6
58	44	41	33	6072	13860	110880	0	0	67.14279303009016	67.14279303009016	67.14279303009016	67.14279303009016	65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,65.5681464505714,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,66.36144162933952,67.14279303009016,67.14279303009016	0.9843765215929113	67.14279303009016	0	true	9
59	46	42	1	188	420	3360	0	0	67.5278347838003	67.5278347838003	67.5278347838003	67.5278347838003	67.5278347838003	0.984069571066157	67.5278347838003	0	true	7
