# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 20
# run: 121ad55c-0ae1-4c0d-9935-0f3256d299b8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	25	2150	17550	140400	0	0	57.67862003079806	57.67862003079806	57.67862003079806	57.67862003079806	31.933983468965664,39.28497084701436,40.21598167458327,45.40730314398935,45.01203774575961,51.31945446321069,51.31945446321069,53.33215799710641,53.33215799710641,56.54898525897615,56.54898525897615,56.54898525897615,56.54898525897615,56.58217716930372,56.58217716930372,56.58217716930372,56.58217716930372,56.58217716930372,54.71091787929906,54.71091787929906,54.71091787929906,54.71091787929906,55.68730335114597,57.67862003079806,57.67862003079806	0.9964291824156865	57.67862003079806	0	true	308
26	15	15	18	1548	12636	101088	0	0	65.87755937835544	65.87755937835544	65.87755937835544	65.87755937835544	64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,64.90103281938146,65.87755937835544,65.87755937835544	0.9960817657423182	65.87755937835544	0	true	90
27	15	15	1	86	702	5616	0	0	69.04294964895365	69.04294964895365	69.04294964895365	69.04294964895365	69.04294964895365	0.9960817657423182	69.04294964895365	0	true	7
28	15	15	1	86	702	5616	0	0	71.6465709644803	71.6465709644803	71.6465709644803	71.6465709644803	71.6465709644803	0.9960817657423182	71.6465709644803	0	true	6
29	15	15	4	344	2808	22464	0	0	71.5863368662872	71.5863368662872	71.5863368662872	71.5863368662872	69.36020951637296,71.55988090203029,71.5863368662872,71.5863368662872	0.9959128826372083	71.5863368662872	0	true	6
30	15	15	1	86	702	5616	0	0	70.92223979628575	70.92223979628575	70.92223979628575	70.92223979628575	70.92223979628575	0.9957029850637148	70.92223979628575	0	true	13
31	17	17	19	1786	13338	106704	0	0	70.48080440109663	70.9959126921271	70.48080440109663	71.07038329274785	66.8527956323327,67.621232200519,68.42183428430998,69.21089837185563,69.21089837185563,70.01089051611896,70.01089051611896,70.01089051611896,70.9959126921271,70.9959126921271,70.9959126921271,70.9959126921271,70.9959126921271,70.9959126921271,70.9959126921271,69.3633125672986,69.3633125672986,70.48080440109663,70.48080440109663	0.9952702495229601	70.9959126921271	0	true	19
32	17	17	5	470	3510	28080	0	0	72.95913741230757	72.95913741230757	72.95913741230757	72.95913741230757	72.81881687548858,72.81881687548858,72.81881687548858,72.95913741230757,72.95913741230757	0.9952702495229601	72.95913741230757	0	true	5
33	18	17	14	1316	9828	78624	0	0	70.53544543637555	70.53544543637555	70.53544543637555	70.53544543637555	67.63146123049873,67.63146123049873,68.63129732321077,68.63129732321077,69.3170407169322,69.3170407169322,69.3170407169322,69.3170407169322,69.3170407169322,69.3170407169322,69.3170407169322,69.3170407169322,70.53544543637555,70.53544543637555	0.995101293308281	70.53544543637555	0	true	21
34	19	19	18	1836	12636	101088	0	0	75.60108327917186	75.60108327917186	75.60108327917186	75.60108327917186	69.41797050656764,69.41797050656764,69.41797050656764,70.25294067233719,71.07003732523643,73.70126442028403,73.70126442028403,74.60110206045951,74.60110206045951,74.60110206045951,74.60110206045951,74.60110206045951,74.60110206045951,74.60110206045951,74.60110206045951,74.60110206045951,75.60108327917186,75.60108327917186	0.994622718067568	75.60108327917186	0	true	13
35	19	18	17	1666	11934	95472	0	0	63.751438527187105	63.751438527187105	63.751438527187105	63.751438527187105	61.04140299877676,61.04140299877676,62.84209846286598,62.95097279314588,62.95097279314588,62.95097279314588,62.95097279314588,62.68116062179236,62.68116062179236,62.68116062179236,62.68116062179236,62.95097279314588,62.95097279314588,62.95097279314588,62.95097279314588,63.751438527187105,63.751438527187105	0.99394554068182	63.751438527187105	1	true	12
36	21	18	15	1470	10530	84240	0	0	55.75574156286762	55.75574156286762	55.75574156286762	55.75574156286762	52.07171964298498,52.07171964298498,53.05604090813336,53.05604090813336,54.126663852080654,54.126663852080654,55.75562996334271,55.75562996334271,55.75562996334271,55.75562996334271,55.75562996334271,55.75562996334271,55.75562996334271,55.75574156286762,55.75574156286762	0.9931739057325214	55.75574156286762	1	true	11
37	21	18	15	1470	10530	84240	0	0	57.73366388164997	57.73366388164997	57.73366388164997	57.73366388164997	55.16774159239624,44.18046966883922,48.980791824693526,48.980791824693526,48.980791824693526,55.85046044604073,57.64442000884849,57.64442000884849,57.64442000884849,57.64442000884849,57.64442000884849,57.64442000884849,57.64442000884849,57.73366388164997,57.73366388164997	0.9931538371557452	57.73366388164997	1	true	24
38	21	18	5	490	3510	28080	0	0	57.343992241448454	57.343992241448454	57.343992241448454	57.343992241448454	54.28333145264291,54.28333145264291,54.584698344709125,57.343992241448454,57.343992241448454	0.9931739057325214	57.343992241448454	1	true	5
39	21	18	33	3234	23166	185328	0	0	59.30840222334506	59.30840222334506	59.30840222334506	59.30840222334506	56.53907304722603,56.53907304722603,56.53907304722603,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,58.43996698703618,59.20929616315522,59.20929616315522,59.20929616315522,59.20929616315522,59.30840222334506,59.30840222334506	0.9929439395822518	59.30840222334506	1	true	39
40	21	18	8	784	5616	44928	0	0	57.1226552129608	57.1226552129608	57.1226552129608	57.1226552129608	56.12305999616471,56.12305999616471,56.12305999616471,56.12305999616471,56.12305999616471,56.12305999616471,57.1226552129608,57.1226552129608	0.9929640081590281	57.1226552129608	1	true	5
41	22	17	12	1128	8424	67392	0	0	51.254873535699545	51.254873535699545	51.254873535699545	51.254873535699545	45.386710040116476,47.86466923237382,48.45002992706494,48.45002992706494,50.34867968724191,50.34867968724191,49.092446424739194,49.092446424739194,49.092446424739194,49.092446424739194,51.254873535699545,51.254873535699545	0.9928929456576572	51.254873535699545	2	true	15
42	22	19	14	1428	9828	78624	0	0	59.5100790273271	59.5100790273271	59.5100790273271	59.5100790273271	53.05540616778677,53.05540616778677,55.53327014123543,56.055602691590906,56.055602691590906,56.632947172169494,56.892623933102364,56.892623933102364,57.59268316113014,57.59268316113014,58.49270607798649,58.7367561662598,59.5100790273271,59.5100790273271	0.9928070784685009	59.5100790273271	0	true	9
43	22	18	27	2646	18954	151632	0	0	56.85980720972535	56.85980720972535	56.85980720972535	56.85980720972535	54.95977357282585,54.95977357282585,54.74548806417463,54.74548806417463,54.74548806417463,54.74548806417463,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84590229039918,56.84643234295317,56.84643234295317,56.84643234295317,56.84643234295317,56.84643234295317,56.85980720972535,56.85980720972535	0.9924382041365395	56.85980720972535	1	true	7
44	22	18	5	490	3510	28080	0	0	56.39455937231305	56.456332345526214	56.39455937231305	57.29636317571623	56.456332345526214,56.35420677068072,56.39400863172786,56.39455937231305,56.39455937231305	0.9924705551209599	56.456332345526214	2	true	7
45	22	17	70	6580	49140	393120	0	0	47.855825199503705	47.855825199503705	47.855825199503705	47.855825199503705	42.44199659735984,45.733429235930366,42.88502689396446,42.88502689396446,44.00581659766168,45.019876427989914,46.109497738402304,46.14020195123161,47.80277081942017,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.8035037659011,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.85580360292674,47.855825199503705,47.855825199503705	0.9922744752560664	47.855825199503705	3	true	25
46	23	19	8	816	5616	44928	0	0	55.37835346506584	55.37835346506584	55.37835346506584	55.37835346506584	50.70371198029429,51.64297252411836,53.35443791921462,53.35443791921462,53.9076883575306,54.77622356375363,55.37835346506584,55.37835346506584	0.9920892887170003	55.37835346506584	1	true	4
47	23	19	1	102	702	5616	0	0	55.027543594464504	55.027543594464504	55.027543594464504	55.027543594464504	55.027543594464504	0.9919167866882096	55.027543594464504	1	true	3
48	23	17	22	2068	15444	123552	0	0	44.18085701808648	44.18085701808648	44.18085701808648	44.18085701808648	40.52335644582426,40.56028210699296,40.56028210699296,42.293982926346985,42.293982926346985,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.71412716632942,43.75098056470552,43.75098056470552,44.18041983537585,44.18085701808648,44.18085701808648	0.992012852662285	44.18085701808648	2	true	7
49	23	16	6	540	4212	33696	0	0	39.14240375742243	39.14240375742243	39.14240375742243	39.14240375742243	37.38357270536605,37.38357270536605,37.38357270536605,38.24187780985141,39.14240375742243,39.14240375742243	0.9918369875933062	39.14240375742243	3	false	6
50	25	18	41	4018	28782	230256	0	0	50.23009227334736	50.23009227334736	50.23009227334736	50.23009227334736	41.43085539163012,38.672162559574474,43.10783504642265,43.53854087190267,37.44790877679108,39.09259000541413,43.33445679811226,43.33445679811226,45.4673582616707,47.40882660582689,48.47003733747935,48.47003733747935,48.47003733747935,48.47003733747935,49.24224068825935,49.83954702265084,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.13979502347134,50.23009227334736,50.23009227334736	0.9914653716524956	50.23009227334736	1	true	19
51	25	19	16	1632	11232	89856	0	0	56.151894628485934	56.151894628485934	56.151894628485934	56.151894628485934	54.88963512541735,54.75648890869209,54.75648890869209,55.28291198616648,54.45966735955582,54.45966735955582,54.45966735955582,54.45966735955582,54.45966735955582,54.45966735955582,54.45966735955582,54.28219338337176,54.28219338337176,54.28219338337176,56.151894628485934,56.151894628485934	0.9914566716137475	56.151894628485934	0	true	9
52	25	18	1	98	702	5616	0	0	53.671146264680104	53.671146264680104	53.671146264680104	53.671146264680104	53.671146264680104	0.9914995503761487	53.671146264680104	2	true	5
53	25	18	1	98	702	5616	0	0	54.84528363580296	54.84528363580296	54.84528363580296	54.84528363580296	54.84528363580296	0.9914995503761487	54.84528363580296	2	true	3
54	25	17	3	282	2106	16848	0	0	53.00056787919912	53.00056787919912	53.00056787919912	53.00056787919912	52.02291709649725,53.00056787919912,53.00056787919912	0.9915082504148968	53.00056787919912	3	true	4
55	25	17	1	94	702	5616	0	0	54.30941602324388	54.30941602324388	54.30941602324388	54.30941602324388	54.30941602324388	0.9915082504148968	54.30941602324388	3	true	3
