# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 18
# run: 17ff13f4-5062-4e55-84bb-8c5c6d02ffe2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	13	13	17	1326	11934	95472	0	0	55.30416058135192	55.30416058135192	55.30416058135192	55.30416058135192	34.53089382678232,42.743397782446024,42.743397782446024,43.674438429796425,50.19718001878077,51.171095497750315,51.171095497750315,51.171095497750315,51.171095497750315,53.3528327247888,53.3528327247888,54.313072991597735,54.313072991597735,54.313072991597735,54.313072991597735,55.30416058135192,55.30416058135192	0.9974818871042032	55.30416058135192	0	true	274
26	15	15	23	1978	16146	129168	0	0	64.68699689332804	64.68699689332804	64.68699689332804	64.68699689332804	58.71840887771463,58.71840887771463,58.71840887771463,58.71840887771463,58.71840887771463,59.54844252649464,62.21003652190082,62.21003652190082,62.21003652190082,62.21003652190082,62.21003652190082,62.21003652190082,62.21003652190082,62.21003652190082,62.21003652190082,62.21003652190082,63.05917818598017,63.05917818598017,63.05917818598017,63.87478337542096,63.87478337542096,64.68699689332804,64.68699689332804	0.9966306358339244	64.68699689332804	0	true	39
27	15	15	6	516	4212	33696	0	0	67.99015756971946	67.99015756971946	67.99015756971946	67.99015756971946	67.15408010667241,67.15408010667241,67.15408010667241,67.15408010667241,67.99015756971946,67.99015756971946	0.9964291824156865	67.99015756971946	0	true	18
28	15	15	1	86	702	5616	0	0	70.7283026440592	70.7283026440592	70.7283026440592	70.7283026440592	70.7283026440592	0.9960817657423182	70.7283026440592	0	true	61
29	15	15	1	86	702	5616	0	0	72.75616028455934	72.75616028455934	72.75616028455934	72.75616028455934	72.75616028455934	0.9960817657423182	72.75616028455934	0	true	5
30	15	15	1	86	702	5616	0	0	73.93357703135352	73.93357703135352	73.93357703135352	73.93357703135352	73.93357703135352	0.9960817657423182	73.93357703135352	0	true	11
31	15	14	8	656	5616	44928	0	0	70.28754308285806	70.28754308285806	70.28754308285806	70.28754308285806	70.00406733761677,70.00406733761677,70.00406733761677,70.00406733761677,70.00406733761677,70.00406733761677,70.28754308285806,70.28754308285806	0.9960906485549893	70.28754308285806	0	true	13
32	15	14	39	3198	27378	219024	0	0	69.30875642747968	69.30875642747968	69.30875642747968	69.30875642747968	67.26269139860486,67.26269139860486,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.23844725448257,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.2845122833574,69.30875642747968,69.30875642747968	0.9959217654498799	69.30875642747968	0	true	59
33	15	14	1	82	702	5616	0	0	68.37373777022042	68.37373777022042	68.37373777022042	68.37373777022042	68.37373777022042	0.9957118678763863	68.37373777022042	0	true	3
34	16	16	22	1980	15444	123552	0	0	73.16639700610745	73.16639700610745	73.16639700610745	73.16639700610745	70.17597745618858,70.17597745618858,70.975700903395,72.918669450447,72.918669450447,72.918669450447,72.918669450447,73.0613547104475,73.0613547104475,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.12176589696868,73.16639700610745,73.16639700610745	0.9955252557007185	73.16639700610745	0	true	11
35	17	17	8	752	5616	44928	0	0	77.68557570198844	77.68557570198844	77.68557570198844	77.68557570198844	75.54566656179655,76.59996562901614,77.42343285583847,77.42343285583847,77.42343285583847,77.42343285583847,77.68557570198844,77.68557570198844	0.9953860550807495	77.68557570198844	0	true	5
36	17	17	1	94	702	5616	0	0	77.21926681385193	77.21926681385193	77.21926681385193	77.21926681385193	77.21926681385193	0.9953691667702386	77.21926681385193	0	true	3
