# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: 2a83d1cd-5965-4054-a936-8e658a947b62
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	16	1376	11232	89856	0	0	57.379702472258515	57.379702472258515	57.379702472258515	57.379702472258515	40.621659415131454,47.508392785389916,49.771990101154785,52.23953390377734,55.434213081822946,55.434213081822946,53.38395054237239,53.38395054237239,54.66950085384654,54.66950085384654,55.69558658148931,55.69558658148931,55.69558658148931,55.69558658148931,57.379702472258515,57.379702472258515	0.9960817657423182	57.379702472258515	0	true	273
26	15	15	1	86	702	5616	0	0	63.43573448148059	63.43573448148059	63.43573448148059	63.43573448148059	63.43573448148059	0.9958718681688247	63.43573448148059	0	true	7
27	16	16	12	1080	8424	67392	0	0	63.46354036202118	63.46354036202118	63.46354036202118	63.46354036202118	58.818071285317856,59.616545436627405,59.616545436627405,59.616545436627405,59.616545436627405,59.616545436627405,59.616545436627405,59.616545436627405,62.5650794419076,62.5650794419076,63.46354036202118,63.46354036202118	0.9954479788859564	63.46354036202118	0	true	31
28	18	18	3	294	2106	16848	0	0	67.49813579390064	67.49813579390064	67.49813579390064	67.49813579390064	67.19988777661843,67.49813579390064,67.49813579390064	0.9952459040363794	67.49813579390064	0	true	7
29	20	20	7	742	4914	39312	0	0	73.22657357370691	73.22657357370691	73.22657357370691	73.22657357370691	69.99301362706076,70.80897420858771,70.80897420858771,72.41984528146878,72.41984528146878,73.22657357370691,73.22657357370691	0.9948494308420032	73.22657357370691	0	true	26
30	20	20	1	106	702	5616	0	0	75.50133572428824	75.50133572428824	75.50133572428824	75.50133572428824	75.50133572428824	0.9947698145210228	75.50133572428824	0	true	3
31	22	21	13	1430	9126	73008	0	0	65.0987845395544	65.0987845395544	65.0987845395544	65.0987845395544	60.14578138460787,61.91078186840605,63.183293543540444,62.222564333961714,58.80783192640943,58.80783192640943,58.80783192640943,58.80783192640943,61.80520601968654,64.08312172802785,63.22176809421545,65.0987845395544,65.0987845395544	0.9932664990020543	65.0987845395544	0	true	19
32	23	22	20	2280	14040	112320	0	0	66.3900943865567	66.3900943865567	66.3900943865567	66.3900943865567	62.380908933136894,64.06019306666883,64.76653795869177,64.76653795869177,64.76653795869177,64.76653795869177,64.76653795869177,64.76653795869177,64.76653795869177,64.76653795869177,64.76653795869177,64.76653795869177,65.46723416989529,65.46723416989529,65.46723416989529,65.46723416989529,65.49014654575221,65.49014654575221,66.3900943865567,66.3900943865567	0.9929075675715195	66.3900943865567	0	true	17
33	23	22	1	114	702	5616	0	0	69.77065521054972	69.77065521054972	69.77065521054972	69.77065521054972	69.77065521054972	0.9929075675715195	69.77065521054972	0	true	5
34	24	23	3	354	2106	16848	0	0	71.8218641232636	71.8218641232636	71.8218641232636	71.8218641232636	71.50308580823261,71.8218641232636,71.8218641232636	0.9927621526381588	71.8218641232636	0	true	13
35	24	22	6	684	4212	33696	0	0	69.77962167968865	69.77962167968865	69.77962167968865	69.77962167968865	69.5879050103703,68.91245551309254,68.91245551309254,68.91245551309254,69.77962167968865,69.77962167968865	0.9925115695893436	69.77962167968865	0	true	25
36	25	24	9	1098	6318	50544	0	0	73.55009953888509	73.55009953888509	73.55009953888509	73.55009953888509	72.953579428021,68.8657044299629,69.25150893395411,69.25150893395411,69.25150893395411,71.58843880243572,71.58843880243572,73.55009953888509,73.55009953888509	0.9923278086868792	73.55009953888509	0	true	16
37	27	25	16	2016	11232	89856	0	0	74.78831773990696	74.78831773990696	74.78831773990696	74.78831773990696	68.15899449502687,68.15899449502687,68.38659058458403,68.38659058458403,68.83583572254626,68.83583572254626,68.83583572254626,69.08604578378771,69.08604578378771,69.93215127582913,71.80936993204622,71.80936993204622,73.78791548389022,73.78791548389022,74.78831773990696,74.78831773990696	0.9919190896396429	74.78831773990696	0	true	24
38	29	27	20	2680	14040	112320	0	0	84.001802600011	84.001802600011	84.001802600011	84.001802600011	77.5328052910758,78.39051695880747,78.39051695880747,79.1903579248448,81.29833668427999,81.29833668427999,81.29833668427999,81.29833668427999,82.28986194850326,82.28986194850326,82.35830000709298,82.3585337418263,82.3585337418263,82.3585337418263,82.3585337418263,82.3585337418263,83.15912014014891,83.15912014014891,84.001802600011,84.001802600011	0.9910170272186928	84.001802600011	0	true	10
39	30	27	11	1474	7722	61776	0	0	83.31257612773271	83.31257612773271	83.31257612773271	83.31257612773271	79.48596342317278,81.15324590194122,80.75012352099304,80.75012352099304,81.03418119520269,82.35865780479368,82.35865780479368,82.35865780479368,82.35865780479368,83.31257612773271,83.31257612773271	0.9904748832074631	83.31257612773271	0	true	27
40	31	27	10	1340	7020	56160	0	0	79.66858850352574	79.66858850352574	79.66858850352574	79.66858850352574	76.17643956595481,79.07093266905243,79.07093266905243,75.49404296222582,75.49404296222582,77.95079311977183,78.66825171693988,78.66825171693988,79.66858850352574,79.66858850352574	0.9902207177897515	79.66858850352574	0	true	13
41	31	26	9	1170	6318	50544	0	0	76.55578003521578	76.55578003521578	76.55578003521578	76.55578003521578	74.85531133167706,75.55610546808543,75.55610546808543,75.55610546808543,75.55610546808543,75.55610546808543,75.55610546808543,76.55578003521578,76.55578003521578	0.9903085589372794	76.55578003521578	0	true	19
42	31	24	16	1952	11232	89856	0	0	77.28030085495107	77.28030085495107	77.28030085495107	77.28030085495107	67.91589175577376,69.03222834733491,69.03222834733491,72.30968319477215,73.93762350055593,74.73738280818871,75.73771228028556,76.43769824679836,76.43769824679836,76.43769824679836,76.13730778472325,76.13730778472325,76.62063728760192,76.62063728760192,77.28030085495107,77.28030085495107	0.9902442225162852	77.28030085495107	0	true	24
43	33	25	33	4158	23166	185328	0	0	76.17071913259741	76.17071913259741	76.17071913259741	76.17071913259741	65.25504937522199,67.77217341746994,68.27317387264178,69.39335710282622,69.39335710282622,71.67126537823589,71.67126537823589,72.37079826085738,72.37079826085738,72.37079826085738,72.37079826085738,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,75.27124188361898,76.17071913259741,76.17071913259741	0.9897849116470856	76.17071913259741	0	true	10
44	33	21	21	2310	14742	117936	0	0	55.99009584498954	55.99009584498954	55.99009584498954	55.99009584498954	44.91099268572975,49.07166849238851,49.07166849238851,49.07166849238851,50.65848970909366,52.736824659051,55.024555890960464,55.446536623446946,55.45730751501054,55.45730751501054,55.45730751501054,55.45730751501054,55.45739994468862,55.45739994468862,55.45739994468862,55.45739994468862,55.98960471793913,55.9900005814241,55.9900005814241,55.99009584498954,55.99009584498954	0.9899905323107743	55.99009584498954	0	true	14
45	33	19	9	918	6318	50544	0	0	49.80618034284343	49.80618034284343	49.80618034284343	49.80618034284343	46.72956161208112,46.72956161208112,46.72956161208112,48.94199707835115,48.94199707835115,48.94199707835115,48.94199707835115,49.80618034284343,49.80618034284343	0.9900592918607115	49.80618034284343	2	true	5
46	33	20	4	424	2808	22464	0	0	51.78581256855946	51.78581256855946	51.78581256855946	51.78581256855946	51.02935426860496,51.5000293699431,51.78581256855946,51.78581256855946	0.9900505918219634	51.78581256855946	1	true	4
47	33	22	6	684	4212	33696	0	0	57.94384973943096	57.94384973943096	57.94384973943096	57.94384973943096	52.17526210725369,56.017879189428214,57.19219778626102,57.534886946163134,57.94384973943096,57.94384973943096	0.9899614347021882	57.94384973943096	0	true	4
48	33	20	21	2226	14742	117936	0	0	44.53278984006964	44.53278984006964	44.53278984006964	44.53278984006964	35.429614936107974,38.81111120627388,41.48278194528429,41.974501956088076,41.974501956088076,41.974501956088076,42.79289419521647,42.79289419521647,42.79289419521647,44.532049235058174,44.532049235058174,44.532049235058174,44.532049235058174,44.532049235058174,44.532049235058174,44.532049235058174,44.532049235058174,44.532049235058174,44.532049235058174,44.53278984006964,44.53278984006964	0.9899032029302316	44.53278984006964	1	true	16
49	33	20	22	2332	15444	123552	0	0	46.359228693342885	46.359228693342885	46.359228693342885	46.359228693342885	43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,43.110679206877805,45.422698724967894,45.422698724967894,46.05289493251696,46.05289493251696,46.05289493251696,46.05289493251696,46.05289493251696,46.05289493251696,46.05289493251696,46.359228693342885,46.359228693342885	0.9898706326171032	46.359228693342885	1	true	7
50	33	21	2	220	1404	11232	0	0	49.60227316454243	49.60227316454243	49.60227316454243	49.60227316454243	49.60227316454243,49.60227316454243	0.9898364173386655	49.60227316454243	1	true	4
51	33	20	8	848	5616	44928	0	0	50.962347914174636	50.962347914174636	50.962347914174636	50.962347914174636	49.40694785522618,49.40694785522618,50.68493683617066,50.68493683617066,50.68493683617066,50.68493683617066,50.962347914174636,50.962347914174636	0.9898610918183082	50.962347914174636	1	true	8
52	33	20	1	106	702	5616	0	0	52.03525806944114	52.03525806944114	52.03525806944114	52.03525806944114	52.03525806944114	0.9898610918183082	52.03525806944114	1	true	3
53	33	17	24	2256	16848	134784	0	0	46.271612568566184	46.271612568566184	46.271612568566184	46.271612568566184	41.10176393439231,43.38368403791881,43.38368403791881,44.5413310597058,44.5413310597058,44.5413310597058,44.5413310597058,45.131492961050924,45.131492961050924,45.131492961050924,45.131492961050924,45.131492961050924,45.131492961050924,45.131492961050924,45.32132268604789,45.32132268604789,45.32132268604789,45.32132268604789,45.32132268604789,45.32132268604789,45.32132268604789,45.42513121818159,46.271612568566184,46.271612568566184	0.9900295362660018	46.271612568566184	2	true	7
54	33	15	30	2580	21060	168480	0	0	35.45340140305954	35.45340140305954	35.45340140305954	35.45340140305954	30.14918495445562,32.608691634299475,32.608691634299475,32.608691634299475,34.290918840149104,34.13802249757852,34.96378478347374,34.96378478347374,34.96378478347374,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.00113204586318,35.45340140305954,35.45340140305954	0.9899954306519181	35.45340140305954	3	false	8
