# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 4
# run: 2b014997-562b-4a36-9c50-987c7feba960
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	20	1720	14040	112320	0	0	56.39615201793104	56.39615201793104	56.39615201793104	56.39615201793104	37.45240439104874,37.45240439104874,46.07453618610471,46.07453618610471,47.0603732695789,51.938691230141444,52.926072119858226,52.59225200679752,54.37970013485877,54.37970013485877,54.45669107056625,54.45669107056625,55.40282865648732,55.40282865648732,52.390675799812755,52.390675799812755,55.398645201812286,55.398645201812286,56.39615201793104,56.39615201793104	0.9960817657423182	56.39615201793104	0	true	268
26	15	15	1	86	702	5616	0	0	64.60361745709083	64.60361745709083	64.60361745709083	64.60361745709083	64.60361745709083	0.9960817657423182	64.60361745709083	0	true	16
27	15	15	1	86	702	5616	0	0	67.69213376676818	67.69213376676818	67.69213376676818	67.69213376676818	67.69213376676818	0.9960817657423182	67.69213376676818	0	true	7
28	15	15	8	688	5616	44928	0	0	66.007196734805	66.007196734805	66.007196734805	66.007196734805	63.92448351901618,63.92448351901618,63.92448351901618,63.92448351901618,63.92448351901618,63.92448351901618,66.007196734805,66.007196734805	0.9957029850637148	66.007196734805	0	true	33
29	17	17	17	1598	11934	95472	0	0	68.71603236910825	68.71603236910825	68.71603236910825	68.71603236910825	65.52408967702576,65.52408967702576,66.12159585483181,65.78240336017906,65.78240336017906,65.78240336017906,65.78240336017906,66.95733068099945,66.95733068099945,66.95733068099945,67.9174179621125,67.9174179621125,67.9174179621125,67.9174179621125,67.9174179621125,68.71603236910825,68.71603236910825	0.9952702495229601	68.71603236910825	0	true	41
30	18	18	45	4410	31590	252720	0	0	70.23418639887416	70.23418639887416	70.23418639887416	70.23418639887416	69.1961300534425,69.53716973714448,69.53716973714448,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,69.86775723360354,70.23418639887416,70.23418639887416	0.9952459040363794	70.23418639887416	0	true	47
31	20	20	11	1166	7722	61776	0	0	74.32036782431378	74.32036782431378	74.32036782431378	74.32036782431378	72.3811675598439,72.71979439518891,72.71979439518891,72.71979439518891,72.71979439518891,73.52013318548569,73.52013318548569,73.1345474113207,73.1345474113207,74.32036782431378,74.32036782431378	0.9948494308420032	74.32036782431378	0	true	7
32	20	20	1	106	702	5616	0	0	76.44352280514408	76.44352280514408	76.44352280514408	76.44352280514408	76.44352280514408	0.9947698145210228	76.44352280514408	0	true	5
33	23	23	10	1180	7020	56160	0	0	70.27586802733785	70.27586802733785	70.27586802733785	70.27586802733785	69.1055371061324,69.1055371061324,69.87971666736473,69.87971666736473,70.06138191752578,69.34834141968346,69.34834141968346,69.34834141968346,70.27586802733785,70.27586802733785	0.9930901587208749	70.27586802733785	0	true	9
34	23	23	1	118	702	5616	0	0	70.89168697991074	70.89168697991074	70.89168697991074	70.89168697991074	70.89168697991074	0.992905593613148	70.89168697991074	0	true	9
35	23	23	1	118	702	5616	0	0	72.14261033529641	72.14261033529641	72.14261033529641	72.14261033529641	72.14261033529641	0.992905593613148	72.14261033529641	0	true	12
36	25	25	6	756	4212	33696	0	0	76.3987848853213	76.3987848853213	76.3987848853213	76.3987848853213	74.8718664024715,75.75898878691572,75.21695581013005,75.21695581013005,76.3987848853213,76.3987848853213	0.9925366096168329	76.3987848853213	0	true	6
37	25	25	1	126	702	5616	0	0	78.65147431416858	78.65147431416858	78.65147431416858	78.65147431416858	78.65147431416858	0.9924376923695543	78.65147431416858	0	true	17
38	26	26	2	260	1404	11232	0	0	80.16335707186491	80.16335707186491	80.16335707186491	80.16335707186491	80.16335707186491,80.16335707186491	0.9923121632390465	80.16335707186491	0	true	4
39	28	26	7	910	4914	39312	0	0	77.42789201808486	77.42789201808486	77.42789201808486	77.42789201808486	75.60444109403491,75.66345182660814,75.66345182660814,75.66345182660814,76.66347069909206,77.42789201808486,77.42789201808486	0.9920567549586566	77.42789201808486	0	true	17
40	29	27	9	1206	6318	50544	0	0	82.89750007715688	82.89750007715688	82.89750007715688	82.89750007715688	80.1231305506918,80.1231305506918,80.1231305506918,80.92393458089893,82.21232733645209,82.21232733645209,81.54494838807557,82.89750007715688,82.89750007715688	0.9913684649183734	82.89750007715688	0	true	7
41	29	25	11	1386	7722	61776	0	0	77.91875315043177	77.91875315043177	77.91875315043177	77.91875315043177	74.86960135380001,77.83410585678229,77.83410585678229,77.83410585678229,77.83410585678229,77.83410585678229,77.83410585678229,77.83410585678229,77.83410585678229,77.91875315043177,77.91875315043177	0.9912108772417222	77.91875315043177	0	true	19
42	30	27	19	2546	13338	106704	0	0	84.5249156733157	84.5249156733157	84.5249156733157	84.5249156733157	79.02386532851314,79.02386532851314,79.83920338206121,80.14904289658413,79.06912366286268,79.26786636189263,79.26786636189263,82.0367337212944,82.0367337212944,82.8366148644486,82.8366148644486,82.8366148644486,82.8366148644486,82.8366148644486,82.8366148644486,82.8366148644486,82.8366148644486,84.5249156733157,84.5249156733157	0.9910440777593379	84.5249156733157	0	true	27
43	31	27	12	1608	8424	67392	0	0	81.0416949935039	81.0416949935039	81.0416949935039	81.0416949935039	76.86570682509723,76.86570682509723,77.67385371155896,79.34964242075813,80.35628624529042,80.35628624529042,80.35628624529042,80.35628624529042,80.35628624529042,80.35628624529042,81.0416949935039,81.0416949935039	0.9909170498826592	81.0416949935039	0	true	7
44	32	28	12	1656	8424	67392	0	0	84.33669470456509	84.33669470456509	84.33669470456509	84.33669470456509	81.82518114471458,83.218763339157,83.218763339157,83.218763339157,83.218763339157,83.218763339157,83.218763339157,84.01807399916656,84.01807399916656,84.01807399916656,84.33669470456509,84.33669470456509	0.9905203573595749	84.33669470456509	0	true	12
45	32	28	1	138	702	5616	0	0	86.1004699969083	86.1004699969083	86.1004699969083	86.1004699969083	86.1004699969083	0.990335792251848	86.1004699969083	0	true	5
46	32	27	4	536	2808	22464	0	0	85.33471473409506	85.33471473409506	85.33471473409506	85.33471473409506	82.635425219491,84.63527845670592,85.33471473409506,85.33471473409506	0.9903420431200243	85.33471473409506	0	true	5
47	32	25	11	1386	7722	61776	0	0	73.69638665117544	73.69638665117544	73.69638665117544	73.69638665117544	68.67773514199622,71.6299875833173,71.97804753193815,71.39661471130687,71.39661471130687,73.28303316033191,73.28303316033191,73.28303316033191,73.69628267303771,73.69638665117544,73.69638665117544	0.9903055248901531	73.69638665117544	0	true	9
48	32	25	17	2142	11934	95472	0	0	73.36918053496042	73.36918053496042	73.36918053496042	73.36918053496042	69.34839597385526,71.49414883785894,71.49414883785894,71.49414883785894,69.35076605124922,69.35076605124922,69.35076605124922,71.02499836935034,71.02499836935034,71.02499836935034,71.02499836935034,71.02499836935034,72.6387116048595,72.6387116048595,72.6387116048595,73.36918053496042,73.36918053496042	0.9903156140107182	73.36918053496042	2	true	9
49	32	24	4	488	2808	22464	0	0	72.43499227416811	72.43499227416811	72.43499227416811	72.43499227416811	72.43499093034684,72.43499093034684,72.43499227416811,72.43499227416811	0.9903192329343988	72.43499227416811	3	true	5
50	32	22	8	912	5616	44928	0	0	57.811093592990275	57.811093592990275	57.811093592990275	57.811093592990275	49.203860661048196,53.26271697001033,55.538886055594595,55.538886055594595,55.538886055594595,55.85895985207891,57.811093592990275,57.811093592990275	0.9901675671328619	57.811093592990275	2	true	22
51	32	21	24	2640	16848	134784	0	0	56.72500211797323	56.72500211797323	56.72500211797323	56.72500211797323	55.7940685361646,55.7940685361646,56.177357083905264,56.177357083905264,56.68302021142847,56.7092855173064,56.7092855173064,56.7092855173064,56.7092855173064,56.7092855173064,56.7092855173064,56.7092855173064,56.724667197518045,56.724667197518045,56.724667197518045,56.724667197518045,56.724667197518045,56.724667197518045,56.724667197518045,56.724667197518045,56.724667197518045,56.724667197518045,56.72500211797323,56.72500211797323	0.9901919126194427	56.72500211797323	2	true	22
52	32	20	6	636	4212	33696	0	0	52.02195689886072	52.02195689886072	52.02195689886072	52.02195689886072	48.18160438099144,50.27196188471415,50.27196188471415,51.42241958109648,52.02195689886072,52.02195689886072	0.9902468544607805	52.02195689886072	4	true	5
53	32	18	12	1176	8424	67392	0	0	46.16758125020185	46.16758125020185	46.16758125020185	46.16758125020185	41.03125722133496,41.03125722133496,43.2358058621197,43.2358058621197,45.09227970379267,45.09227970379267,45.09227970379267,45.09227970379267,45.09227970379267,45.09227970379267,46.16758125020185,46.16758125020185	0.9903172224212429	46.16758125020185	3	true	6
54	32	17	11	1034	7722	61776	0	0	41.241765904787485	41.241765904787485	41.241765904787485	41.241765904787485	38.877082160390124,38.877082160390124,40.45107338215669,40.45107338215669,40.45107338215669,40.45107338215669,40.45107338215669,40.45107338215669,40.45107338215669,41.241765904787485,41.241765904787485	0.990363939436033	41.241765904787485	2	false	7
55	32	17	10	940	7020	56160	0	0	36.00161241136105	36.00161241136105	36.00161241136105	36.00161241136105	34.145221123162486,33.03473054538161,33.10117324576904,33.10117324576904,35.10112431028429,35.10112431028429,35.10112431028429,35.10112431028429,36.00161241136105,36.00161241136105	0.9903573961295795	36.00161241136105	2	false	11
