# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: 6ae943a3-4c28-47f3-8422-765663e35e1a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	9	774	6318	50544	0	0	56.991693664892665	56.991693664892665	56.991693664892665	56.991693664892665	38.32137357751718,38.52824733026872,41.4152263776844,44.63273828055702,44.63273828055702,49.877407629620734,54.09802712521137,56.991693664892665,56.991693664892665	0.9960817657423182	56.991693664892665	0	true	201
26	15	15	1	86	702	5616	0	0	64.9715656270998	64.9715656270998	64.9715656270998	64.9715656270998	64.9715656270998	0.9960817657423182	64.9715656270998	0	true	21
27	15	15	1	86	702	5616	0	0	67.92397234835468	67.92397234835468	67.92397234835468	67.92397234835468	67.92397234835468	0.9960817657423182	67.92397234835468	0	true	7
28	15	15	1	86	702	5616	0	0	70.49278482479973	70.49278482479973	70.49278482479973	70.49278482479973	70.49278482479973	0.9960817657423182	70.49278482479973	0	true	6
29	15	15	34	2924	23868	190944	0	0	66.06199636390652	66.06199636390652	66.06199636390652	66.06199636390652	63.817428383266645,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.93360108788721,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,65.94196515814787,66.06199636390652,66.06199636390652	0.9956704147505866	66.06199636390652	0	true	89
30	17	17	28	2632	19656	157248	0	0	69.64567629337675	69.64567629337675	69.64567629337675	69.64567629337675	66.28748400225356,66.28748400225356,66.28748400225356,66.31210965431066,67.73342363670078,67.73342363670078,67.73342363670078,67.73342363670078,67.73342363670078,67.73342363670078,68.28592569690859,68.28592569690859,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.28850925749701,69.64567629337675,69.64567629337675	0.9952702495229601	69.64567629337675	0	true	27
31	17	16	3	270	2106	16848	0	0	67.95594103092225	67.95594103092225	67.95594103092225	67.95594103092225	67.93235359055778,67.95594103092225,67.95594103092225	0.9952701398586062	67.95594103092225	0	true	5
32	18	18	12	1176	8424	67392	0	0	71.08229474112002	71.08229474112002	71.08229474112002	71.08229474112002	66.89271777319287,66.40292881197229,68.85714221460992,68.87181833047043,70.0685020813378,70.0685020813378,70.0685020813378,70.0685020813378,70.0685020813378,70.0685020813378,71.08229474112002,71.08229474112002	0.9952459040363794	71.08229474112002	0	true	20
33	20	19	12	1224	8424	67392	0	0	63.606225294652184	63.606225294652184	63.606225294652184	63.606225294652184	56.13253387015964,58.03204256778814,60.10606189780256,60.10606189780256,60.931370109449794,60.931370109449794,63.41221479459343,63.41221479459343,63.41221479459343,63.41221479459343,63.606225294652184,63.606225294652184	0.9938082774654374	63.606225294652184	0	true	6
34	22	22	12	1368	8424	67392	0	0	68.86011810090235	68.86011810090235	68.86011810090235	68.86011810090235	66.21044942223634,68.0617574198288,68.37501955027277,68.37501955027277,68.37501955027277,68.37501955027277,68.37501955027277,68.37501955027277,68.37501955027277,68.37501955027277,68.86011810090235,68.86011810090235	0.9931610018935378	68.86011810090235	0	true	21
