# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 12
# run: a951eb59-18b4-4b84-9438-f95eb752f363
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	14	1204	9828	78624	0	0	57.470776893697355	57.470776893697355	57.470776893697355	57.470776893697355	38.305530853329266,42.900596929946985,45.39402389537818,52.58888829870421,54.55877608379449,54.55877608379449,54.50785163437528,56.507461100065676,56.507461100065676,56.507461100065676,56.507461100065676,56.507461100065676,57.470776893697355,57.470776893697355	0.9964291824156865	57.470776893697355	0	true	280
26	15	15	1	86	702	5616	0	0	65.46373705435234	65.46373705435234	65.46373705435234	65.46373705435234	65.46373705435234	0.9960817657423182	65.46373705435234	0	true	42
27	15	15	1	86	702	5616	0	0	68.31967744628587	68.31967744628587	68.31967744628587	68.31967744628587	68.31967744628587	0.9960817657423182	68.31967744628587	0	true	45
28	15	15	1	86	702	5616	0	0	70.7569774360424	70.7569774360424	70.7569774360424	70.7569774360424	70.7569774360424	0.9960817657423182	70.7569774360424	0	true	6
29	15	15	14	1204	9828	78624	0	0	70.62597644921861	70.62597644921861	70.62597644921861	70.62597644921861	68.46766474012846,68.46766474012846,68.46766474012846,68.46766474012846,68.46766474012846,68.46766474012846,70.48481471183523,70.48481471183523,70.48481471183523,70.48481471183523,70.48481471183523,70.48481471183523,70.62597644921861,70.62597644921861	0.9959128826372083	70.62597644921861	0	true	43
30	16	16	19	1710	13338	106704	0	0	68.6530349258369	68.6530349258369	68.6530349258369	68.6530349258369	66.34080073557458,65.94109111118561,65.94109111118561,65.94109111118561,65.94109111118561,65.94109111118561,67.33295787220862,67.33295787220862,67.33295787220862,67.7373750007723,67.7373750007723,67.7373750007723,67.7373750007723,67.7373750007723,67.7373750007723,67.7373750007723,67.7373750007723,68.6530349258369,68.6530349258369	0.9954479788859564	68.6530349258369	0	true	31
31	17	15	14	1204	9828	78624	0	0	65.8315643295352	65.8315643295352	65.8315643295352	65.8315643295352	62.58481533069376,62.58481533069376,62.88762551808752,62.88762551808752,63.588241429011816,63.588241429011816,65.58131399215783,65.58131399215783,65.58131399215783,65.58131399215783,65.58131399215783,65.58131399215783,65.8315643295352,65.8315643295352	0.99532387539205	65.8315643295352	0	true	7
32	17	16	24	2160	16848	134784	0	0	66.97157523378827	66.97157523378827	66.97157523378827	66.97157523378827	66.3047902440141,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.96977463684016,66.97157523378827,66.97157523378827	0.9952701398586062	66.97157523378827	0	true	37
33	19	19	16	1632	11232	89856	0	0	73.05247317733567	73.05247317733567	73.05247317733567	73.05247317733567	68.22025557826827,69.2636853945578,69.2636853945578,66.4445724552906,68.17176364185629,67.47656213432232,67.47656213432232,68.01810104744663,68.91893552823694,68.91893552823694,71.58024254386538,71.58024254386538,72.79354234746454,72.79354234746454,73.05247317733567,73.05247317733567	0.9947572762298856	73.05247317733567	0	true	5
34	19	18	25	2450	17550	140400	0	0	65.106928857277	65.106928857277	65.106928857277	65.106928857277	60.937889905920215,62.98245193986304,62.98245193986304,62.98245193986304,62.98245193986304,63.24922258312915,63.24922258312915,63.24922258312915,63.24922258312915,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.0046676254699,65.106928857277,65.106928857277	0.9939417024294309	65.106928857277	0	true	27
35	22	22	27	3078	18954	151632	0	0	67.39359025282496	67.39359025282496	67.39359025282496	67.39359025282496	64.48474791699023,65.34489310379598,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.17641418856338,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,66.4432133548104,67.39359025282496,67.39359025282496	0.9929764367858108	67.39359025282496	0	true	20
36	22	22	1	114	702	5616	0	0	70.2492145510129	70.2492145510129	70.2492145510129	70.2492145510129	70.2492145510129	0.9929764367858108	70.2492145510129	0	true	4
37	22	18	12	1176	8424	67392	0	0	59.47570278533073	59.47570278533073	59.47570278533073	59.47570278533073	51.20337410350197,54.47837821503198,58.491985269032156,58.491985269032156,57.85245468481549,57.85245468481549,57.85245468481549,57.85245468481549,57.85245468481549,57.85245468481549,59.47570278533073,59.47570278533073	0.993031305517579	59.47570278533073	1	true	44
38	23	21	24	2640	16848	134784	0	0	67.4027953909534	67.4027953909534	67.4027953909534	67.4027953909534	59.32060384853755,60.12506434740739,60.12506434740739,60.12506434740739,63.02435466527686,63.02435466527686,63.02435466527686,63.02435466527686,63.02435466527686,63.02435466527686,63.02435466527686,63.02435466527686,63.02435466527686,65.77517863047133,65.77517863047133,65.77517863047133,66.50241721061813,66.50241721061813,66.50241721061813,66.50241721061813,66.50241721061813,66.50241721061813,67.4027953909534,67.4027953909534	0.9926918577872659	67.4027953909534	0	true	26
39	24	21	7	770	4914	39312	0	0	70.64302930410562	70.64302930410562	70.64302930410562	70.64302930410562	66.77398503097741,66.77398503097741,66.77398503097741,66.77398503097741,67.54877782338797,70.64302930410562,70.64302930410562	0.9925551428926532	70.64302930410562	0	true	4
