# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: ab032e10-2b08-4435-b9bb-be05091b56ef
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: 27agents.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# util.police.eta: 0.0
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	12	1032	8424	67392	0	0	55.91577601423317	55.91577601423317	55.91577601423317	55.91577601423317	37.7325253440823,43.66136422119757,51.99600616831028,53.912000996910116,54.90282592151514,54.90282592151514,54.90282592151514,54.90282592151514,54.90282592151514,54.90282592151514,55.91577601423317,55.91577601423317	0.9960817657423182	55.91577601423317	1	true	253
26	15	15	1	86	702	5616	0	0	63.942749628061264	63.942749628061264	63.942749628061264	63.942749628061264	63.942749628061264	0.9960817657423182	63.942749628061264	1	true	19
27	15	15	1	86	702	5616	0	0	66.78259882306536	66.78259882306536	66.78259882306536	66.78259882306536	66.78259882306536	0.9960817657423182	66.78259882306536	1	true	17
28	15	15	1	86	702	5616	0	0	69.27361897214135	69.27361897214135	69.27361897214135	69.27361897214135	69.27361897214135	0.9960817657423182	69.27361897214135	1	true	6
29	15	15	5	430	3510	28080	0	0	64.65078339789835	64.65078339789835	64.65078339789835	64.65078339789835	64.4573895681962,64.4573895681962,64.4573895681962,64.65078339789835,64.65078339789835	0.9956704147505866	64.65078339789835	0	true	6
30	17	17	11	1034	7722	61776	0	0	68.86753407206929	68.90806946651743	68.86753407206929	69.21435160722616	67.25890720292121,67.25890720292121,68.90806946651743,68.90806946651743,68.90806946651743,68.90806946651743,68.90806946651743,68.90806946651743,67.74611078322386,68.86753407206929,68.86753407206929	0.9952702495229601	68.90806946651743	0	true	43
31	17	16	12	1080	8424	67392	0	0	67.71167263808061	67.71167263808061	67.71167263808061	67.71167263808061	65.5214908622447,65.5214908622447,65.5214908622447,64.14924856491706,65.41178064658666,65.41178064658666,65.41178064658666,64.78402294391432,67.49971206974337,67.49971206974337,67.71167263808061,67.71167263808061	0.9952701398586062	67.71167263808061	0	true	13
32	18	18	27	2646	18954	151632	0	0	72.03934361940162	72.03934361940162	72.03934361940162	72.03934361940162	70.39489378642048,70.39489378642048,71.19522435067275,71.19522435067275,71.19522435067275,71.19522435067275,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,71.49232858920035,72.03934361940162,72.03934361940162	0.9952459040363794	72.03934361940162	0	true	19
33	19	18	13	1274	9126	73008	0	0	68.81269177261416	68.81269177261416	68.81269177261416	68.81269177261416	64.95642781195421,64.95642781195421,64.95642781195421,64.95642781195421,66.71338393651469,66.71338393651469,66.71338393651469,66.71338393651469,66.71338393651469,66.71338393651469,67.04488166828295,68.81269177261416,68.81269177261416	0.9942619223430154	68.81269177261416	0	true	35
34	20	20	37	3922	25974	207792	0	0	65.94534290372596	65.94534290372596	65.94534290372596	65.94534290372596	64.47180412134061,64.47180412134061,64.47180412134061,64.47180412134061,64.47180412134061,64.47180412134061,64.73162883410625,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.6323415573166,65.94534290372596,65.94534290372596	0.9935860609295148	65.94534290372596	0	true	27
35	21	20	23	2438	16146	129168	0	0	61.19688014524787	61.37404915839589	61.19688014524787	63.29464613090329	54.661210474213334,58.36959250228989,60.18226608885185,60.18226608885185,60.18226608885185,60.18226608885185,61.37404915839589,61.37404915839589,61.37404915839589,61.37404915839589,59.65475477889507,55.922500654558945,57.8275996552062,58.56182764418429,58.56182764418429,61.12974523743604,61.12974523743604,61.12974523743604,61.12974523743604,61.12974523743604,61.12974523743604,61.19688014524787,61.19688014524787	0.9930870515641794	61.37404915839589	1	true	37
36	21	19	15	1530	10530	84240	0	0	60.587239569060074	60.587239569060074	60.587239569060074	60.587239569060074	60.428351042249304,56.852346991004936,58.68994692427724,58.68994692427724,60.424839502332375,60.424839502332375,60.424839502332375,60.424839502332375,60.424839502332375,60.424839502332375,60.424839502332375,60.424839502332375,60.424839502332375,60.587239569060074,60.587239569060074	0.9931370585095883	60.587239569060074	0	true	7
37	22	20	12	1272	8424	67392	0	0	63.104411557333236	63.104411557333236	63.104411557333236	63.104411557333236	59.15774087542421,58.23184258779517,55.044856413701254,56.565524319733285,57.765942302275874,58.965706620334274,61.61030647989608,62.64670125298109,62.64670125298109,62.64670125298109,63.104411557333236,63.104411557333236	0.9927817460027343	63.104411557333236	1	true	38
38	22	19	5	510	3510	28080	0	0	62.821476884410956	62.821476884410956	62.821476884410956	62.821476884410956	62.813021858642486,62.813021858642486,62.813021858642486,62.821476884410956,62.821476884410956	0.9927985246488915	62.821476884410956	2	true	6
39	23	20	13	1378	9126	73008	0	0	64.39010729796624	64.39010729796624	64.39010729796624	64.39010729796624	60.886377957732705,63.43599479563308,61.13547931608551,61.13830925551325,61.8178351897715,62.517710332712056,62.68748899364124,62.68748899364124,62.68748899364124,63.68774263412617,63.68774263412617,64.39010729796624,64.39010729796624	0.9926481382648177	64.39010729796624	1	true	6
40	23	19	11	1122	7722	61776	0	0	65.26566497148039	65.26566497148039	65.26566497148039	65.26566497148039	63.98728987417351,63.98728987417351,63.98728987417351,63.98728987417351,63.98728987417351,63.98728987417351,63.98728987417351,63.98728987417351,63.98728987417351,65.26566497148039,65.26566497148039	0.9926649169109746	65.26566497148039	2	true	5
41	24	21	22	2420	15444	123552	0	0	69.15168183274078	69.15168183274078	69.15168183274078	69.15168183274078	66.5274535307331,66.5274535307331,66.74473458677487,66.93309170361275,66.93309170361275,68.02217986807169,68.41623688580985,68.43544559658972,68.43544559658972,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,68.80378423933304,69.15168183274078,69.15168183274078	0.9918964622279413	69.15168183274078	0	true	14
42	26	23	10	1180	7020	56160	0	0	70.2896703457344	70.2896703457344	70.2896703457344	70.2896703457344	63.47124861754986,63.47124861754986,66.17095292279032,66.9568944567055,66.9568944567055,67.28773113004124,67.28773113004124,70.1097095707505,70.2896703457344,70.2896703457344	0.9913548299836966	70.2896703457344	0	true	6
43	26	20	26	2756	18252	146016	0	0	58.46720005090905	60.01638612180834	58.46720005090905	61.40033958914444	54.85066449562758,56.12973308632347,56.12973308632347,59.00155854566512,60.01638612180834,60.01638612180834,60.01638612180834,60.01638612180834,60.01638612180834,60.01638612180834,60.01638612180834,58.192169100621754,54.77251426936193,54.77251426936193,57.057620908795116,58.100894914649885,58.100894914649885,58.100894914649885,58.100894914649885,58.100894914649885,56.4959111995588,56.4959111995588,56.4959111995588,56.4959111995588,58.46720005090905,58.46720005090905	0.9914633976941243	60.01638612180834	2	true	23
